scenario_id,environment_ring,function_code,readiness_state,backup_manifest_state,restore_state,evidence_pack_state,runbook_binding_state,blocker_refs
LOCAL_EXACT_READY,local,ef_patient_entry_recovery,exact_and_ready,current,journey_validated,current,current,
LOCAL_EXACT_READY,local,ef_patient_self_service_continuity,exact_and_ready,current,journey_validated,current,current,
LOCAL_EXACT_READY,local,ef_workspace_settlement,exact_and_ready,current,journey_validated,current,current,
LOCAL_EXACT_READY,local,ef_booking_capacity_commit,exact_and_ready,current,journey_validated,current,current,
LOCAL_EXACT_READY,local,ef_hub_coordination,exact_and_ready,current,journey_validated,current,current,
LOCAL_EXACT_READY,local,ef_pharmacy_referral_reconciliation,exact_and_ready,current,journey_validated,current,current,
LOCAL_EXACT_READY,local,ef_communication_reachability,exact_and_ready,current,journey_validated,current,current,
LOCAL_EXACT_READY,local,ef_release_governance,exact_and_ready,current,journey_validated,current,current,
LOCAL_EXACT_READY,local,ef_platform_recovery_control,exact_and_ready,current,journey_validated,current,current,
LOCAL_STALE_REHEARSAL,local,ef_patient_entry_recovery,exact_and_ready,current,journey_validated,current,current,
LOCAL_STALE_REHEARSAL,local,ef_patient_self_service_continuity,exact_and_ready,current,journey_validated,current,current,
LOCAL_STALE_REHEARSAL,local,ef_workspace_settlement,stale_rehearsal_evidence,current,journey_validated,stale,stale,STALE_REHEARSAL_EVIDENCE
LOCAL_STALE_REHEARSAL,local,ef_booking_capacity_commit,exact_and_ready,current,journey_validated,current,current,
LOCAL_STALE_REHEARSAL,local,ef_hub_coordination,exact_and_ready,current,journey_validated,current,current,
LOCAL_STALE_REHEARSAL,local,ef_pharmacy_referral_reconciliation,exact_and_ready,current,journey_validated,current,current,
LOCAL_STALE_REHEARSAL,local,ef_communication_reachability,exact_and_ready,current,journey_validated,current,current,
LOCAL_STALE_REHEARSAL,local,ef_release_governance,exact_and_ready,current,journey_validated,current,current,
LOCAL_STALE_REHEARSAL,local,ef_platform_recovery_control,exact_and_ready,current,journey_validated,current,current,
CI_PREVIEW_MISSING_BACKUP_MANIFEST,ci-preview,ef_patient_entry_recovery,exact_and_ready,current,journey_validated,current,current,
CI_PREVIEW_MISSING_BACKUP_MANIFEST,ci-preview,ef_patient_self_service_continuity,missing_backup_manifest,missing,journey_validated,stale,current,MISSING_BACKUP_MANIFEST; STALE_REHEARSAL_EVIDENCE
CI_PREVIEW_MISSING_BACKUP_MANIFEST,ci-preview,ef_workspace_settlement,missing_backup_manifest,missing,journey_validated,stale,current,MISSING_BACKUP_MANIFEST; STALE_REHEARSAL_EVIDENCE
CI_PREVIEW_MISSING_BACKUP_MANIFEST,ci-preview,ef_booking_capacity_commit,exact_and_ready,current,journey_validated,current,current,
CI_PREVIEW_MISSING_BACKUP_MANIFEST,ci-preview,ef_hub_coordination,exact_and_ready,current,journey_validated,current,current,
CI_PREVIEW_MISSING_BACKUP_MANIFEST,ci-preview,ef_pharmacy_referral_reconciliation,exact_and_ready,current,journey_validated,current,current,
CI_PREVIEW_MISSING_BACKUP_MANIFEST,ci-preview,ef_communication_reachability,exact_and_ready,current,journey_validated,current,current,
CI_PREVIEW_MISSING_BACKUP_MANIFEST,ci-preview,ef_release_governance,missing_backup_manifest,missing,journey_validated,stale,current,MISSING_BACKUP_MANIFEST; STALE_REHEARSAL_EVIDENCE
CI_PREVIEW_MISSING_BACKUP_MANIFEST,ci-preview,ef_platform_recovery_control,missing_backup_manifest,missing,journey_validated,stale,current,MISSING_BACKUP_MANIFEST; STALE_REHEARSAL_EVIDENCE
INTEGRATION_BLOCKED_RESTORE_PROOF,integration,ef_patient_entry_recovery,exact_and_ready,current,journey_validated,current,current,
INTEGRATION_BLOCKED_RESTORE_PROOF,integration,ef_patient_self_service_continuity,exact_and_ready,current,journey_validated,current,current,
INTEGRATION_BLOCKED_RESTORE_PROOF,integration,ef_workspace_settlement,exact_and_ready,current,journey_validated,current,current,
INTEGRATION_BLOCKED_RESTORE_PROOF,integration,ef_booking_capacity_commit,exact_and_ready,current,journey_validated,current,current,
INTEGRATION_BLOCKED_RESTORE_PROOF,integration,ef_hub_coordination,exact_and_ready,current,journey_validated,current,current,
INTEGRATION_BLOCKED_RESTORE_PROOF,integration,ef_pharmacy_referral_reconciliation,blocked_restore_proof,current,blocked,blocked,current,BLOCKED_RESTORE_PROOF
INTEGRATION_BLOCKED_RESTORE_PROOF,integration,ef_communication_reachability,exact_and_ready,current,journey_validated,current,current,
INTEGRATION_BLOCKED_RESTORE_PROOF,integration,ef_release_governance,exact_and_ready,current,journey_validated,current,current,
INTEGRATION_BLOCKED_RESTORE_PROOF,integration,ef_platform_recovery_control,exact_and_ready,current,journey_validated,current,current,
PREPROD_TUPLE_DRIFT,preprod,ef_patient_entry_recovery,tuple_drift,current,journey_validated,blocked,current,BLOCKED_RESTORE_PROOF; RESILIENCE_TUPLE_DRIFT
PREPROD_TUPLE_DRIFT,preprod,ef_patient_self_service_continuity,exact_and_ready,current,journey_validated,current,current,
PREPROD_TUPLE_DRIFT,preprod,ef_workspace_settlement,tuple_drift,current,journey_validated,blocked,current,BLOCKED_RESTORE_PROOF; RESILIENCE_TUPLE_DRIFT
PREPROD_TUPLE_DRIFT,preprod,ef_booking_capacity_commit,tuple_drift,current,journey_validated,blocked,current,BLOCKED_RESTORE_PROOF; RESILIENCE_TUPLE_DRIFT
PREPROD_TUPLE_DRIFT,preprod,ef_hub_coordination,tuple_drift,current,journey_validated,blocked,current,BLOCKED_RESTORE_PROOF; RESILIENCE_TUPLE_DRIFT
PREPROD_TUPLE_DRIFT,preprod,ef_pharmacy_referral_reconciliation,exact_and_ready,current,journey_validated,current,current,
PREPROD_TUPLE_DRIFT,preprod,ef_communication_reachability,tuple_drift,current,journey_validated,blocked,current,BLOCKED_RESTORE_PROOF; RESILIENCE_TUPLE_DRIFT
PREPROD_TUPLE_DRIFT,preprod,ef_release_governance,tuple_drift,current,journey_validated,blocked,current,BLOCKED_RESTORE_PROOF; RESILIENCE_TUPLE_DRIFT
PREPROD_TUPLE_DRIFT,preprod,ef_platform_recovery_control,tuple_drift,current,journey_validated,blocked,current,BLOCKED_RESTORE_PROOF; RESILIENCE_TUPLE_DRIFT
PREPROD_ASSURANCE_OR_FREEZE_BLOCKED,preprod,ef_patient_entry_recovery,assurance_or_freeze_blocked,current,journey_validated,current,current,ASSURANCE_OR_FREEZE_BLOCKED
PREPROD_ASSURANCE_OR_FREEZE_BLOCKED,preprod,ef_patient_self_service_continuity,assurance_or_freeze_blocked,current,journey_validated,current,current,ASSURANCE_OR_FREEZE_BLOCKED
PREPROD_ASSURANCE_OR_FREEZE_BLOCKED,preprod,ef_workspace_settlement,assurance_or_freeze_blocked,current,journey_validated,current,current,ASSURANCE_OR_FREEZE_BLOCKED
PREPROD_ASSURANCE_OR_FREEZE_BLOCKED,preprod,ef_booking_capacity_commit,assurance_or_freeze_blocked,current,journey_validated,current,current,ASSURANCE_OR_FREEZE_BLOCKED
PREPROD_ASSURANCE_OR_FREEZE_BLOCKED,preprod,ef_hub_coordination,assurance_or_freeze_blocked,current,journey_validated,current,current,ASSURANCE_OR_FREEZE_BLOCKED
PREPROD_ASSURANCE_OR_FREEZE_BLOCKED,preprod,ef_pharmacy_referral_reconciliation,assurance_or_freeze_blocked,current,journey_validated,current,current,ASSURANCE_OR_FREEZE_BLOCKED
PREPROD_ASSURANCE_OR_FREEZE_BLOCKED,preprod,ef_communication_reachability,assurance_or_freeze_blocked,current,journey_validated,current,current,ASSURANCE_OR_FREEZE_BLOCKED
PREPROD_ASSURANCE_OR_FREEZE_BLOCKED,preprod,ef_release_governance,assurance_or_freeze_blocked,current,journey_validated,current,current,ASSURANCE_OR_FREEZE_BLOCKED
PREPROD_ASSURANCE_OR_FREEZE_BLOCKED,preprod,ef_platform_recovery_control,assurance_or_freeze_blocked,current,journey_validated,current,current,ASSURANCE_OR_FREEZE_BLOCKED
