contract_id,route_family_ref,keyboard_model,focus_transition_scope,traversal_keys,activation_keys,dismissal_keys,optional_keys,landmarks,verification_narrative,contract_state,gap_resolution_ref,coverage_state,design_contract_publication_bundle_ref,source_refs
KIC_111_GOVERNANCE_SHELL_PRIMARY_V1,rf_governance_shell,tabs,surface_root,ArrowLeft | ArrowRight | Home | End,Enter | Space,Escape,Tab | Shift+Tab,banner | navigation | main | complementary,Tabs own section changes and thread restore without shell-level chrome repetition.,provisional,GAP_RESOLUTION_KEYBOARD_MODEL_TABS_RESTORE_PROVISIONAL_V1,degraded,dcpb::governance_admin::planned,prompt/111.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/accessibility-and-content-system-contract.md#AccessibleSurfaceContract; blueprint/accessibility-and-content-system-contract.md#KeyboardInteractionContract; blueprint/accessibility-and-content-system-contract.md#FocusTransitionContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#SelectedAnchorPolicy; blueprint/forensic-audit-findings.md#Finding 86; blueprint/forensic-audit-findings.md#Finding 92; blueprint/forensic-audit-findings.md#Finding 93; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120
KIC_111_HUB_CASE_MANAGEMENT_PRIMARY_V1,rf_hub_case_management,tab_ring,surface_root,Tab | Shift+Tab,Enter | Space,Escape,ArrowDown | ArrowUp,banner | navigation | main,Linear tab order with explicit activation and calm escape.,exact,,complete,dcpb::hub_desk::planned,prompt/111.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/accessibility-and-content-system-contract.md#AccessibleSurfaceContract; blueprint/accessibility-and-content-system-contract.md#KeyboardInteractionContract; blueprint/accessibility-and-content-system-contract.md#FocusTransitionContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#SelectedAnchorPolicy; blueprint/forensic-audit-findings.md#Finding 86; blueprint/forensic-audit-findings.md#Finding 92; blueprint/forensic-audit-findings.md#Finding 93; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120
KIC_111_HUB_QUEUE_PRIMARY_V1,rf_hub_queue,listbox,selected_anchor_preserve,ArrowDown | ArrowUp | Home | End,Enter | Space,Escape,Tab | Shift+Tab,banner | navigation | main,Roving listbox focus keeps the selected anchor stable while items change.,exact,,complete,dcpb::hub_desk::planned,prompt/111.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/accessibility-and-content-system-contract.md#AccessibleSurfaceContract; blueprint/accessibility-and-content-system-contract.md#KeyboardInteractionContract; blueprint/accessibility-and-content-system-contract.md#FocusTransitionContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#SelectedAnchorPolicy; blueprint/forensic-audit-findings.md#Finding 86; blueprint/forensic-audit-findings.md#Finding 92; blueprint/forensic-audit-findings.md#Finding 93; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120
KIC_111_INTAKE_SELF_SERVICE_PRIMARY_V1,rf_intake_self_service,tab_ring,surface_root,Tab | Shift+Tab,Enter | Space,Escape,ArrowDown | ArrowUp,banner | navigation | main | form,Linear tab order with explicit activation and calm escape.,exact,,complete,dcpb::patient_public_entry::planned,prompt/111.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/accessibility-and-content-system-contract.md#AccessibleSurfaceContract; blueprint/accessibility-and-content-system-contract.md#KeyboardInteractionContract; blueprint/accessibility-and-content-system-contract.md#FocusTransitionContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#SelectedAnchorPolicy; blueprint/forensic-audit-findings.md#Finding 86; blueprint/forensic-audit-findings.md#Finding 92; blueprint/forensic-audit-findings.md#Finding 93; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120
KIC_111_INTAKE_TELEPHONY_CAPTURE_PRIMARY_V1,rf_intake_telephony_capture,tab_ring,surface_root,Tab | Shift+Tab,Enter | Space,Escape,ArrowDown | ArrowUp,banner | navigation | main | form,Linear tab order with explicit activation and calm escape.,exact,,complete,dcpb::patient_public_entry::planned,prompt/111.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/accessibility-and-content-system-contract.md#AccessibleSurfaceContract; blueprint/accessibility-and-content-system-contract.md#KeyboardInteractionContract; blueprint/accessibility-and-content-system-contract.md#FocusTransitionContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#SelectedAnchorPolicy; blueprint/forensic-audit-findings.md#Finding 86; blueprint/forensic-audit-findings.md#Finding 92; blueprint/forensic-audit-findings.md#Finding 93; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120
KIC_111_OPERATIONS_BOARD_PRIMARY_V1,rf_operations_board,grid,surface_root,ArrowLeft | ArrowRight | ArrowDown | ArrowUp | Home | End,Enter | Space,Escape,PageUp | PageDown | Tab | Shift+Tab,banner | navigation | main | complementary,Dense matrix navigation is explicit and may downgrade to table-first proof.,provisional,GAP_RESOLUTION_KEYBOARD_MODEL_GRID_PROVISIONAL_V1,degraded,dcpb::operations_console::planned,prompt/111.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/accessibility-and-content-system-contract.md#AccessibleSurfaceContract; blueprint/accessibility-and-content-system-contract.md#KeyboardInteractionContract; blueprint/accessibility-and-content-system-contract.md#FocusTransitionContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#SelectedAnchorPolicy; blueprint/forensic-audit-findings.md#Finding 86; blueprint/forensic-audit-findings.md#Finding 92; blueprint/forensic-audit-findings.md#Finding 93; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120
KIC_111_OPERATIONS_DRILLDOWN_PRIMARY_V1,rf_operations_drilldown,grid,surface_root,ArrowLeft | ArrowRight | ArrowDown | ArrowUp | Home | End,Enter | Space,Escape,PageUp | PageDown | Tab | Shift+Tab,banner | navigation | main | complementary,Dense matrix navigation is explicit and may downgrade to table-first proof.,provisional,GAP_RESOLUTION_KEYBOARD_MODEL_GRID_PROVISIONAL_V1,degraded,dcpb::operations_console::planned,prompt/111.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/accessibility-and-content-system-contract.md#AccessibleSurfaceContract; blueprint/accessibility-and-content-system-contract.md#KeyboardInteractionContract; blueprint/accessibility-and-content-system-contract.md#FocusTransitionContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#SelectedAnchorPolicy; blueprint/forensic-audit-findings.md#Finding 86; blueprint/forensic-audit-findings.md#Finding 92; blueprint/forensic-audit-findings.md#Finding 93; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120
KIC_111_PATIENT_APPOINTMENTS_PRIMARY_V1,rf_patient_appointments,tab_ring,detail_child_return,Tab | Shift+Tab,Enter | Space,Escape,ArrowDown | ArrowUp,banner | navigation | main,Linear tab order with explicit activation and calm escape.,exact,,complete,dcpb::patient_authenticated_shell::planned,prompt/111.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/accessibility-and-content-system-contract.md#AccessibleSurfaceContract; blueprint/accessibility-and-content-system-contract.md#KeyboardInteractionContract; blueprint/accessibility-and-content-system-contract.md#FocusTransitionContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#SelectedAnchorPolicy; blueprint/forensic-audit-findings.md#Finding 86; blueprint/forensic-audit-findings.md#Finding 92; blueprint/forensic-audit-findings.md#Finding 93; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120
KIC_111_PATIENT_EMBEDDED_CHANNEL_PRIMARY_V1,rf_patient_embedded_channel,tab_ring,surface_root,Tab | Shift+Tab,Enter | Space,Escape,ArrowDown | ArrowUp,banner | main,Linear tab order with explicit activation and calm escape.,blocked,,complete,dcpb::patient_transaction_recovery::planned,prompt/111.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/accessibility-and-content-system-contract.md#AccessibleSurfaceContract; blueprint/accessibility-and-content-system-contract.md#KeyboardInteractionContract; blueprint/accessibility-and-content-system-contract.md#FocusTransitionContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#SelectedAnchorPolicy; blueprint/forensic-audit-findings.md#Finding 86; blueprint/forensic-audit-findings.md#Finding 92; blueprint/forensic-audit-findings.md#Finding 93; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120
KIC_111_PATIENT_HEALTH_RECORD_PRIMARY_V1,rf_patient_health_record,tab_ring,surface_root,Tab | Shift+Tab,Enter | Space,Escape,ArrowDown | ArrowUp,banner | navigation | main,Linear tab order with explicit activation and calm escape.,exact,,complete,dcpb::patient_authenticated_shell::planned,prompt/111.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/accessibility-and-content-system-contract.md#AccessibleSurfaceContract; blueprint/accessibility-and-content-system-contract.md#KeyboardInteractionContract; blueprint/accessibility-and-content-system-contract.md#FocusTransitionContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#SelectedAnchorPolicy; blueprint/forensic-audit-findings.md#Finding 86; blueprint/forensic-audit-findings.md#Finding 92; blueprint/forensic-audit-findings.md#Finding 93; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120
KIC_111_PATIENT_HOME_PRIMARY_V1,rf_patient_home,tab_ring,surface_root,Tab | Shift+Tab,Enter | Space,Escape,ArrowDown | ArrowUp,banner | navigation | main,Linear tab order with explicit activation and calm escape.,exact,,complete,dcpb::patient_authenticated_shell::planned,prompt/111.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/accessibility-and-content-system-contract.md#AccessibleSurfaceContract; blueprint/accessibility-and-content-system-contract.md#KeyboardInteractionContract; blueprint/accessibility-and-content-system-contract.md#FocusTransitionContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#SelectedAnchorPolicy; blueprint/forensic-audit-findings.md#Finding 86; blueprint/forensic-audit-findings.md#Finding 92; blueprint/forensic-audit-findings.md#Finding 93; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120
