score_mode,integration_id,integration_name,recommended_lane,baseline_role,score_total,rank,patient_safety_consequence,canonical_truth_effect,patient_visible_continuity,operator_truth_supportability,mockability_quality,live_acquisition_latency,approval_burden,security_privacy_burden,coupling_risk_if_delayed,readiness_value_unlocked,proof_rigor_demand,live_pressure_from_mock_limit,baseline_role_bonus
mock_now_execution,int_identity_nhs_login_core,NHS login core identity rail,hybrid_mock_then_live,baseline_required,251,2,4,5,5,4,4,5,5,5,5,5,5,2,5
mock_now_execution,int_identity_pds_optional_enrichment,Optional PDS enrichment seam,actual_later,optional_flagged,115,15,2,1,1,2,5,4,4,4,2,1,1,1,2
mock_now_execution,int_telephony_capture_evidence_backplane,"Telephony capture, transcript, and artifact-safety backplane",mock_now,baseline_mock_required,240,5,5,4,4,5,3,4,4,5,5,5,5,3,4
mock_now_execution,int_sms_continuation_delivery,SMS continuation delivery rail,actual_later,optional_flagged,164,11,3,2,4,3,5,3,3,4,3,3,2,1,2
mock_now_execution,int_email_notification_delivery,Email and secure-link notification rail,mock_now,baseline_mock_required,177,10,3,2,4,4,5,3,3,4,3,4,2,1,4
mock_now_execution,int_im1_pairing_and_capability_prereq,IM1 pairing and capability-governance prerequisite seam,hybrid_mock_then_live,baseline_required,194,8,2,3,2,4,3,5,5,4,5,5,3,3,5
mock_now_execution,int_local_booking_provider_truth,Local booking provider capability and confirmation-truth seam,mock_now,baseline_mock_required,246,3,4,5,5,5,3,5,4,4,5,5,5,3,4
mock_now_execution,int_network_capacity_and_practice_ack,Network capacity and practice-acknowledgement seam,mock_now,baseline_mock_required,218,6,4,4,5,5,3,4,4,3,4,4,4,3,4
mock_now_execution,int_cross_org_secure_messaging,Cross-organisation secure messaging and MESH seam,hybrid_mock_then_live,baseline_mock_required,218,7,3,4,4,4,3,5,5,5,4,4,5,3,4
mock_now_execution,int_pharmacy_directory_and_choice,Pharmacy directory and patient-choice seam,mock_now,baseline_mock_required,182,9,3,2,4,3,5,4,3,2,4,4,3,1,4
mock_now_execution,int_pharmacy_dispatch_and_urgent_return,Pharmacy dispatch proof and urgent-return seam,mock_now,baseline_mock_required,251,1,5,5,5,5,2,5,5,4,5,5,5,4,4
mock_now_execution,int_pharmacy_outcome_reconciliation,Pharmacy outcome observation and reconciliation seam,mock_now,baseline_mock_required,242,4,5,4,4,5,4,4,4,4,5,5,5,2,4
mock_now_execution,int_nhs_app_embedded_channel,NHS App embedded-channel ecosystem,deferred,deferred_channel,126,13,1,1,3,2,4,5,5,4,1,1,3,2,0
mock_now_execution,int_assistive_vendor_boundary,Assistive model-vendor boundary,deferred,future_optional,120,14,1,1,1,2,4,4,5,5,2,1,3,2,0
mock_now_execution,int_standards_and_assurance_watch,NHS standards and assurance source watch,mock_now,baseline_required,133,12,2,1,1,3,5,1,1,1,4,4,2,1,5
actual_provider_strategy_later,int_identity_nhs_login_core,NHS login core identity rail,hybrid_mock_then_live,baseline_required,253,2,4,5,5,4,4,5,5,5,5,5,5,2,5
actual_provider_strategy_later,int_identity_pds_optional_enrichment,Optional PDS enrichment seam,actual_later,optional_flagged,122,14,2,1,1,2,5,4,4,4,2,1,1,1,2
actual_provider_strategy_later,int_telephony_capture_evidence_backplane,"Telephony capture, transcript, and artifact-safety backplane",mock_now,baseline_mock_required,243,4,5,4,4,5,3,4,4,5,5,5,5,3,4
actual_provider_strategy_later,int_sms_continuation_delivery,SMS continuation delivery rail,actual_later,optional_flagged,156,11,3,2,4,3,5,3,3,4,3,3,2,1,2
actual_provider_strategy_later,int_email_notification_delivery,Email and secure-link notification rail,mock_now,baseline_mock_required,167,10,3,2,4,4,5,3,3,4,3,4,2,1,4
actual_provider_strategy_later,int_im1_pairing_and_capability_prereq,IM1 pairing and capability-governance prerequisite seam,hybrid_mock_then_live,baseline_required,210,8,2,3,2,4,3,5,5,4,5,5,3,3,5
actual_provider_strategy_later,int_local_booking_provider_truth,Local booking provider capability and confirmation-truth seam,mock_now,baseline_mock_required,249,3,4,5,5,5,3,5,4,4,5,5,5,3,4
actual_provider_strategy_later,int_network_capacity_and_practice_ack,Network capacity and practice-acknowledgement seam,mock_now,baseline_mock_required,219,7,4,4,5,5,3,4,4,3,4,4,4,3,4
actual_provider_strategy_later,int_cross_org_secure_messaging,Cross-organisation secure messaging and MESH seam,hybrid_mock_then_live,baseline_mock_required,231,6,3,4,4,4,3,5,5,5,4,4,5,3,4
actual_provider_strategy_later,int_pharmacy_directory_and_choice,Pharmacy directory and patient-choice seam,mock_now,baseline_mock_required,171,9,3,2,4,3,5,4,3,2,4,4,3,1,4
actual_provider_strategy_later,int_pharmacy_dispatch_and_urgent_return,Pharmacy dispatch proof and urgent-return seam,mock_now,baseline_mock_required,263,1,5,5,5,5,2,5,5,4,5,5,5,4,4
actual_provider_strategy_later,int_pharmacy_outcome_reconciliation,Pharmacy outcome observation and reconciliation seam,mock_now,baseline_mock_required,236,5,5,4,4,5,4,4,4,4,5,5,5,2,4
actual_provider_strategy_later,int_nhs_app_embedded_channel,NHS App embedded-channel ecosystem,deferred,deferred_channel,143,12,1,1,3,2,4,5,5,4,1,1,3,2,0
actual_provider_strategy_later,int_assistive_vendor_boundary,Assistive model-vendor boundary,deferred,future_optional,138,13,1,1,1,2,4,4,5,5,2,1,3,2,0
actual_provider_strategy_later,int_standards_and_assurance_watch,NHS standards and assurance source watch,mock_now,baseline_required,111,15,2,1,1,3,5,1,1,1,4,4,2,1,5
