milestone_signal_id,domain_context,case_family,signal_name,signal_class,event_contract_refs,route_family_refs,route_scope_requirement_refs,audience_surface_refs,acting_scope_tuple_refs,runtime_binding_refs,trust_refs,purpose_refs,coordinator_consumption_mode,candidate_request_milestone,blocker_class_keys,closure_eligibility,reopen_trigger_class,evaluation_check_refs,may_write_request_workflow_directly,may_write_request_closed_directly,coordinator_close_event_ref,coordinator_closed_event_ref,coordinator_reopened_event_ref,required_lineage_epoch,meaning,source_refs
MSIG_055_BOOKING_AMBIGUOUS,booking,booking,booking.commit.ambiguous,gate,CEC_BOOKING_COMMIT_AMBIGUOUS,rf_staff_workspace; rf_patient_appointments,RSR_054_GWS_CLINICIAN_WORKSPACE_RF_STAFF_WORKSPACE; RSR_054_GWS_PRACTICE_OPS_WORKSPACE_RF_STAFF_WORKSPACE; RSR_054_GWS_PATIENT_APPOINTMENTS_RF_PATIENT_APPOINTMENTS,audsurf_clinical_workspace; audsurf_patient_authenticated_portal,AST_054_CLINICAL_WORKSPACE_V1; AST_054_PRACTICE_OPS_V1,ASRB_050_CLINICAL_WORKSPACE_V1; ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,asr_runtime_topology_tuple; RTFV_PROD_WORKSPACE_LIVE_V1,purpose://operational_care_delivery; purpose://authenticated_self_service,materialize_blockers,handoff_active,confirmation_gate;outcome_reconciliation,defer_on_blocker,contradiction,CHECK_055_03_APPROVALS_CLEAR;CHECK_055_04_OUTCOME_TRUTH_CLEAR;CHECK_055_05_PHARMACY_RECONCILIATION_CLEAR,no,no,CEC_REQUEST_CLOSE_EVALUATED,CEC_REQUEST_CLOSED,CEC_REQUEST_REOPENED,yes,Ambiguous supplier truth becomes an explicit confirmation and reconciliation hold instead of a pseudo-workflow state.,blueprint/phase-4-the-booking-engine.md; blueprint/forensic-audit-findings.md#Finding 72; blueprint/forensic-audit-findings.md#Finding 73
MSIG_055_BOOKING_CONFIRMATION_PENDING,booking,booking,booking.commit.confirmation_pending,gate,CEC_BOOKING_COMMIT_CONFIRMATION_PENDING,rf_staff_workspace; rf_patient_appointments,RSR_054_GWS_CLINICIAN_WORKSPACE_RF_STAFF_WORKSPACE; RSR_054_GWS_PRACTICE_OPS_WORKSPACE_RF_STAFF_WORKSPACE; RSR_054_GWS_PATIENT_APPOINTMENTS_RF_PATIENT_APPOINTMENTS,audsurf_clinical_workspace; audsurf_patient_authenticated_portal,AST_054_CLINICAL_WORKSPACE_V1; AST_054_PRACTICE_OPS_V1,ASRB_050_CLINICAL_WORKSPACE_V1; ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,asr_runtime_topology_tuple; RTFV_PROD_WORKSPACE_LIVE_V1,purpose://operational_care_delivery; purpose://authenticated_self_service,materialize_blockers,handoff_active,confirmation_gate;degraded_promise,defer_on_blocker,none,CHECK_055_03_APPROVALS_CLEAR;CHECK_055_04_OUTCOME_TRUTH_CLEAR;CHECK_055_15_CONSENT_AND_DEGRADED_CONFIRMATION_CLEAR,no,no,CEC_REQUEST_CLOSE_EVALUATED,CEC_REQUEST_CLOSED,CEC_REQUEST_REOPENED,yes,"Booking can assert pending confirmation truth, but only the coordinator materializes the close blocker and defer verdict.",blueprint/phase-4-the-booking-engine.md; blueprint/forensic-audit-findings.md#Finding 74
MSIG_055_BOOKING_CONFIRMED,booking,booking,booking.commit.confirmed,milestone,CEC_BOOKING_COMMIT_CONFIRMED,rf_staff_workspace; rf_patient_appointments,RSR_054_GWS_CLINICIAN_WORKSPACE_RF_STAFF_WORKSPACE; RSR_054_GWS_PRACTICE_OPS_WORKSPACE_RF_STAFF_WORKSPACE; RSR_054_GWS_PATIENT_APPOINTMENTS_RF_PATIENT_APPOINTMENTS,audsurf_clinical_workspace; audsurf_patient_authenticated_portal,AST_054_CLINICAL_WORKSPACE_V1; AST_054_PRACTICE_OPS_V1,ASRB_050_CLINICAL_WORKSPACE_V1; ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,asr_runtime_topology_tuple; RTFV_PROD_WORKSPACE_LIVE_V1,purpose://operational_care_delivery; purpose://authenticated_self_service,derive_milestone_only,outcome_recorded,,close_candidate,none,CHECK_055_11_COMMAND_FOLLOWING_CONSUMED;CHECK_055_12_TERMINAL_OUTCOME_PRESENT,no,no,CEC_REQUEST_CLOSE_EVALUATED,CEC_REQUEST_CLOSED,CEC_REQUEST_REOPENED,yes,Booking confirmation is case-local success first; the coordinator decides whether the request is now closeable.,blueprint/phase-4-the-booking-engine.md; blueprint/forensic-audit-findings.md#Finding 74
MSIG_055_COMMUNICATION_CALLBACK_OUTCOME_RECORDED,communication,callback_message,communication.callback.outcome.recorded,continuity,CEC_COMMUNICATION_CALLBACK_OUTCOME_RECORDED,rf_patient_messages; rf_support_ticket_workspace,RSR_054_GWS_PATIENT_MESSAGES_RF_PATIENT_MESSAGES; RSR_054_GWS_SUPPORT_ASSISTED_CAPTURE_RF_SUPPORT_TICKET_WORKSPACE; RSR_054_GWS_SUPPORT_TICKET_WORKSPACE_RF_SUPPORT_TICKET_WORKSPACE,audsurf_patient_authenticated_portal; audsurf_support_workspace,AST_054_SUPPORT_ASSISTED_CAPTURE_V1; AST_054_SUPPORT_WORKSPACE_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1; ASRB_050_SUPPORT_WORKSPACE_V1,asr_runtime_topology_tuple; RTFV_PROD_SUPPORT_LIVE_V1; asr_restore_readiness,purpose://authenticated_self_service; purpose://support_assisted_capture; purpose://support_workflow,derive_milestone_only,handoff_active,reachability_dependency,progress_only,unable_to_contact,CHECK_055_07_REACHABILITY_CLEAR;CHECK_055_10_LINEAGE_LINKS_SETTLED,no,no,CEC_REQUEST_CLOSE_EVALUATED,CEC_REQUEST_CLOSED,CEC_REQUEST_REOPENED,yes,"Callback outcomes update continuity and reachability posture, but request truth remains coordinator-owned.",blueprint/callback-and-clinician-messaging-loop.md; docs/architecture/05_request_lineage_model.md
MSIG_055_COMMUNICATION_COMMAND_SETTLED,communication,callback_message,communication.command.settled,milestone,CEC_COMMUNICATION_COMMAND_SETTLED,rf_patient_messages; rf_patient_requests,RSR_054_GWS_PATIENT_MESSAGES_RF_PATIENT_MESSAGES; RSR_054_GWS_PATIENT_REQUESTS_RF_PATIENT_REQUESTS,audsurf_patient_authenticated_portal,,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,,purpose://authenticated_self_service,derive_milestone_only,outcome_recorded,,close_candidate,none,CHECK_055_11_COMMAND_FOLLOWING_CONSUMED;CHECK_055_12_TERMINAL_OUTCOME_PRESENT,no,no,CEC_REQUEST_CLOSE_EVALUATED,CEC_REQUEST_CLOSED,CEC_REQUEST_REOPENED,yes,"Message or callback command settlement may complete local communication truth, but the coordinator still owns closure evaluation.",blueprint/callback-and-clinician-messaging-loop.md; prompt/055.md
MSIG_055_HUB_CONFIRMATION_PENDING,hub_coordination,hub,hub.booking.confirmation_pending,gate,CEC_HUB_BOOKING_CONFIRMATION_PENDING,rf_hub_case_management; rf_hub_queue,RSR_054_GWS_HUB_CASE_MANAGEMENT_RF_HUB_CASE_MANAGEMENT; RSR_054_GWS_HUB_QUEUE_RF_HUB_QUEUE,audsurf_hub_desk,AST_054_HUB_COORDINATION_V1,ASRB_050_HUB_DESK_V1,asr_runtime_topology_tuple; RTFV_PROD_HUB_LIVE_V1; scope://hub/cross_org_visibility,purpose://operational_care_delivery,materialize_blockers,handoff_active,confirmation_gate,defer_on_blocker,none,CHECK_055_03_APPROVALS_CLEAR;CHECK_055_04_OUTCOME_TRUTH_CLEAR,no,no,CEC_REQUEST_CLOSE_EVALUATED,CEC_REQUEST_CLOSED,CEC_REQUEST_REOPENED,yes,"Hub-native confirmation debt remains visible as a coordinator gate, not as a direct request close or patient-final success.",blueprint/phase-5-the-network-horizon.md; blueprint/forensic-audit-findings.md#Finding 76
MSIG_055_HUB_EXTERNALLY_CONFIRMED,hub_coordination,hub,hub.booking.externally_confirmed,milestone,CEC_HUB_BOOKING_EXTERNALLY_CONFIRMED,rf_hub_case_management; rf_hub_queue,RSR_054_GWS_HUB_CASE_MANAGEMENT_RF_HUB_CASE_MANAGEMENT; RSR_054_GWS_HUB_QUEUE_RF_HUB_QUEUE,audsurf_hub_desk,AST_054_HUB_COORDINATION_V1,ASRB_050_HUB_DESK_V1,asr_runtime_topology_tuple; RTFV_PROD_HUB_LIVE_V1; scope://hub/cross_org_visibility,purpose://operational_care_delivery,derive_milestone_only,outcome_recorded,,close_candidate,none,CHECK_055_11_COMMAND_FOLLOWING_CONSUMED;CHECK_055_12_TERMINAL_OUTCOME_PRESENT;CHECK_055_14_REQUIRED_ACKS_HANDLED,no,no,CEC_REQUEST_CLOSE_EVALUATED,CEC_REQUEST_CLOSED,CEC_REQUEST_REOPENED,yes,"Hub confirmation can advance the lineage toward outcome_recorded, but closure still waits for acknowledgement and blocker clearance.",blueprint/phase-5-the-network-horizon.md; blueprint/forensic-audit-findings.md#Finding 76
MSIG_055_HUB_PRACTICE_NOTIFIED,hub_coordination,hub,hub.practice.notified,approval,CEC_HUB_PRACTICE_NOTIFIED,rf_hub_case_management; rf_hub_queue,RSR_054_GWS_HUB_CASE_MANAGEMENT_RF_HUB_CASE_MANAGEMENT; RSR_054_GWS_HUB_QUEUE_RF_HUB_QUEUE,audsurf_hub_desk,AST_054_HUB_COORDINATION_V1,ASRB_050_HUB_DESK_V1,asr_runtime_topology_tuple; RTFV_PROD_HUB_LIVE_V1; scope://hub/cross_org_visibility,purpose://operational_care_delivery,materialize_blockers,handoff_active,approval_checkpoint;confirmation_gate,defer_on_blocker,none,CHECK_055_03_APPROVALS_CLEAR;CHECK_055_14_REQUIRED_ACKS_HANDLED,no,no,CEC_REQUEST_CLOSE_EVALUATED,CEC_REQUEST_CLOSED,CEC_REQUEST_REOPENED,yes,"Practice-visibility debt is explicit coordinator material, not a silent note on the hub case.",blueprint/phase-5-the-network-horizon.md; blueprint/forensic-audit-findings.md#Finding 76
MSIG_055_PHARMACY_CASE_BOUNCE_BACK,pharmacy,pharmacy,pharmacy.case.bounce_back,reopen,CEC_PHARMACY_CASE_BOUNCE_BACK,rf_pharmacy_console; rf_staff_workspace,RSR_054_GWS_PHARMACY_CONSOLE_RF_PHARMACY_CONSOLE; RSR_054_GWS_CLINICIAN_WORKSPACE_RF_STAFF_WORKSPACE; RSR_054_GWS_PRACTICE_OPS_WORKSPACE_RF_STAFF_WORKSPACE,audsurf_pharmacy_console; audsurf_clinical_workspace,AST_054_PHARMACY_SERVICING_V1; AST_054_CLINICAL_WORKSPACE_V1; AST_054_PRACTICE_OPS_V1,ASRB_050_PHARMACY_CONSOLE_V1; ASRB_050_CLINICAL_WORKSPACE_V1,asr_runtime_topology_tuple; RTFV_PROD_PHARMACY_LIVE_V1; RTFV_PROD_WORKSPACE_LIVE_V1,purpose://operational_care_delivery,derive_governed_reopen,triage_active,safety_preemption;reachability_dependency,reopen_candidate,bounce_back,CHECK_055_02_PREEMPTION_CLEAR;CHECK_055_07_REACHABILITY_CLEAR;CHECK_055_12_TERMINAL_OUTCOME_PRESENT,no,no,CEC_REQUEST_CLOSE_EVALUATED,CEC_REQUEST_CLOSED,CEC_REQUEST_REOPENED,yes,Bounce-back reopens through the coordinator under urgent or unable-to-complete rules; pharmacy does not directly rewrite request workflow.,"blueprint/phase-6-the-pharmacy-loop.md#6G. Bounce-back, urgent return, and reopen mechanics; blueprint/forensic-audit-findings.md#Finding 77"
MSIG_055_PHARMACY_CASE_RESOLVED,pharmacy,pharmacy,pharmacy.case.resolved,milestone,CEC_PHARMACY_CASE_RESOLVED,rf_pharmacy_console; rf_patient_requests,RSR_054_GWS_PHARMACY_CONSOLE_RF_PHARMACY_CONSOLE; RSR_054_GWS_PATIENT_REQUESTS_RF_PATIENT_REQUESTS,audsurf_pharmacy_console; audsurf_patient_authenticated_portal,AST_054_PHARMACY_SERVICING_V1,ASRB_050_PHARMACY_CONSOLE_V1; ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,asr_runtime_topology_tuple; RTFV_PROD_PHARMACY_LIVE_V1,purpose://operational_care_delivery; purpose://authenticated_self_service,derive_milestone_only,outcome_recorded,,close_candidate,none,CHECK_055_11_COMMAND_FOLLOWING_CONSUMED;CHECK_055_12_TERMINAL_OUTCOME_PRESENT;CHECK_055_15_CONSENT_AND_DEGRADED_CONFIRMATION_CLEAR,no,no,CEC_REQUEST_CLOSE_EVALUATED,CEC_REQUEST_CLOSED,CEC_REQUEST_REOPENED,yes,"Resolved-by-pharmacy becomes candidate terminal outcome only after the coordinator confirms no grant, reachability, or reconciliation debt remains.","blueprint/phase-6-the-pharmacy-loop.md#6F. Outcome ingest, reconciliation, and closure; blueprint/forensic-audit-findings.md#Finding 77"
