artifact_id,artifact_name,artifact_family,required_stage_ids,owner_role,mock_now_status,actual_later_status,browser_automation_possible,source_refs,notes
art_eoi_dossier,Expression of interest dossier,eligibility,nhs_app_stage_eoi_eligibility;nhs_app_stage_product_review,ROLE_EMBEDDED_CHANNEL_LEAD,generated,placeholder,partial,official_nhs_app_eoi_questions;official_nhs_app_web_integration,Mock dossier exists now; real portal submission remains blocked.
art_eligibility_evidence_pack,Eligibility evidence pack,eligibility,nhs_app_stage_eoi_eligibility;nhs_app_stage_product_review,ROLE_PROGRAMME_ARCHITECT,generated,partial,partial,official_nhs_app_web_integration,"Captures commissioning, framework, and patient-facing eligibility evidence."
art_nhs_login_dependency_summary,NHS login dependency summary,identity_dependency,nhs_app_stage_eoi_eligibility;nhs_app_stage_solution_design,ROLE_INTEROPERABILITY_LEAD,generated,review_required,no,docs/external/24_nhs_login_actual_onboarding_strategy.md;docs/external/25_nhs_login_environment_profile_pack.md,Links NHS App onboarding to seq_024 and seq_025 rather than duplicating identity logic.
art_route_manifest,NHS App route manifest and jump-off inventory,solution_design,nhs_app_stage_solution_design;nhs_app_stage_sandpit_delivery;nhs_app_stage_aos_delivery,ROLE_PROGRAMME_ARCHITECT,generated,review_required,yes,"blueprint/phase-7-inside-the-nhs-app.md#7A. Journey inventory, integration manifest, and onboarding pack",Manifest must stay pinned to release tuple and environment values.
art_solution_design,Solution design document,solution_design,nhs_app_stage_solution_design,ROLE_PROGRAMME_ARCHITECT,generated,review_required,partial,official_nhs_app_web_integration,The NHS App technical team expects a solution design document in step 3.
art_embedded_preview_board,Embedded preview board,design_readiness,nhs_app_stage_solution_design;nhs_app_stage_sandpit_delivery,ROLE_EMBEDDED_CHANNEL_LEAD,generated,generated,yes,"blueprint/phase-7-inside-the-nhs-app.md#7E. NHS App bridge API, navigation model, and embedded behaviours","Proves hidden header, embedded-safe navigation, and route parity before real environments exist."
art_demo_environment_brief,Demo environment brief,demo_readiness,nhs_app_stage_product_review;nhs_app_stage_sandpit_delivery,ROLE_EMBEDDED_CHANNEL_LEAD,generated,review_required,yes,official_nhs_app_web_integration;official_nhs_app_eoi_questions,The NHS App team reviews the product assessment on the demo environment.
art_research_pack,Recent user research pack,design_readiness,nhs_app_stage_product_review,ROLE_PRODUCT_LEAD,placeholder,review_required,no,official_nhs_app_eoi_questions,Explicit placeholder keeps the gap visible.
art_accessibility_audit,WCAG 2.2 accessibility audit,assurance,nhs_app_stage_product_review;nhs_app_stage_scal_assurance;nhs_app_stage_full_release,ROLE_ACCESSIBILITY_LEAD,planned,review_required,partial,official_nhs_app_standards;official_nhs_app_eoi_questions,Required by standards page and reviewed during step 4 evidence submission.
art_service_support_pack,NHS Service Support Guidance pack,operational_readiness,nhs_app_stage_solution_design;nhs_app_stage_scal_assurance;nhs_app_stage_limited_release,ROLE_SUPPORT_LEAD,planned,review_required,no,official_nhs_app_web_integration,Service Management schedules the support guidance walkthrough in step 3.
art_implementation_approach,Implementation approach document,release_readiness,nhs_app_stage_solution_design;nhs_app_stage_limited_release,ROLE_RELEASE_MANAGER,generated,review_required,partial,official_nhs_app_web_integration,Must include limited versus full release rationale.
art_clinical_safety_bundle,Clinical safety bundle (DCB0129/DCB0160),assurance,nhs_app_stage_scal_assurance;nhs_app_stage_connection_agreement,ROLE_MANUFACTURER_CSO,planned,review_required,partial,official_nhs_app_standards;official_nhs_app_web_integration,Uploaded through SCAL and reviewed before go-live.
art_privacy_and_service_standard,Privacy and NHS service standard bundle,assurance,nhs_app_stage_scal_assurance;nhs_app_stage_connection_agreement,ROLE_DPO,planned,review_required,partial,official_nhs_app_standards,"Includes GDPR, PECR, and service-standard evidence."
art_scal_workspace,SCAL workspace and upload map,assurance,nhs_app_stage_scal_assurance,ROLE_INTEROPERABILITY_LEAD,generated,review_required,partial,official_nhs_app_web_integration;official_nhs_app_standards,Maps each evidence family to its SCAL position.
art_incident_rehearsal_pack,Incident rehearsal pack,operational_readiness,nhs_app_stage_sandpit_delivery;nhs_app_stage_aos_delivery;nhs_app_stage_limited_release,ROLE_SUPPORT_LEAD,planned,review_required,no,official_nhs_app_web_integration,Step 4 requires an incident rehearsal with the service management team.
art_connection_agreement,Connection agreement readiness pack,release_readiness,nhs_app_stage_connection_agreement,ROLE_PROGRAMME_ARCHITECT,placeholder,blocked,no,official_nhs_app_web_integration,Contract signature remains a human-only later gate.
art_design_capacity_plan,Dedicated design resource plan,delivery_capacity,nhs_app_stage_product_review;nhs_app_stage_solution_design,ROLE_PRODUCT_LEAD,planned,review_required,no,official_nhs_app_eoi_questions,Explicit requirement in the EOI read-and-commit step.
art_delivery_capacity_plan,Dedicated development resource plan,delivery_capacity,nhs_app_stage_product_review;nhs_app_stage_solution_design,ROLE_RELEASE_MANAGER,planned,review_required,no,official_nhs_app_eoi_questions,Explicit requirement in the EOI read-and-commit step.
art_scope_boundary_guard,Deferred scope boundary guard,scope_control,nhs_app_stage_eoi_eligibility;nhs_app_stage_full_release,ROLE_PROGRAMME_ARCHITECT,generated,pass,no,docs/architecture/03_deferred_and_conditional_scope.md;docs/external/21_integration_priority_and_execution_matrix.md,Prevents NHS App work from becoming a hidden current-baseline gate.
