policy_ref,component_kind,component_ref,queue_ref,consumer_group_ref,ordering_scope,dedupe_formula,effect_key_formula,correlation_formula,checkpoint_rule,retry_policy_ref,dlq_ref,degradation_profile_code,replay_posture,notes,degradation_profile_ref,source_refs
OP_087_COMMAND_CANONICAL_OUTBOX,outbox,service_command_api,q_event_integration_effects,cg_integration_dispatch,tenantId|requestLineageRef,effectKey,actionRecordRef|queueRef|governingObjectRef|causalToken,edgeCorrelationId|causalToken,publish only after durable command checkpoint,capture_evidence_then_stop,dlq_integration_effects,dep_nhs_login_rail,return_existing_or_resume,Command ingress may not publish directly from browser or route handlers.,DDP_057_DEP_NHS_LOGIN_RAIL_PRIMARY_V1,prompt/087.md;docs/architecture/13_outbox_inbox_callback_replay_and_idempotency.md;data/analysis/dependency_degradation_profiles.json
OP_087_CONFIRMATION_GATE_OUTBOX,outbox,service_command_api,q_event_callback_correlation,cg_callback_receipt_ingest,tenantId|confirmationGateRef,effectKey,confirmationGateRef|queueRef|causalToken,edgeCorrelationId|callbackCorrelationKey,hold publication until confirmation gate write settles,resume_from_checkpoint_only,dlq_callback_correlation,dep_telephony_ivr_recording_provider,resume_same_gate_chain,Callback checkpoints keep gate and receipt ordering explicit.,DDP_057_DEP_TELEPHONY_IVR_RECORDING_PROVIDER_PRIMARY_V1,prompt/087.md;docs/architecture/13_outbox_inbox_callback_replay_and_idempotency.md;data/analysis/dependency_degradation_profiles.json
OP_087_COMMUNICATION_DELIVERY_OUTBOX,outbox,service_notification_worker,q_event_notification_effects,cg_notification_dispatch,tenantId|communicationChainRef,effectKey,communicationChainRef|recipientRef|queueRef|intentGeneration,edgeCorrelationId|deliveryReceiptRef,delivery effects dispatch only from outbox checkpoints,never_auto_repeat,dlq_notification_effects,dep_email_notification_provider,resume_or_manual_reissue,Notification dispatch preserves receipt ambiguity and resend fences.,DDP_057_DEP_EMAIL_NOTIFICATION_PROVIDER_PRIMARY_V1,prompt/087.md;docs/architecture/13_outbox_inbox_callback_replay_and_idempotency.md;data/analysis/dependency_degradation_profiles.json
OP_087_REACHABILITY_EFFECT_OUTBOX,outbox,service_adapter_simulators,q_event_callback_correlation,cg_callback_receipt_ingest,tenantId|dependencyRef,effectKey,dependencyRef|queueRef|causalToken,edgeCorrelationId|dependencyRef|callbackCorrelationKey,callback effects publish only after attempt ledger append,resume_from_checkpoint_only,dlq_callback_correlation,dep_telephony_ivr_recording_provider,gap_review_then_resume,Reachability repairs stay on the same ordered callback chain.,DDP_057_DEP_TELEPHONY_IVR_RECORDING_PROVIDER_PRIMARY_V1,prompt/087.md;docs/architecture/13_outbox_inbox_callback_replay_and_idempotency.md;data/analysis/dependency_degradation_profiles.json
OP_087_ASSURANCE_REVIEW_OUTBOX,outbox,service_command_api,q_event_assurance_audit,cg_assurance_observe,tenantId|causalToken,effectKey,queueRef|eventName|causalToken,edgeCorrelationId|causalToken,assurance append is mandatory before release of manual review notices,audit_append_then_alert,dlq_assurance_audit,dep_pds_fhir_enrichment,append_only,Assurance observation uses the same canonical envelope and effect key chain.,DDP_057_DEP_PDS_FHIR_ENRICHMENT_PRIMARY_V1,prompt/087.md;docs/architecture/13_outbox_inbox_callback_replay_and_idempotency.md;data/analysis/dependency_degradation_profiles.json
OP_087_REPLAY_QUARANTINE_OUTBOX,outbox,service_command_api,q_event_replay_quarantine,cg_replay_quarantine_review,tenantId|eventName|causalToken,effectKey,queueRef|eventName|edgeCorrelationId|causalToken,edgeCorrelationId|causalToken|effectKey,quarantine keeps canonical identity and settlement linkage intact,manual_resume_only,dlq_replay_quarantine,dep_sms_notification_provider,manual_review_required,Safety and replay disputes may not flatten into anonymous dead letters.,DDP_057_DEP_SMS_NOTIFICATION_PROVIDER_PRIMARY_V1,prompt/087.md;docs/architecture/13_outbox_inbox_callback_replay_and_idempotency.md;data/analysis/dependency_degradation_profiles.json
IP_087_PROJECTION_LIVE_INBOX,inbox,service_projection_worker,q_event_projection_live,cg_projection_live,tenantId|namespaceStream,consumerGroupRef|eventId|queueRef,eventId|queueRef|causalToken,edgeCorrelationId|causalToken,checkpoint every accepted apply and fail closed on gaps,checkpoint_resume,dlq_projection_live,dep_transcription_processing_provider,exact_sequence_resume,Live projections may never skip or reorder canonical stream positions.,DDP_057_DEP_TRANSCRIPTION_PROCESSING_PROVIDER_PRIMARY_V1,prompt/087.md;docs/architecture/13_outbox_inbox_callback_replay_and_idempotency.md;data/analysis/dependency_degradation_profiles.json
IP_087_PROJECTION_REPLAY_INBOX,inbox,service_projection_worker,q_event_projection_replay,cg_projection_replay,tenantId|namespaceStream,consumerGroupRef|eventId|queueRef,eventId|queueRef|causalToken,edgeCorrelationId|causalToken,checkpoint per replay cursor and preserve dry-run compare tokens,resume_from_checkpoint_only,dlq_projection_replay,dep_transcription_processing_provider,deterministic_rebuild_resume,Replay workers reuse immutable events and never derive from read models.,DDP_057_DEP_TRANSCRIPTION_PROCESSING_PROVIDER_PRIMARY_V1,prompt/087.md;docs/architecture/13_outbox_inbox_callback_replay_and_idempotency.md;data/analysis/dependency_degradation_profiles.json
IP_087_CALLBACK_RECEIPT_INBOX,inbox,service_notification_worker,q_event_callback_correlation,cg_callback_receipt_ingest,tenantId|callbackCorrelationKey,consumerGroupRef|eventId|queueRef,eventId|callbackCorrelationKey|queueRef,edgeCorrelationId|callbackCorrelationKey|causalToken,accept exact next receipt only and open replay review on gaps,correlation_checkpoint_retry,dlq_callback_correlation,dep_telephony_ivr_recording_provider,receipt_window_enforced,Callback consumers use explicit correlation keys and receipt windows.,DDP_057_DEP_TELEPHONY_IVR_RECORDING_PROVIDER_PRIMARY_V1,prompt/087.md;docs/architecture/13_outbox_inbox_callback_replay_and_idempotency.md;data/analysis/dependency_degradation_profiles.json
IP_087_NOTIFICATION_RECEIPT_INBOX,inbox,service_notification_worker,q_event_notification_effects,cg_notification_dispatch,tenantId|recipientRef|routeFamilyRef,consumerGroupRef|eventId|queueRef,eventId|recipientRef|queueRef,edgeCorrelationId|causalToken|deliveryReceiptRef,duplicate deliveries return existing settlement chain,delivery_receipt_window,dlq_notification_effects,dep_email_notification_provider,dedupe_then_manual_reissue,Delivery receipts may not widen into silent repeat sends.,DDP_057_DEP_EMAIL_NOTIFICATION_PROVIDER_PRIMARY_V1,prompt/087.md;docs/architecture/13_outbox_inbox_callback_replay_and_idempotency.md;data/analysis/dependency_degradation_profiles.json
