event_id,producer,governing_object,category,route_family_scope,emits_signal_only,requires_review_action_lease,creates_task_command_settlement,authoritative_sink,canonical_request_lifecycle_effect,summary
triage.task.created,TriageWorkflowKernel,TriageTask,workflow,/workspace/*,true,false,false,LifecycleCoordinator,derived_only,Creates the triage task and queue-facing review work without granting writable calm posture.
triage.task.claimed,TriageWorkflowKernel,TriageTask,ownership,/workspace/task/*,false,true,true,CommandSettlementRecord,derived_only,Claim is a fenced mutation over the current queue snapshot and ownership epoch.
triage.task.released,TriageWorkflowKernel,TriageTask,ownership,/workspace/task/*,false,true,true,CommandSettlementRecord,derived_only,Release returns task posture to governed queue continuity without discarding same-shell context.
triage.review.started,TriageWorkflowKernel,ReviewSession,workflow,/workspace/task/*,false,true,true,CommandSettlementRecord,derived_only,Starts active review and binds the current trust tuple plus selected anchor.
triage.review.snapshot.refreshed,ReviewBundleAssembler,ReviewBundle,projection,/workspace/task/*,true,false,false,ProjectionWorker,derived_only,Refreshes summary-first review data without granting mutation.
triage.more_info.requested,TriageWorkflowKernel,MoreInfoCycle,mutation,/workspace/task/:taskId/more-info,false,true,true,CommandSettlementRecord,derived_only,Creates or resumes the current more-info cycle under the active review fence.
triage.more_info.response.linked,ResponseAssimilationWorker,MoreInfoResponseDisposition,assimilation,/workspace/task/*,true,false,false,LifecycleCoordinator,derived_only,Links returned patient evidence and marks the task for explicit re-check.
triage.task.resumed,TriageWorkflowKernel,TriageTask,workflow,/workspace/task/*,true,true,true,CommandSettlementRecord,derived_only,Records that a valid returned evidence path has been re-bound for review.
triage.endpoint.selected,TriageWorkflowKernel,DecisionEpoch,mutation,/workspace/task/:taskId/decision,false,true,true,CommandSettlementRecord,derived_only,Selects an endpoint inside the live decision epoch and selected-anchor tuple.
triage.task.resolved_without_appointment,TriageWorkflowKernel,TriageTask,workflow,/workspace/task/*,true,true,true,CommandSettlementRecord,derived_only,Records a direct non-booking outcome after authoritative consequence settlement.
triage.task.handoff_pending,TriageWorkflowKernel,TriageTask,workflow,/workspace/task/*,true,true,true,CommandSettlementRecord,derived_only,Records downstream handoff creation while closure remains unsettled.
triage.approval.required,TriageWorkflowKernel,ApprovalCheckpoint,policy,/workspace/approvals,true,false,false,LifecycleCoordinator,derived_only,Exposes approval burden without detaching from the workspace family.
triage.approval.recorded,TriageWorkflowKernel,ApprovalCheckpoint,mutation,/workspace/approvals,false,true,true,CommandSettlementRecord,derived_only,Records authoritative approval outcome on the current decision epoch.
triage.escalated,TriageWorkflowKernel,DecisionEpoch,mutation,/workspace/escalations,false,true,true,CommandSettlementRecord,derived_only,Escalates governed work without allowing stale preview or detached route semantics.
triage.review.invalidated,WorkspaceTrustEnvelope,ReviewSession,trust,/workspace/task/*,true,false,false,ReleaseRecoveryDisposition,derived_only,Converts writable posture to stale_recoverable or recovery_required when drift is detected.
triage.decision.epoch_superseded,DecisionSupersessionRecord,DecisionEpoch,supersession,/workspace/task/:taskId/decision,true,false,false,DecisionSupersessionRecord,derived_only,Preserves prior preview context while freezing stale consequence-bearing actions.
triage.queue_change.buffered,QueueChangeBatch,ReviewSession,buffer,/workspace/queue/*,true,false,false,QueueChangeBatch,none,Buffers disruptive queue churn while focus protection is active.
triage.queue_change.applied,QueueChangeBatch,ReviewSession,buffer,/workspace/queue/*,true,false,false,QueueChangeBatch,none,Applies buffered queue changes once the release gate clears.
triage.queue.overload_critical,QueueWorkbenchProjection,TriageTask,queue_health,/workspace/queue/*,true,false,false,WorkspaceTrustEnvelope,none,Degrades queue calm posture and may block next-task launch without mutating request lifecycle.
triage.task.stale_owner.detected,StaleOwnershipRecoveryRecord,TriageTask,ownership,/workspace/task/*,true,false,false,ReleaseRecoveryDisposition,none,Freezes mutation and requires reacquire or supervised takeover.
triage.duplicate.clustered,DuplicateCluster,DuplicateReviewSnapshot,duplicate,/workspace/task/*,true,false,false,LifecycleCoordinator,derived_only,Creates explicit duplicate review work instead of auto-attaching or collapsing requests.
triage.duplicate.review_started,DuplicateReviewSnapshot,DuplicateReviewSnapshot,duplicate,/workspace/task/*,false,true,true,CommandSettlementRecord,derived_only,Starts duplicate review against the current pair evidence set.
triage.duplicate.resolved,DuplicateResolutionDecision,DuplicateReviewSnapshot,duplicate,/workspace/task/*,false,true,true,CommandSettlementRecord,derived_only,Resolves duplicate relation only from canonical pair evidence and resolution decision.
triage.duplicate.decision_superseded,DecisionSupersessionRecord,DecisionEpoch,supersession,/workspace/task/*,true,false,false,DecisionSupersessionRecord,derived_only,Explains why duplicate-related consequences are no longer actionable.
triage.handoff.created,TriageWorkflowKernel,TriageTask,handoff,/workspace/task/*,true,true,true,CommandSettlementRecord,derived_only,Creates the downstream handoff artifact and keeps same-shell closure posture bounded.
triage.task.reopened,TriageWorkflowKernel,TriageTask,workflow,/workspace/task/*,false,true,true,CommandSettlementRecord,derived_only,Reopens governed review work while preserving lineage and continuity evidence.
triage.task.closed,LifecycleCoordinator,TriageTask,workflow,/workspace/task/*,true,false,false,RequestClosureRecord,derived_only,Confirms that no open triage or linked work remains before closure is authoritative.
