ruleId,severityClass,requestTypes,dependencyGroupRef,calibrationStratumRef,challengeCaseCount,challengeCaseRefs,thresholdBoundaryCovered,degradedAttachmentCovered,contradictionCovered,criticalMissingnessCovered,coverageStatus
RF142_HS_ACUTE_CHEST_BREATHING,hard_stop,Symptoms,DG_142_CARDIO_RESP_URGENT,STRATUM_142_SYMPTOMS_V1,2,C142_URGENT_CHEST_PAIN|C142_CONTRADICTION_DOES_NOT_CLEAR_HARD_STOP,n/a,n/a,yes,n/a,covered
RF142_HS_STROKE_COLLAPSE_OR_SEIZURE,hard_stop,Symptoms,DG_142_NEURO_COLLAPSE_URGENT,STRATUM_142_SYMPTOMS_V1,1,C142_URGENT_STROKE_SIGNAL,n/a,n/a,n/a,n/a,covered
RF142_HS_ANAPHYLAXIS_OR_SEVERE_MED_REACTION,hard_stop,Symptoms|Meds,DG_142_ALLERGY_MEDS_URGENT,STRATUM_142_MEDS_V1,1,C142_URGENT_MED_REACTION,n/a,n/a,n/a,n/a,covered
RF142_HS_HEAVY_BLEEDING_OR_PREGNANCY_RED_FLAG,hard_stop,Symptoms,DG_142_CARDIO_RESP_URGENT,STRATUM_142_SYMPTOMS_V1,1,C142_URGENT_HEAVY_BLEEDING,n/a,n/a,n/a,n/a,covered
RF142_HS_SELF_HARM_OR_SAFEGUARDING_SIGNAL,hard_stop,Symptoms|Admin,DG_142_NEURO_COLLAPSE_URGENT,STRATUM_142_SYMPTOMS_V1,1,C142_URGENT_SELF_HARM_SIGNAL,n/a,n/a,n/a,n/a,covered
RF142_UC_SEVERE_PAIN_ESCALATION,urgent_contributor,Symptoms,DG_142_CARDIO_RESP_URGENT,STRATUM_142_SYMPTOMS_V1,1,C142_THRESHOLD_URGENT_OVER,yes,n/a,n/a,n/a,covered
RF142_UC_RAPID_WORSENING_RECENT_ONSET,urgent_contributor,Symptoms,DG_142_CARDIO_RESP_URGENT,STRATUM_142_SYMPTOMS_V1,2,C142_THRESHOLD_URGENT_OVER|C142_THRESHOLD_URGENT_UNDER,yes,n/a,n/a,n/a,covered
RF142_UC_HIGH_RISK_RESULT_WITH_CURRENT_SYMPTOMS,urgent_contributor,Results,DG_142_RESULTS_MEDS_TIMING,STRATUM_142_ADMIN_RESULTS_V1,1,C142_RESULTS_RESIDUAL_REVIEW,n/a,n/a,n/a,n/a,covered
RF142_UC_HIGH_RISK_MED_INTERRUPTION,urgent_contributor,Meds,DG_142_RESULTS_MEDS_TIMING,STRATUM_142_MEDS_V1,1,C142_THRESHOLD_URGENT_OVER,yes,n/a,n/a,n/a,covered
RF142_RC_MODERATE_PERSISTENT_SYMPTOMS,residual_contributor,Symptoms,DG_142_CARDIO_RESP_URGENT,STRATUM_142_SYMPTOMS_V1,2,C142_THRESHOLD_URGENT_UNDER|C142_CRITICAL_MISSINGNESS_REVIEW_HOLD,yes,n/a,n/a,yes,covered
RF142_RC_RESULTS_UNCLEAR_FOLLOW_UP,residual_contributor,Results,DG_142_RESULTS_MEDS_TIMING,STRATUM_142_ADMIN_RESULTS_V1,1,C142_RESULTS_RESIDUAL_REVIEW,n/a,n/a,n/a,n/a,covered
RF142_RC_ADMIN_TIME_DEPENDENT_CLINICAL_FORM,residual_contributor,Admin,DG_142_RESULTS_MEDS_TIMING,STRATUM_142_ADMIN_RESULTS_V1,1,C142_SAFE_RECEIPT_CLEAR,n/a,n/a,n/a,n/a,covered
RF142_RCH_NO_SAFE_CALLBACK_WINDOW,reachability_contributor,Symptoms|Meds|Admin|Results,DG_142_REACHABILITY,STRATUM_142_GLOBAL_FALLBACK_V1,1,C142_CRITICAL_MISSINGNESS_REVIEW_HOLD,n/a,n/a,n/a,yes,covered
