eventFamily,sourceProjection,requiredFields,orderingKey,dedupeKey,tenantScope,timestampSemantics,lateEventHandling,sourceTrustDependency
request_intake,RequestIntakeStatusProjection,eventId|eventFamily|eventType|tenantId|entityRef|occurredAt|recordedAt|dedupeKey|orderingKey|sourceTrustRef|queueCode,orderingKey,dedupeKey,tenantId,domain_occurred_at_authoritative,bounded_correction,AssuranceSliceTrustRecord:request-intake
triage_queue,TriageQueueProjection,eventId|eventFamily|eventType|tenantId|entityRef|occurredAt|recordedAt|dedupeKey|orderingKey|sourceTrustRef|queueCode,orderingKey,dedupeKey,tenantId,domain_occurred_at_authoritative,projection_rebuild_from_watermark,AssuranceSliceTrustRecord:triage-queue
more_info_loop,PatientMoreInfoStatusProjection,eventId|eventFamily|eventType|tenantId|entityRef|occurredAt|recordedAt|dedupeKey|orderingKey|sourceTrustRef|queueCode,orderingKey,dedupeKey,tenantId,settlement_at_authoritative,projection_rebuild_from_watermark,AssuranceSliceTrustRecord:more-info-loop
booking_search_commit,BookingConfirmationTruthProjection,eventId|eventFamily|eventType|tenantId|entityRef|occurredAt|recordedAt|dedupeKey|orderingKey|sourceTrustRef|queueCode,orderingKey,dedupeKey,tenantId,settlement_at_authoritative,projection_rebuild_from_watermark,AssuranceSliceTrustRecord:booking-confirmation
waitlist_movement,WaitlistContinuationTruthProjection,eventId|eventFamily|eventType|tenantId|entityRef|occurredAt|recordedAt|dedupeKey|orderingKey|sourceTrustRef,orderingKey,dedupeKey,tenantId,domain_occurred_at_authoritative,bounded_correction,AssuranceSliceTrustRecord:waitlist
hub_coordination,HubCoordinationCaseProjection,eventId|eventFamily|eventType|tenantId|entityRef|occurredAt|recordedAt|dedupeKey|orderingKey|sourceTrustRef,orderingKey,dedupeKey,tenantId,domain_occurred_at_authoritative,projection_rebuild_from_watermark,AssuranceSliceTrustRecord:hub-coordination
pharmacy_dispatch_outcome,PharmacyDispatchTruthProjection,eventId|eventFamily|eventType|tenantId|entityRef|occurredAt|recordedAt|dedupeKey|orderingKey|sourceTrustRef,orderingKey,dedupeKey,tenantId,provider_receipt_at_authoritative,projection_rebuild_from_watermark,AssuranceSliceTrustRecord:pharmacy-dispatch
communications_delivery_receipt,PatientCommunicationVisibilityProjection,eventId|eventFamily|eventType|tenantId|entityRef|occurredAt|recordedAt|dedupeKey|orderingKey|sourceTrustRef,orderingKey,dedupeKey,tenantId,provider_receipt_at_authoritative,bounded_correction,AssuranceSliceTrustRecord:communications
patient_navigation_continuity,PatientExperienceContinuityEvidenceProjection,eventId|eventFamily|eventType|tenantId|entityRef|occurredAt|recordedAt|dedupeKey|orderingKey|sourceTrustRef|continuityControlCode,orderingKey,dedupeKey,tenantId,settlement_at_authoritative,quarantine_until_replay,AssuranceSliceTrustRecord:patient-continuity
support_replay_investigation,SupportReplayRestoreSettlement,eventId|eventFamily|eventType|tenantId|entityRef|occurredAt|recordedAt|dedupeKey|orderingKey|sourceTrustRef|continuityControlCode,orderingKey,dedupeKey,tenantId,settlement_at_authoritative,quarantine_until_replay,AssuranceSliceTrustRecord:support-replay
assistive_session_trust_continuity,AssistiveContinuityEvidenceProjection,eventId|eventFamily|eventType|tenantId|entityRef|occurredAt|recordedAt|dedupeKey|orderingKey|sourceTrustRef,orderingKey,dedupeKey,tenantId,settlement_at_authoritative,projection_rebuild_from_watermark,AssuranceSliceTrustRecord:assistive-session
assurance_graph_slice_trust,AssuranceEvidenceGraphSnapshot,eventId|eventFamily|eventType|tenantId|entityRef|occurredAt|recordedAt|dedupeKey|orderingKey|sourceTrustRef,orderingKey,dedupeKey,tenantId,settlement_at_authoritative,quarantine_until_replay,AssuranceGraphCompletenessVerdict:operational-dashboard
