case_id,source_object,scope_member_role,visibility_mode,actionability,subject_history_default,detail_requires_disclosure,artifact_binding_required,atlas_region,read_only_fallback
primary_thread,ConversationThreadProjection,primary_action_target,repair_actionable,governed_mutation,masked_summary,yes,yes,ScopeMemberBoard,no
callback_context,PatientCallbackStatusProjection,communication_context,masked_summary,observe_only,masked_summary,yes,no,ScopeMemberBoard,no
record_artifact,PatientRecordArtifactProjection,artifact_provenance,bounded_detail,artifact_only,masked_summary,yes,yes,ProvenanceArtifactBindingBoard,no
identity_watch,IdentityRepairCase,identity_repair_dependency,masked_summary,observe_only,masked_summary,yes,no,Subject360Board,no
summary_history,SupportSubjectHistoryQuery,communication_context,masked_summary,observe_only,summary_only,no,no,SubjectHistoryDisclosureBoard,no
bounded_history,SupportContextDisclosureRecord,communication_context,bounded_detail,observe_only,bounded_detail,yes,yes,SubjectHistoryDisclosureBoard,no
denied_history,SupportContextDisclosureRecord,communication_context,masked_summary,observe_only,summary_only,yes,no,SubjectHistoryDisclosureBoard,no
stale_binding,SupportLineageBinding,primary_action_target,masked_summary,observe_only,summary_only,yes,no,ReadOnlyFallbackBoard,yes
runtime_blocked,SupportSurfaceRuntimeBinding,primary_action_target,masked_summary,observe_only,summary_only,yes,no,ReadOnlyFallbackBoard,yes
artifact_blocked,SupportLineageArtifactBinding,artifact_provenance,masked_summary,artifact_only,summary_only,yes,yes,ProvenanceArtifactBindingBoard,yes
subject_360_default,SupportSubject360Projection,related_case_context,masked_summary,observe_only,summary_only,no,no,Subject360Board,no
ticket_anatomy,SupportTicketWorkspaceProjection,primary_action_target,repair_actionable,governed_mutation,masked_summary,yes,yes,TicketAnatomyBoard,no
