structural_snapshot_ref,design_contract_publication_bundle_id,audience_surface,shell_type,route_family_refs,evidence_kind,evidence_label,evidence_role,breakpoint_coverage_ref,motion_mode_ref,artifact_mode_ref,evidence_state,structural_digest_ref,captured_at
DCSN_052_AUDSURF_PATIENT_PUBLIC_ENTRY_COMPACT_FRAME_V1,dcpb::patient_public_entry::planned,audsurf_patient_public_entry,patient,rf_intake_self_service|rf_intake_telephony_capture,compact_frame,Compact shell frame,shell_structure,compact,motion_reduced,interactive,exact,f418e57a29c0c2d2,2026-04-13T14:51:08+00:00
DCSN_052_AUDSURF_PATIENT_PUBLIC_ENTRY_WIDE_FRAME_V1,dcpb::patient_public_entry::planned,audsurf_patient_public_entry,patient,rf_intake_self_service|rf_intake_telephony_capture,wide_frame,Wide shell frame,shell_structure,wide,motion_reduced,interactive,exact,13266da2489b0fef,2026-04-13T14:51:08+00:00
DCSN_052_AUDSURF_PATIENT_PUBLIC_ENTRY_ARTIFACT_SUMMARY_V1,dcpb::patient_public_entry::planned,audsurf_patient_public_entry,patient,rf_intake_self_service|rf_intake_telephony_capture,artifact_summary,Artifact summary posture,artifact_posture,medium,motion_reduced,summary,exact,a119d25ca3d63794,2026-04-13T14:51:08+00:00
DCSN_052_AUDSURF_PATIENT_AUTHENTICATED_PORTAL_COMPACT_FRAME_V1,dcpb::patient_authenticated_shell::planned,audsurf_patient_authenticated_portal,patient,rf_patient_home|rf_patient_requests|rf_patient_appointments|rf_patient_health_record|rf_patient_messages,compact_frame,Compact shell frame,shell_structure,compact,motion_reduced,interactive,exact,96f8f6ca7a1499fc,2026-04-13T14:51:08+00:00
DCSN_052_AUDSURF_PATIENT_AUTHENTICATED_PORTAL_WIDE_FRAME_V1,dcpb::patient_authenticated_shell::planned,audsurf_patient_authenticated_portal,patient,rf_patient_home|rf_patient_requests|rf_patient_appointments|rf_patient_health_record|rf_patient_messages,wide_frame,Wide shell frame,shell_structure,wide,motion_reduced,interactive,exact,0f96996c836e7ce5,2026-04-13T14:51:08+00:00
DCSN_052_AUDSURF_PATIENT_AUTHENTICATED_PORTAL_ARTIFACT_SUMMARY_V1,dcpb::patient_authenticated_shell::planned,audsurf_patient_authenticated_portal,patient,rf_patient_home|rf_patient_requests|rf_patient_appointments|rf_patient_health_record|rf_patient_messages,artifact_summary,Artifact summary posture,artifact_posture,medium,motion_reduced,summary,exact,9762e028e2b6a4a6,2026-04-13T14:51:08+00:00
DCSN_052_AUDSURF_PATIENT_TRANSACTION_RECOVERY_COMPACT_FRAME_V1,dcpb::patient_transaction_recovery::planned,audsurf_patient_transaction_recovery,patient,rf_patient_secure_link_recovery|rf_patient_embedded_channel,compact_frame,Compact shell frame,shell_structure,compact,motion_reduced,interactive,exact,14de729f7742b72e,2026-04-13T14:51:08+00:00
DCSN_052_AUDSURF_PATIENT_TRANSACTION_RECOVERY_WIDE_FRAME_V1,dcpb::patient_transaction_recovery::planned,audsurf_patient_transaction_recovery,patient,rf_patient_secure_link_recovery|rf_patient_embedded_channel,wide_frame,Wide shell frame,shell_structure,wide,motion_reduced,interactive,exact,8aa8597f1200db73,2026-04-13T14:51:08+00:00
DCSN_052_AUDSURF_PATIENT_TRANSACTION_RECOVERY_ARTIFACT_SUMMARY_V1,dcpb::patient_transaction_recovery::planned,audsurf_patient_transaction_recovery,patient,rf_patient_secure_link_recovery|rf_patient_embedded_channel,artifact_summary,Artifact summary posture,artifact_posture,medium,motion_reduced,summary,exact,902666bbaa7875ee,2026-04-13T14:51:08+00:00
DCSN_052_AUDSURF_CLINICAL_WORKSPACE_COMPACT_FRAME_V1,dcpb::clinical_workspace::planned,audsurf_clinical_workspace,staff,rf_staff_workspace|rf_staff_workspace_child,compact_frame,Compact shell frame,shell_structure,compact,motion_reduced,interactive,exact,25af2b5f754b28bd,2026-04-13T14:51:08+00:00
