simulator_id,simulator_label,family,baseline_scope,execution_phase,priority_rank,priority_score,priority_tier,canonical_dependency_name,current_blocker_removed_by_simulator,minimum_fidelity_class,replacement_mode,permanent_fallback,owning_bounded_contexts,authoritative_proof_semantics,ambiguity_and_degraded_behaviors,route_families_or_surfaces,test_types_required,graduation_or_replacement_trigger,linked_actual_provider_tasks,live_gate_source_pack,blocked_live_gate_ids,review_live_gate_ids,source_refs
sim_pharmacy_dispatch_transport_twin,Pharmacy dispatch transport twin,pharmacy,baseline_required,phase_0_blocker_removal,1,205,critical,Pharmacy referral transport dependency,"Removes the block on dispatch proof, acknowledgement, expiry, redispatch, and manual-urgent handoff rehearsal before any live transport route is selected.",near-live_contract_twin,hybrid_contract_twin,no,pharmacy_coordination; patient_portal; operations_console,PharmacyDispatchEnvelope; PharmacyDispatchAcknowledgement; PharmacyDispatchExpiry; ExternalConfirmationGate,accepted_not_confirmed; delivery_timeout; redispatch_required; manual_urgent_return_required,pharmacy_referral_dispatch; patient_receipt_status; ops_exception_queue,contract; fault-injection; playwright; replay; migration,"Freeze live transport profile, named mailbox or endpoint, dispatch proof thresholds, urgent-return ownership rehearsal, and mutation-gated environment evidence.",seq_028; seq_037; seq_039; seq_040,pharmacy_referral_transport_decision_register,LIVE_GATE_PHARMACY_MVP_APPROVED; LIVE_GATE_PHARMACY_NAMED_APPROVER_AND_ENVIRONMENT; LIVE_GATE_PHARMACY_MUTATION_FLAG_ENABLED; LIVE_GATE_PHARMACY_WATCH_REGISTER_CLEAR; LIVE_GATE_PHARMACY_URGENT_RETURN_OWNERSHIP_REHEARSED; LIVE_GATE_PHASE0_EXTERNAL_FOUNDATION,LIVE_GATE_PHARMACY_CONSENT_AND_DISPATCH_MODELS_IMPLEMENTED,"blueprint/phase-6-the-pharmacy-loop.md#6D. Referral pack composer, dispatch adapters, and transport contract; docs/external/37_pharmacy_access_paths_mock_strategy.md; docs/external/28_mesh_message_route_and_proof_matrix.md"
sim_nhs_login_auth_session_twin,NHS login auth and session twin,identity,baseline_required,phase_0_blocker_removal,2,197,critical,NHS login authentication rail,"Removes the block on auth transaction, callback replay, claim-pending, auth_read_only, and writable-session handling before partner approval and real redirect inventory arrive.",proof_twin,hybrid_contract_twin,no,identity_access; patient_portal; support_recovery,SessionEstablishmentDecision; IdentityBinding; RouteIntentBinding; SessionContinuityFence,consent_declined; insufficient_assurance; callback_replay; subject_mismatch; auth_read_only,browser_auth; secure_link_resume; support_assisted_recovery,contract; playwright; replay; security; accessibility,"Approve partner access, redirect and scope inventory, environment target, and mutation-gated callback parity evidence without weakening route-intent binding.",seq_024; seq_025; seq_039; seq_040,nhs_login_capture_pack,LIVE_GATE_EXTERNAL_FOUNDATION_WITHHELD; LIVE_GATE_NHS_LOGIN_PARTNER_APPROVED; LIVE_GATE_ENVIRONMENT_TARGET_MISSING; LIVE_GATE_MUTATION_FLAG_DISABLED,LIVE_GATE_REDIRECT_URI_REVIEW; LIVE_GATE_TECHNICAL_CONFORMANCE_PENDING,blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine; data/analysis/nhs_login_capture_pack.json; docs/external/24_nhs_login_actual_onboarding_strategy.md
sim_booking_provider_confirmation_twin,Booking provider confirmation twin,booking,baseline_required,phase_0_blocker_removal,3,197,critical,Local booking supplier adapter family / Origin-practice acknowledgement rail,"Removes the block on ambiguous commit, practice acknowledgement debt, and same-shell confirmation truth before any live booking supplier or practice rail is admissible.",near-live_contract_twin,hybrid_contract_twin,no,booking_orchestration; staff_workspace; operations_console,ProviderCapabilitySnapshot; ExternalConfirmationGate; BookingConfirmationTruthProjection; RequestLifecycleLease,accepted_not_confirmed; same_commit_read_after_write_drift; practice_ack_overdue; callback_fallback_required,patient_booking_commit; staff_assisted_booking; practice_visibility,contract; replay; projection; playwright; migration,"Freeze provider capability evidence, bounded MVP, sponsor posture, and practice acknowledgement law for the named environment.",seq_026; seq_036; seq_039; seq_040,gp_provider_decision_register,LIVE_GATE_CREDIBLE_BOOKING_MVP; LIVE_GATE_SPONSOR_AND_COMMISSIONING_POSTURE; LIVE_GATE_NAMED_APPROVER_AND_ENVIRONMENT; LIVE_GATE_MUTATION_FLAG_ENABLED; LIVE_GATE_WATCH_REGISTER_CLEAR; LIVE_GATE_PHASE0_EXTERNAL_FOUNDATION,LIVE_GATE_ARCHITECTURE_AND_DATA_FLOW_CURRENT,blueprint/phase-4-the-booking-engine.md; docs/external/36_gp_system_pathways_mock_strategy.md; data/analysis/gp_provider_decision_register.json
sim_telephony_ivr_twin,Telephony and IVR twin,communications,baseline_required,phase_0_blocker_removal,4,197,critical,"Telephony, IVR, and call-recording provider","Removes the block on IVR choreography, urgent-live preemption, recording evidence readiness, and continuation grant behavior before live numbers and webhooks exist.",fault_injection_twin,hybrid_contract_twin,no,telephony_ingest; patient_portal; evidence_pipeline,CallSessionRecord; RecordingAvailabilityObservation; EvidenceReadinessAssessment; SMSContinuationGrant,urgent_live_preemption; recording_missing; webhook_replay; contradictory_callback,ivr_capture; voice_callback; sms_continuation,contract; fault-injection; playwright; replay; accessibility,"Approve vendor, recording posture, spend authority, webhook security pack, and named environment for the selected number profile.",seq_031; seq_032; seq_039; seq_040,telephony_lab_pack,TEL_LIVE_GATE_PHASE0_EXTERNAL_READY; TEL_LIVE_GATE_PROCUREMENT_AND_SPEND_AUTHORITY; TEL_LIVE_GATE_NAMED_APPROVER; TEL_LIVE_GATE_MUTATION_AND_SPEND_FLAGS,TEL_LIVE_GATE_VENDOR_APPROVED; TEL_LIVE_GATE_WEBHOOK_SECURITY_PACK; TEL_LIVE_GATE_RECORDING_REVIEW_APPROVED,"blueprint/phase-2-the-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence; docs/external/32_local_telephony_lab_spec.md; data/analysis/32_telephony_lab_pack.json"
sim_pharmacy_visibility_update_record_twin,Pharmacy visibility and Update Record twin,pharmacy,baseline_required,phase_0_blocker_removal,5,187,critical,Pharmacy outcome observation and reconciliation path,"Removes the block on weak match, delayed outcome, practice-disabled visibility, and non-auto-close reconciliation behavior before any assured live combination exists.",proof_twin,hybrid_contract_twin,no,pharmacy_coordination; operations_console; patient_portal,PharmacyOutcomeRecord; PharmacyOutcomeMatchAssessment; PharmacyOutcomeReconciliationGate; UpdateRecordVisibilityObservation,weak_match; delayed_outcome; duplicate_outcome; practice_disabled_update_record,pharmacy_visibility; gp_visibility_recovery; patient_status_continuity,contract; replay; projection; playwright,"Name the assured Update Record combination, publish the reconciliation runtime reference, and clear the visibility watch register.",seq_037; seq_039; seq_040,pharmacy_referral_transport_decision_register,LIVE_GATE_PHARMACY_MVP_APPROVED; LIVE_GATE_PHARMACY_NAMED_APPROVER_AND_ENVIRONMENT; LIVE_GATE_PHARMACY_UPDATE_RECORD_COMBINATION_NAMED; LIVE_GATE_PHARMACY_WATCH_REGISTER_CLEAR; LIVE_GATE_PHASE0_EXTERNAL_FOUNDATION,LIVE_GATE_PHARMACY_CONSENT_AND_DISPATCH_MODELS_IMPLEMENTED,"blueprint/phase-6-the-pharmacy-loop.md#6F. Outcome ingest, Update Record observation, and reconciliation; docs/external/37_pharmacy_access_paths_actual_strategy.md; data/analysis/pharmacy_referral_transport_decision_register.json"
sim_mesh_message_path_twin,MESH message path twin,communications,baseline_required,phase_0_blocker_removal,6,185,critical,Cross-organisation secure messaging rail including MESH,"Removes the block on replay-safe secure messaging proof, delivery observation, and escalation behavior before mailbox ownership and live onboarding complete.",near-live_contract_twin,hybrid_contract_twin,no,communications; pharmacy_coordination; support_recovery,MESHMessageEnvelope; TransportReceipt; ReplayFence; DeliveryObservation,ack_missing; duplicate_delivery; delayed_receipt; partial_acceptance,mesh_transport; provider_notification; secure_message_replay,contract; replay; fault-injection; playwright,"Freeze mailbox ownership, manager mode, named approver, minimum-necessary review, and mutation gate posture for the targeted workflow set.",seq_028; seq_039; seq_040,mesh_execution_pack,MESH_LIVE_GATE_PHASE0_EXTERNAL_READY; MESH_LIVE_GATE_API_ONBOARDING_COMPLETE; MESH_LIVE_GATE_NAMED_APPROVER_PRESENT; MESH_LIVE_GATE_MUTATION_AND_SPEND_ACK; MESH_LIVE_GATE_FINAL_POSTURE,MESH_LIVE_GATE_OWNER_ODS_KNOWN; MESH_LIVE_GATE_MANAGER_MODE_DECIDED,blueprint/phase-0-the-foundation-protocol.md#1.11 PharmacyDispatchEnvelope; docs/external/28_mesh_message_route_and_proof_matrix.md; data/analysis/mesh_execution_pack.json
sim_booking_capacity_feed_twin,Booking capacity feed twin,booking,baseline_required,phase_1_provider_truth,7,176,high,Network and hub partner capacity feeds,"Removes the block on stale capacity, no-slot fallback, callback offer, and hub-review states before any real partner feed or acknowledgement cadence is current.",workflow_twin,hybrid_contract_twin,no,booking_orchestration; hub_operations; patient_portal,CapacitySnapshot; ReservationWindowEvidence; NoSlotFallbackDecision; CallbackOfferEligibility,stale_capacity; no_slot; callback_required; hub_review_pending,hub_directory; network_capacity; callback_offer,contract; projection; fault-injection; playwright,"Publish partner feed provenance, freshness policy, and callback fallback evidence for the bounded booking MVP.",seq_036; seq_039; seq_040,gp_provider_decision_register,LIVE_GATE_CREDIBLE_BOOKING_MVP; LIVE_GATE_SPONSOR_AND_COMMISSIONING_POSTURE; LIVE_GATE_WATCH_REGISTER_CLEAR,LIVE_GATE_ARCHITECTURE_AND_DATA_FLOW_CURRENT,blueprint/phase-5-the-network-horizon.md; docs/external/21_integration_priority_and_execution_matrix.md; data/analysis/gp_provider_decision_register.json
sim_im1_principal_system_emis_twin,IM1 principal-system EMIS twin,booking,baseline_required,phase_1_provider_truth,8,172,high,IM1 Pairing programme and prerequisite path / Principal GP-system supplier integration paths,"Removes the block on supplier-specific booking-search, hold, commit, and manage semantics for EMIS-shaped pathways before pairing and supplier evidence are current.",near-live_contract_twin,hybrid_contract_twin,no,booking_orchestration; patient_portal,ProviderCapabilitySnapshot; SlotSearchTruth; BookingCommitAttempt; BookingConfirmationTruthProjection,supplier_capability_gap; hold_expiry; confirmation_pending; commit_projection_mismatch,patient_booking_search; patient_booking_commit; manage_booking,contract; migration; replay; playwright,"Pairing, provider roster refresh, bounded use-case approval, and named environment evidence are current for the EMIS lane.",seq_026; seq_036; seq_039; seq_040,im1_pairing_pack,LIVE_GATE_CREDIBLE_MVP_AND_BOUNDED_USE_CASE; LIVE_GATE_NAMED_SPONSOR_AND_COMMERCIAL_OWNER; LIVE_GATE_NAMED_APPROVER_PRESENT; LIVE_GATE_ENVIRONMENT_TARGET_PRESENT; LIVE_GATE_PROVIDER_ROSTER_REFRESH_REQUIRED; LIVE_GATE_MUTATION_FLAG_ENABLED,LIVE_GATE_PROVIDER_CAPABILITY_MODEL_FROZEN,docs/external/36_gp_system_pathways_actual_strategy.md; data/analysis/im1_pairing_pack.json; blueprint/phase-4-the-booking-engine.md
sim_im1_principal_system_tpp_twin,IM1 principal-system TPP twin,booking,baseline_required,phase_1_provider_truth,9,172,high,IM1 Pairing programme and prerequisite path / Principal GP-system supplier integration paths,"Removes the block on supplier-specific booking-search, hold, commit, and manage semantics for TPP-shaped pathways before pairing and supplier evidence are current.",near-live_contract_twin,hybrid_contract_twin,no,booking_orchestration; patient_portal,ProviderCapabilitySnapshot; SlotSearchTruth; BookingCommitAttempt; BookingConfirmationTruthProjection,supplier_capability_gap; hold_expiry; confirmation_pending; commit_projection_mismatch,patient_booking_search; patient_booking_commit; manage_booking,contract; migration; replay; playwright,"Pairing, provider roster refresh, bounded use-case approval, and named environment evidence are current for the TPP lane.",seq_026; seq_036; seq_039; seq_040,im1_pairing_pack,LIVE_GATE_CREDIBLE_MVP_AND_BOUNDED_USE_CASE; LIVE_GATE_NAMED_SPONSOR_AND_COMMERCIAL_OWNER; LIVE_GATE_NAMED_APPROVER_PRESENT; LIVE_GATE_ENVIRONMENT_TARGET_PRESENT; LIVE_GATE_PROVIDER_ROSTER_REFRESH_REQUIRED; LIVE_GATE_MUTATION_FLAG_ENABLED,LIVE_GATE_PROVIDER_CAPABILITY_MODEL_FROZEN,docs/external/36_gp_system_pathways_actual_strategy.md; data/analysis/im1_pairing_pack.json; blueprint/phase-4-the-booking-engine.md
sim_support_replay_resend_twin,Support replay and resend twin,communications,baseline_required,phase_2_channel_evidence,10,167,high,Email and notification delivery provider / SMS delivery provider,"Removes the block on governed resend, support replay, and repair-window behavior before provider callbacks and human-only retry policy are fully frozen.",proof_twin,permanent_fallback,yes,support_recovery; communications; operations_console,ReplayReviewDecision; ControlledResendAuthorisation; DeliveryRepairWindow; AuditReplayEnvelope,disputed_delivery; unknown_recipient; duplicate_resend_request; stale_support_context,support_workspace; controlled_resend; callback_repair,contract; replay; playwright; audit,"No runtime graduation. This twin stays permanent because support repair and replay drills must remain deterministic across local, preview, and incident rehearsal environments.",seq_033; seq_039; seq_040,notification_studio_pack,LIVE_GATE_NOTIFY_FINAL_POSTURE,LIVE_GATE_NOTIFY_REPAIR_POLICY; LIVE_GATE_NOTIFY_LOG_EXPORT; LIVE_GATE_NOTIFY_APPROVER_AND_ENV,docs/external/33_local_notification_studio_spec.md; blueprint/patient-account-and-communications-blueprint.md; callback-and-clinician-messaging-loop.md
sim_pharmacy_directory_choice_twin,Pharmacy directory and choice twin,pharmacy,baseline_required,phase_1_provider_truth,11,164,high,Pharmacy directory and discovery dependency,"Removes the block on patient-choice tuples, capability snapshots, and directory refresh behavior before live Service Search onboarding is current.",proof_twin,replace_with_live_guarded,no,pharmacy_coordination; patient_portal,PharmacyDirectorySnapshot; PharmacyProviderCapabilitySnapshot; PharmacyChoiceProof; ChoiceTupleFreshness,directory_tuple_drift; provider_ineligible; no_safe_provider; choice_requires_refresh,pharmacy_discovery; patient_choice; clinician_assist,contract; playwright; accessibility; policy,"Approve live directory access path, choice-policy review, and current tuple freshness evidence.",seq_037; seq_039; seq_040,pharmacy_referral_transport_decision_register,LIVE_GATE_PHARMACY_MVP_APPROVED; LIVE_GATE_PHARMACY_NAMED_APPROVER_AND_ENVIRONMENT; LIVE_GATE_PHARMACY_WATCH_REGISTER_CLEAR; LIVE_GATE_PHASE0_EXTERNAL_FOUNDATION,,"docs/external/37_pharmacy_access_paths_mock_strategy.md; docs/external/37_pharmacy_access_paths_actual_strategy.md; blueprint/phase-6-the-pharmacy-loop.md#6C. Pharmacy discovery, provider choice, and directory abstraction"
sim_email_notification_twin,Email notification twin,communications,baseline_required,phase_2_channel_evidence,12,164,high,Email and notification delivery provider,"Removes the block on delivery evidence, repair posture, and sender-domain separation before real project creation and verification complete.",workflow_twin,hybrid_contract_twin,no,notifications; patient_portal; support_recovery,DeliveryAttempt; DeliveryEvidence; TemplateVersionBinding; RepairDecision,bounce; dispute; suppression; stale_template_binding,email_confirmation; more_info_callback; support_repair,contract; replay; playwright; accessibility,"Freeze sender ownership, domain verification, webhook security, and named environment for the chosen notification vendor.",seq_031; seq_033; seq_039; seq_040,notification_studio_pack,LIVE_GATE_NOTIFY_SENDER_OWNERSHIP; LIVE_GATE_NOTIFY_DOMAIN_VERIFICATION; LIVE_GATE_NOTIFY_WEBHOOK_SECURITY; LIVE_GATE_NOTIFY_MUTATION_AND_SPEND_FLAGS; LIVE_GATE_NOTIFY_FINAL_POSTURE,LIVE_GATE_NOTIFY_PROJECT_SCOPE; LIVE_GATE_NOTIFY_APPROVER_AND_ENV,docs/external/33_local_notification_studio_spec.md; data/analysis/33_notification_studio_pack.json; callback-and-clinician-messaging-loop.md
