scenario,active_cases,waiting_for_choice,waiting_outcome,bounce_back,dispatch_exception,provider_health_signal,exception_classes,notes
healthy_choice_pending,true,true,false,false,false,healthy,none,Choice remains open with no active exception debt.
discovery_outage_no_providers,true,true,false,false,true,discovery_unavailable,"discovery_unavailable|no_eligible_providers_returned",All relevant directory sources have failed and no visible provider remains.
dispatch_rejected_after_package,true,false,false,false,true,dispatch_failing,dispatch_failed,Dispatch attempt failed or was rejected before a stable proof was satisfied.
pending_acknowledgement_debt,true,false,true,false,true,ack_backlog,acknowledgement_missing,Dispatch is still waiting for proof before the proof deadline.
proof_expired_and_stale,true,false,true,false,true,stale_proof,dispatch_proof_stale,Proof posture has expired or become disputed.
confirmed_dispatch_waiting_for_outcome,true,false,true,false,false,waiting_outcome,none,Confirmed dispatch remains live and is still inside the configured outcome window.
confirmed_dispatch_overdue_outcome,true,false,true,false,true,outcome_backlog,no_outcome_within_configured_window,Confirmed dispatch exceeded the configured 24-hour outcome window.
outcome_unmatched_review,true,false,true,false,true,outcome_review,outcome_unmatched,Outcome evidence exists but remains unmatched after reconciliation.
conflicting_outcome_evidence,true,false,true,false,true,conflict_review,conflicting_outcomes,Competing outcome evidence or contradiction score requires review.
bounce_back_with_repair,true,false,false,true,true,reachability_repair,reachability_repair_required,Bounce-back and patient-route repair remain active at the same time.
dispatch_then_consent_revoked,true,false,true,false,true,consent_conflict,consent_revoked_after_dispatch,Consent was revoked after dispatch and must remain explicit in the queue.
