consistency_area,source_226,source_227,source_228,source_229,gate_resolution,status,owner_task_or_gate,gap_id
triage_state_and_lease_authority,"TriageTask, ReviewSession, TaskLaunchContext, TaskCommandSettlement are frozen as the review kernel.",,"DecisionEpoch refs appear on TriageTask for consequence entry points.",,"par_231 owns all core triage and lease mutation. No sibling track may redefine claim, heartbeat, release, or stale-owner recovery.","resolved","par_231",
workspace_continuity_projection_ownership,"Workspace trust and focus rules freeze same-shell laws and trust-derived writability.",,,,"par_232 owns WorkspaceContinuityEvidenceProjection and trust envelopes. par_242 consumes continuity at completion time without co-owning the projection.","resolved","par_232",
queue_order_authority,,"QueueRankPlan, QueueRankSnapshot, QueueRankEntry, and QueueAssignmentSuggestionSnapshot freeze canonical order versus reviewer-fit suggestions.",,,"par_233 owns canonical queue order and snapshots. Downstream consumers may read or annotate but not rewrite row order.","resolved","par_233",
duplicate_review_versus_replay,"Phase 0 duplicate and replay law remains authoritative.","DuplicateReviewSnapshot freezes Phase 3 duplicate review boundary.","Decision supersession hooks require stale consequence invalidation.",,"par_234 owns DuplicatePairEvidence, DuplicateReviewSnapshot, and DuplicateResolutionDecision. Idempotency and replay remain outside this owner boundary.","resolved","par_234",
more_info_timer_truth,,"MoreInfoReplyWindowCheckpoint is the sole timer truth.",,,"par_236 remains deferred until first-wave task and queue outputs exist; no other track may infer timer truth from UI clocks or delivery timestamps.","resolved","par_236",
decision_epoch_consequence_fence,"TriageTask keeps only refs to current endpoint context, not direct consequence authority.",,"DecisionEpoch is the sole consequence fence for endpoint, approval, urgent escalation, and downstream seeds.",,"par_238 owns DecisionEpoch mutation and supersession execution once first-wave evidence kernels exist.","resolved","par_238",
approval_invalidation_chain,,,"ApprovalCheckpoint invalidates on endpoint drift, payload drift, patient reply, duplicate resolution, publication drift, trust drift, and epoch supersession.",,"par_239 consumes live DecisionEpoch and duplicate invalidation outputs; approval logic may not launch ahead of par_238.","resolved","par_239",
callback_message_peer_domains,,,"Booking and pharmacy intents are peer consequence domains, not status flags.","Callback, clinician-message, self-care, and admin remain peer governed domains with separate leases and settlements.","par_240 creates peer continuation seeds; par_243, par_244, par_249, and par_251 later implement their own domain kernels.","resolved","seq_230",
contact_repair_boundary,,,,"Contact repair is a governed seam across callback, message, and patient conversation surfaces.","par_245 owns governed repair and controlled resend logic. Communication domains may surface repair state but may not silently retry around it.","resolved","par_245",
lifecycle_closure_authority,"LifecycleCoordinator remains the only request-closure authority.",,,"Admin and callback completion remain domain-local until canonical closure rules run.","No Phase 3 track may close a request directly. Completion and consequence tracks settle local domains only.","resolved","seq_230",
first_wave_prompt_chain_drift,"First wave is intended to open from seq_230 gate.",,"","Shared operating contract explicitly opens 231 to 235 in parallel.","Launch readiness ignores the sibling consume-order prompt drift and instead follows the seq_230 dependency interface map and launch packets.","resolved","seq_230","PARALLEL_INTERFACE_GAP_PHASE3_PROMPT_DEPENDENCY_DRIFT_V1"
late_wave_prompt_publication,"","","","","Tracks 252 to 254 remain blocked because their prompt files are empty and therefore lack executable ownership, tests, and fail-closed conditions.","blocked","seq_230","PARALLEL_INTERFACE_GAP_PHASE3_LATE_TRACK_PROMPTS_V1"
