functionCode,missingProofRefs,staleRunbookRefs,staleBackupManifestRefs,nextRehearsalDueAt,blockers
digital_intake,journey:digital_intake:primary,,bsm_444_stale,2026-04-27T13:15:00.000Z,backup:bsm_444_stale|journey-proof:journey:digital_intake:primary
safety_gate,,,bsm_444_stale,2026-04-27T13:15:00.000Z,backup:bsm_444_stale
triage_queue,,,bsm_444_stale,2026-04-27T13:15:00.000Z,backup:bsm_444_stale
patient_status_secure_links,,,bsm_444_stale,2026-04-27T13:15:00.000Z,backup:bsm_444_stale
local_booking,,,bsm_444_stale,2026-04-27T13:15:00.000Z,backup:bsm_444_stale
hub_coordination,,,bsm_444_stale,2026-04-27T13:15:00.000Z,backup:bsm_444_stale
pharmacy_referral_loop,,,bsm_444_stale,2026-04-27T13:15:00.000Z,backup:bsm_444_stale
outbound_communications,,,bsm_444_stale,2026-04-27T13:15:00.000Z,backup:bsm_444_stale
audit_search,,,bsm_444_stale,2026-04-27T13:15:00.000Z,backup:bsm_444_stale
assistive_layer_downgrade,,,bsm_444_stale,2026-04-27T13:15:00.000Z,backup:bsm_444_stale
