checkId,category,contractRef,subject,evidence,ownerTrack,status
CC345_001,object_names,data/contracts/342_phase6_pharmacy_case_schema.json,PharmacyCase aggregate,PharmacyCase title and required linkage refs remain frozen in 342 and are handed to 346 only.,par_346,consistent
CC345_002,object_names,data/contracts/342_phase6_rule_pack_schema.json,Rule-pack object family,"PharmacyRulePack, PathwayDefinition, PathwayTimingGuardrail, and explanation bundle remain frozen together for 347.",par_347,consistent
CC345_003,object_names,data/contracts/343_phase6_directory_choice_schema.json,Directory and choice object family,"Directory snapshots, capability snapshots, choice proof, consent record, and consent checkpoint are grouped under 348.",par_348,consistent
CC345_004,object_names,data/contracts/343_phase6_dispatch_schema.json,Package and dispatch object family,"Immutable package ownership stays with 349; dispatch plan, attempt, proof, and truth stay with 350.",par_349/par_350,consistent
CC345_005,object_names,data/contracts/343_phase6_outcome_reconciliation_schema.json,Outcome reconciliation object family,"Outcome evidence, reconciliation gate, and outcome truth projection stay grouped under 352.",par_352,consistent
CC345_006,object_names,data/contracts/344_phase6_bounce_back_schema.json,Bounce-back object family,Bounce-back record and reachability plan remain separated from outcome and dispatch truth for 353.,par_353,consistent
CC345_007,state_vocabularies,data/contracts/342_phase6_case_state_machine.yaml,PharmacyCase.status,342 freezes 16 state ids from candidate_received to closed with additive-only law.,par_346,consistent
CC345_008,event_names,data/contracts/342_phase6_event_registry.json,Phase 6 pharmacy event vocabulary,342 freezes 20 event names and 344 adds return-specific events without renaming existing events.,par_346/par_347/par_353,consistent
CC345_009,threshold_families,data/contracts/342_phase6_threshold_family_registry.json,Eligibility threshold families,342 freezes 12 threshold families and forbids code defaults.,par_347,consistent
CC345_010,threshold_families,data/contracts/344_phase6_bounce_back_schema.json,Bounce-back threshold family,"344 freezes B_loop, tau_loop, tau_reopen_secondary, tau_contact_return, and nu_* weights for return law.",par_353,consistent
CC345_011,algorithm_names,data/contracts/342_phase6_threshold_family_registry.json,Eligibility confidence and fallback formulas,"342 locks eligibilityConfidence(p,x) and fallbackScore(x) into immutable pack-owned evaluation law.",par_347,consistent
CC345_012,algorithm_names,data/contracts/343_phase6_outcome_reconciliation_schema.json,Outcome matching formulas,"343 locks rawMatch(c,e), matchScore(c,e), and posterior(c | e) with explicit threshold values for strong and weak match handling.",par_352,consistent
CC345_013,algorithm_names,data/contracts/344_phase6_bounce_back_schema.json,Bounce-back reopen formulas,"344 locks materialChange, loopRisk, reopenSignal, and reopenPriorityBand for return routing.",par_353,consistent
CC345_014,binding_hashes_and_tuple_refs,data/contracts/343_phase6_dispatch_schema.json,Package and dispatch binding hashes,"PackageHash, packageFingerprint, and dispatchPlanHash remain explicit binding facts; downstream tracks may consume but not redefine them.",par_349/par_350,consistent
CC345_015,binding_hashes_and_tuple_refs,data/contracts/342_phase6_api_surface.yaml,Evaluation idempotency tuple,evaluatePharmacyCase remains idempotent on pharmacyCaseId + rulePackId + evidenceSnapshotHash; choose-provider remains idempotent on selectionBindingHash.,par_346/par_347,consistent
CC345_016,audience_safe_projection_rules,data/contracts/344_phase6_patient_status_schema.json,Patient-safe status law,344 keeps patient macro states server-derived and forbids frontend boolean inference or calm copy under weak review.,par_351,consistent
CC345_017,audience_safe_projection_rules,data/contracts/344_phase6_practice_visibility_schema.json,Practice visibility law,344 keeps minimum-necessary audience views server-enforced and forbids client-side hiding and calm completion copy while blocked.,par_354,consistent
CC345_018,audience_safe_projection_rules,data/contracts/343_phase6_directory_choice_schema.json,Full-choice visibility law,343 keeps noHiddenTopKLaw true and fullChoiceVisibilityLaw fixed as recommended_frontier_must_be_subset_of_full_visible_set.,par_348,consistent
CC345_019,reserved_later_seams,docs/architecture/342_phase6_pharmacy_case_model_and_policy_contracts.md,342 reserved later-owned interfaces,"342 reserves choice, dispatch, and outcome detail for 343 and bounce-back, reachability, and visibility detail for 344 without flattening those owners into 346 or 347.",seq_345,consistent
CC345_020,reserved_later_seams,data/contracts/344_phase6_projection_registry.json,Projection registry reserved owners,"344 already reserves PharmacyPatientStatusProjection for 351 and PharmacyPracticeVisibilityProjection for 354, which 345 now turns into readiness boundaries.",seq_345,consistent
CC345_021,state_vocabularies,data/contracts/344_phase6_patient_status_schema.json,Patient macro states,"344 freezes five patient macro states and forbids timer-derived calmness, matching 351 and 360 ownership boundaries.",par_351/par_360,consistent
CC345_022,state_vocabularies,data/contracts/344_phase6_practice_visibility_schema.json,Minimum-necessary audience views,"344 freezes summary_only, clinical_action_required, and operations_attention as the minimum-necessary audience tiers for 354 and 363 consumers.",par_354/par_363,consistent
CC345_023,event_names,data/contracts/344_phase6_bounce_back_schema.json,Return-event vocabulary,"344 adds pharmacy.return.urgent_activated, pharmacy.return.routine_activated, pharmacy.reachability.plan.refreshed, and pharmacy.loop_risk.escalated under 353 ownership.",par_353,consistent
