touchpoint_id,lineage_area,dependency_name,interaction_purpose,required_proof,ambiguity_mode,degraded_fallback,scope_posture,source_refs
ext_nhs_login,"Identity, claim, and authenticated return",NHS login rail,Authenticate or step up the patient before writable portal or recovery actions continue.,SessionEstablishmentDecision plus current Session and IdentityBinding tuple.,"Expired auth, stale subject binding, or claim_pending means read-only or recovery-only posture, not writable success.",Secure-link continuation or bounded recovery without pretending the user is already claimed.,baseline,phase-2-identity-and-echoes.md#Session and continuation contracts; product_scope_matrix.json#cap_identity_binding_and_session_authority
ext_secure_link_and_notification_rail,"Receipt, more-info, callback expectation, route repair, and continuity prompts",Secure-link and notification delivery rail,"Deliver secure links, receipts, more-info prompts, callback notices, repair prompts, and controlled patient notifications.","AdapterDispatchAttempt and AdapterReceiptCheckpoint bound to the current grant, route intent, and visibility tuple.","Transport accepted is not delivery truth; bounced, disputed, or expired sends remain explicit repair posture.","Same-shell degraded receipt, controlled resend, or support repair; no silent reminder drift.",baseline,"phase-0-the-foundation-protocol.md#Command and adapter effect ledger; callback-and-clinician-messaging-loop.md#Delivery, callback-window, and settlement confidence model"
ext_telephony_and_ivr_provider,"Phone intake, telephony callback, and urgent live handling",Telephony and IVR provider,"Capture call ingress, callback attempts, voicemail, and live urgent handling.",CallbackAttemptRecord or telephony ingress record linked to AdapterReceiptCheckpoint and outcome evidence.,"Duplicate dial outcomes, missing route evidence, or provider failure stay in reconcile_required or repair posture.","Callback retry, manual review, secure-link continuation, or urgent manual escalation.",baseline,phase-2-identity-and-echoes.md#Telephony continuation and evidence readiness; callback-and-clinician-messaging-loop.md#Callback domain
ext_artifact_store_and_scan,"Evidence capture, upload quarantine, and audio/transcript handling",Binary artifact storage and malware / readiness processing,"Persist uploads or recordings, scan, transcribe, and classify readiness before promotion or review.","Artifact quarantine outcome, transcript readiness, and evidence-readiness record tied to the capture bundle.","Unsafe, unsupported, unreadable, or missing artifacts cannot silently disappear or pretend to be usable.",FallbackReviewCase with degraded receipt and manual review.,baseline,phase-0-the-foundation-protocol.md#Artifact quarantine and fallback review; phase-2-identity-and-echoes.md#Telephony transcript readiness
ext_message_delivery_provider,Clinician messaging and reminder delivery,Asynchronous messaging delivery provider,"Deliver clinician messages, reminders, and thread-linked outbound communication.",MessageDeliveryEvidenceBundle accepted through AdapterReceiptCheckpoint for the current MessageDispatchEnvelope.,"Provider acceptance without delivery evidence stays pending, disputed, failed, or expired rather than delivered.","Controlled resend, support repair, callback escalation, or contact-route repair.",baseline,callback-and-clinician-messaging-loop.md#Clinician message domain; phase-5-the-network-horizon.md#Reminder and communication publication
ext_booking_supplier_adapter,"Local booking, confirmation, and waitlist",Local booking supplier adapter,"Search supply, hold or select capacity, commit booking, confirm provider truth, and manage appointment mutations.","BookingConfirmationTruthProjection with durable provider proof or same-commit read-after-write, plus any current ExternalConfirmationGate resolution.","Async supplier acceptance, disputed callbacks, and reconciliation_required must stay explicit and block booked reassurance.","Waitlist continuation, callback fallback, hub transfer, or recovery-required posture.",baseline,phase-4-the-booking-engine.md#Commit and confirmation algorithm; product_scope_matrix.json#cap_local_booking_orchestrator
ext_network_booking_adapter,Hub coordination and cross-site booking,Cross-site or hub booking adapter,"Validate, re-check, and commit cross-site appointments once hub coordination selects a candidate.",HubOfferToConfirmationTruthProjection current truth tuple plus authoritative commit / confirmation evidence.,"Pending_confirmation, disputed, expired offer tuples, or imported confirmation mismatch stay visible and block closeability.","AlternativeOfferRegenerationSettlement, callback fallback, or return_to_practice.",baseline,phase-5-the-network-horizon.md#Hub commit algorithm; product_scope_matrix.json#cap_network_coordination_desk
ext_practice_ack_delivery_rail,Hub practice visibility and acknowledgement debt,Practice acknowledgement delivery rail,Send and evidence continuity messages or acknowledgement requests back to the origin practice for hub bookings.,Current-generation PracticeAcknowledgementRecord with matching ackGeneration and truthTupleHash.,"Transport acceptance alone cannot clear practice acknowledgement debt; failed, disputed, expired, or stale-generation acks remain open.","Recovery_required visibility posture, overdue acknowledgement timers, or operational escalation without calm close.",baseline,phase-5-the-network-horizon.md#PracticeAcknowledgementRecord; phase-5-the-network-horizon.md#Hub commit algorithm
ext_pharmacy_directory,Pharmacy provider discovery and patient choice,Pharmacy directory / discovery API,"Find eligible pharmacies, opening posture, capability, and safe provider choice set.","PharmacyDirectorySnapshot, provider capability snapshots, and current PharmacyChoiceProof.","Stale capability, unsafe timing, or hidden-provider drift forces warning, suppression, or same-shell regeneration instead of fake choice certainty.",Fresh same-shell directory regeneration or clinician fallback when no safe provider remains.,baseline,"phase-6-the-pharmacy-loop.md#Pharmacy contract, case model, and state machine; product_scope_matrix.json#cap_pharmacy_referral_dispatch_and_outcome_loop"
ext_pharmacy_dispatch_transport,Pharmacy referral dispatch and proof chain,Pharmacy referral transport adapter,Dispatch frozen referral packages through approved transport and observe transport or provider proof.,PharmacyDispatchAttempt.authoritativeProofRef under the active TransportAssuranceProfile and ExternalConfirmationGate.,Transport accepted or provider accepted is not enough unless the current assurance profile says that proof class is sufficient.,"Same-shell proof-pending posture, redispatch only under fresh tuple, or controlled reconciliation review.",baseline,"phase-6-the-pharmacy-loop.md#Pharmacy contract, case model, and state machine; phase-0-the-foundation-protocol.md#Pharmacy dispatch and confirmation gate algorithm"
