lane,candidate_ref,decision_state,reason_code,result
patient_summary,patient_summary,included,INCLUDED_PATIENT_SUMMARY,canonical patient summary artifact emitted
clinical_summary,clinical_summary,included,INCLUDED_CLINICAL_SUMMARY,canonical clinical summary artifact emitted
communication,communication_preference_summary,included_summary_only,COMMUNICATION_PREFERENCE_SUMMARY_ONLY,summary-only communication artifact emitted
service_request,service_request_core,included,CORE_SERVICE_REQUEST_REQUIRED,service request core always present
consent,consent_record,included,CONSENT_REQUIRED_FOR_REFERRAL,consent artifact always present
provenance,package_provenance,included,PROVENANCE_REQUIRED_FOR_REPLAY,provenance artifact always present
audit_event,package_audit_event,included,AUDIT_EVENT_REQUIRED_FOR_REPLAY,audit artifact always present
document_reference,attachment_full,included,INCLUDED_SUPPORTING_MATERIAL,full document reference emitted
document_reference,attachment_summary,included_summary_only,INCLUDED_AS_SUMMARY_ONLY,summary-only document reference emitted
document_reference,attachment_redacted,included_redaction_required,REDACTION_REQUIRED_AT_PACKAGE_BOUNDARY,redacted document reference emitted
document_reference,attachment_missing,unavailable,UNAVAILABLE_WITH_RECORDED_REASON,absence reason recorded and no artifact emitted
