projection_family,backend_entrypoint,same_shell_surface,promoted_region_role,depends_on_blocking_truth,calm_or_settled_requires
PharmacyConsoleSummaryProjection,fetchConsoleSummaryProjection,queue_spine_case_pulse,summary_surface,assurance_and_handoff,"assurance current, handoff not blocked"
PharmacyConsoleWorklistProjection,fetchConsoleWorklist,queue_spine,queue_row_surface,assurance_and_continuity,"continuity current, latest case refresh"
PharmacyCaseWorkbenchProjection,fetchCaseWorkbenchProjection,validation_board,primary_workbench_surface,inventory_and_settlement,"active line current, blocker codes resolved"
PharmacyMissionProjection,fetchMissionProjection,mission_frame,shell_posture_surface,continuity_and_settlement,"mission token current, mutation gate current"
MedicationValidationProjection,fetchMedicationValidationProjection,validation_board,validation_support_surface,line_checkpoint_truth,"line blockers resolved or governed"
InventoryTruthProjection,fetchInventoryTruthProjection,inventory_support,promoted_support_region,inventory_freshness_and_trust,"freshness not stale, trust usable"
InventoryComparisonProjection,fetchInventoryComparisonProjection,inventory_support,promoted_support_region,inventory_fence_and_supply,"active fence current, supply preview current"
PharmacyHandoffProjection,fetchHandoffProjection,handoff_board,promoted_support_region,action_settlement_outcome_and_freshness,"verified lines, communication previewed, no stale inventory"
PharmacyHandoffWatchProjection,fetchHandoffWatchProjection,handoff_board,watch_window_surface,watch_window_and_reopen_truth,"watch blockers cleared or absent"
PharmacyActionSettlementProjection,fetchActionSettlementProjection,decision_dock,settlement_surface,dispatch_or_outcome_settlement,"canonical settlement converged"
PharmacyChoiceTruthProjection,fetchChoiceTruthProjection,inventory_support,read_only_authority,choice_and_directory_truth,"selected provider and choice proof current"
PharmacyDispatchTruthProjection,fetchDispatchTruthProjection,handoff_board,read_only_authority,dispatch_proof_truth,"authoritative proof satisfied"
PharmacyOutcomeTruthProjection,fetchOutcomeTruthProjection,assurance_board,read_only_authority,outcome_reconciliation_truth,"outcome truth settled_resolved"
PharmacyConsentCheckpointProjection,fetchConsentCheckpointProjection,mission_frame,read_only_authority,consent_checkpoint_truth,"checkpoint satisfied"
PharmacyConsoleContinuityEvidenceProjection,fetchConsoleContinuityEvidenceProjection,mission_frame,continuity_support_surface,continuity_validation_truth,"continuity validation current"
PharmacyAssuranceProjection,fetchAssuranceProjection,assurance_board,assurance_support_surface,all_upstream_blockers,"continuity current, settlement converged, outcome calm"
