source_object_id,source_name,relationship_type,target_object_id,target_name,evidence,source_ref,notes
OBJ_ACCESSGRANT,AccessGrant,binds,OBJ_IDENTITYBINDING,IdentityBinding,Grant scope must stay distinct from subject binding.,phase-0-the-foundation-protocol.md#L1238,Curated relationship seed for high-risk control-plane semantics.
OBJ_ADMINRESOLUTIONSETTLEMENT,AdminResolutionSettlement,settles,OBJ_ADMINRESOLUTIONCASE,AdminResolutionCase,Admin-resolution completion must settle the owning case.,phase-0-the-foundation-protocol.md#L4467,Curated relationship seed for high-risk control-plane semantics.
OBJ_APPROVALCHECKPOINT,ApprovalCheckpoint,guards,OBJ_DECISIONEPOCH,DecisionEpoch,Irreversible action approval is fenced by the current epoch.,phase-3-the-human-checkpoint.md#L74,Curated relationship seed for high-risk control-plane semantics.
OBJ_ARCHIVEMANIFEST,ArchiveManifest,references,OBJ_RETENTIONLIFECYCLEBINDING,RetentionLifecycleBinding,Archive outputs remain governed by retention lifecycle binding.,phase-9-the-assurance-ledger.md#L761,Curated relationship seed for high-risk control-plane semantics.
OBJ_ASSISTEDBOOKINGSESSION,AssistedBookingSession,references,OBJ_TASKCOMPLETIONSETTLEMENTENVELOPE,TaskCompletionSettlementEnvelope,AssistedBookingSession field ``taskCompletionSettlementEnvelopeRef`,phase-4-the-booking-engine.md#L1037,
OBJ_ASSISTIVERELEASESTATE,AssistiveReleaseState,binds,OBJ_COMPILEDPOLICYBUNDLE,CompiledPolicyBundle,AssistiveReleaseState field ``compiledPolicyBundleRef`,phase-8-the-assistive-layer.md#L142,
OBJ_ASSISTIVERUNSETTLEMENT,AssistiveRunSettlement,settles,OBJ_ASSISTIVEINVOCATIONGRANT,AssistiveInvocationGrant,Assistive runs require bounded invocation proof.,phase-8-the-assistive-layer.md#L175,Curated relationship seed for high-risk control-plane semantics.
OBJ_ASSISTIVESURFACEBINDING,AssistiveSurfaceBinding,binds,OBJ_PERSISTENTSHELL,PersistentShell,Assistive behavior is always bound to the owning shell.,phase-8-the-assistive-layer.md#L157,Curated relationship seed for high-risk control-plane semantics.
OBJ_ASSURANCEEVIDENCEGRAPHSNAPSHOT,AssuranceEvidenceGraphSnapshot,contains,OBJ_ASSURANCELEDGERENTRY,AssuranceLedgerEntry,Graph snapshots are built from typed ledger rows.,phase-9-the-assurance-ledger.md#L149,Curated relationship seed for high-risk control-plane semantics.
OBJ_ASSURANCEEVIDENCEGRAPHSNAPSHOT,AssuranceEvidenceGraphSnapshot,contains,OBJ_EVIDENCEARTIFACT,EvidenceArtifact,Graph snapshots join admissible evidence artifacts.,phase-9-the-assurance-ledger.md#L149,Curated relationship seed for high-risk control-plane semantics.
OBJ_BOOKINGCASE,BookingCase,guards,OBJ_EXTERNALCONFIRMATIONGATE,ExternalConfirmationGate,Ambiguous external confirmation must remain explicit on the booking lineage.,phase-4-the-booking-engine.md#L27,Curated relationship seed for high-risk control-plane semantics.
OBJ_BOOKINGCASE,BookingCase,references,OBJ_BOOKINGCONFIRMATIONTRUTHPROJECTION,BookingConfirmationTruthProjection,Booking surfaces derive from the current confirmation truth projection.,phase-4-the-booking-engine.md#L27,Curated relationship seed for high-risk control-plane semantics.
OBJ_BOOKINGINTENT,BookingIntent,binds,OBJ_DECISIONSUPERSESSIONRECORD,DecisionSupersessionRecord,BookingIntent field ``decisionSupersessionRecordRef`,phase-3-the-human-checkpoint.md#L941,
OBJ_BOOKINGTRANSACTION,BookingTransaction,references,OBJ_RELEASERECOVERYDISPOSITION,ReleaseRecoveryDisposition,BookingTransaction field ``releaseRecoveryDispositionRef`,phase-4-the-booking-engine.md#L51,
OBJ_CALLBACKRESOLUTIONGATE,CallbackResolutionGate,guards,OBJ_CALLBACKCASE,CallbackCase,"Callback completion, retry, or escalation must route through the resolution gate.",callback-and-clinician-messaging-loop.md#L56,Curated relationship seed for high-risk control-plane semantics.
OBJ_DECISIONEPOCH,DecisionEpoch,guards,OBJ_ENDPOINTDECISION,EndpointDecision,Endpoint choice stays valid only while the current epoch is live.,phase-3-the-human-checkpoint.md#L64,Curated relationship seed for high-risk control-plane semantics.
OBJ_DELETIONCERTIFICATE,DeletionCertificate,proves,OBJ_RETENTIONLIFECYCLEBINDING,RetentionLifecycleBinding,Deletion proof is admissible only against the governing retention binding.,phase-9-the-assurance-ledger.md#L758,Curated relationship seed for high-risk control-plane semantics.
OBJ_DESIGNCONTRACTPUBLICATIONBUNDLE,DesignContractPublicationBundle,publishes,OBJ_AUDIENCESURFACEROUTECONTRACT,AudienceSurfaceRouteContract,Design-contract publication ships route-family contracts.,phase-0-the-foundation-protocol.md#L3436,Curated relationship seed for high-risk control-plane semantics.
OBJ_FIELDACCESSIBILITYCONTRACT,FieldAccessibilityContract,governs,OBJ_ASSISTIVETEXTPOLICY,AssistiveTextPolicy,FieldAccessibilityContract field ``assistiveTextPolicyRef`,accessibility-and-content-system-contract.md#L52,
OBJ_HUBCOORDINATIONCASE,HubCoordinationCase,references,OBJ_HUBOFFERTOCONFIRMATIONTRUTHPROJECTION,HubOfferToConfirmationTruthProjection,Hub patient and practice posture derives from the current truth projection.,phase-5-the-network-horizon.md#L43,Curated relationship seed for high-risk control-plane semantics.
OBJ_HUBFALLBACKRECORD,HubFallbackRecord,references,OBJ_HUBCOORDINATIONCASE,HubCoordinationCase,Fallback continuity must stay attached to the active hub case.,phase-5-the-network-horizon.md#L122,Curated relationship seed for high-risk control-plane semantics.
