metricId,label,unit,sourceFamilies,guardrail,operatorUse
"queue_depth_high_band","High-band queue depth","count","claim|start_review","<= 4 cases in the critical band","Detect queue pressure before fairness and abandonment degrade."
"median_claim_to_review_minutes","Median claim to review","minutes","claim|start_review","<= 6 minutes","Checks whether the shell is helping operators enter active review quickly."
"awaiting_patient_dwell_minutes","Awaiting-patient dwell","minutes","request_more_info","<= 2880 minutes before escalation","Tracks reply-window pressure and stale patient waits."
"approval_dwell_minutes","Approval dwell","minutes","approve|escalate","<= 90 minutes","Shows whether approval checkpoints are blocking flow beyond the agreed envelope."
"duplicate_rate_percent","Duplicate rate","percent","reopen|start_review","<= 8%","Detects duplicate churn that can distort queue fairness."
"reopen_rate_percent","Reopen rate","percent","reopen|close","<= 10%","Surfaces consequence or review closure that is calming too early."
"queue_abandonment_after_live_reorder_percent","Queue abandonment after live reorder","percent","claim|stale_recovery","<= 3%","Checks whether queue churn or anchor invalidation is causing operators to bail out."
"keyboard_only_completion_rate_percent","Keyboard-only completion rate","percent","start_review|approve|close",">= 55%","Verifies that repetitive review can stay keyboard-first without losing legality."
"focus_protection_churn_rate","Focus-protection churn","ratio","stale_recovery|request_more_info|approve","<= 0.12 protected interruptions per review","Tracks how often protected composition is being invalidated or re-armed."
"premature_next_task_launch_rate_percent","Premature next-task launch rate","percent","close|handoff","<= 1%","Ensures next-task launch stays gated on real settlement and continuity truth."
"support_replay_restore_block_rate_percent","Support replay restore block rate","percent","support_replay|support_restore","<= 25%","Checks whether replay boundaries are sticking in read-only recovery too often."
"support_repair_join_rate_percent","Support repair join rate","percent","message_action|callback_action|knowledge_reveal|history_reveal",">= 95%","Verifies replay, history, knowledge, and repair events are joining one lawful chain."
