capabilityId,title,contractFamily,audience,environmentClass,evidenceStatus,releaseInterpretation,ownerTasks,phaseRefs,frozenContractRefs,executableRefs,proofRefs,blockerRefs,carryForwardRefs,summary
CAP341_00,"Release governance, inherited safety evidence, and rollout boundary",governance,platform,controlled_foundation,proved_with_constraints,go_with_constraints,seq_310 | seq_314 | seq_341,5I,blueprint/phase-5-the-network-horizon.md | docs/release/314_phase5_parallel_open_gate.md | data/analysis/310_phase4_exit_gate_decision.json,tools/analysis/build_341_phase5_exit_gate.ts | docs/frontend/341_phase5_exit_gate_board.html,data/test-reports/338_scope_capacity_ranking_sla_results.json | data/test-reports/339_commit_mesh_no_slot_reopen_results.json | data/test-results/340_phase5_browser_suite_summary.json,BLK341_001 | BLK341_002 | BLK341_003,,"Phase 5 now has a full executable and browser-proof foundation, but inherited safety, rollback, and widened-rollout constraints still prevent an unconditional approval verdict."
CAP341_01,Acting context and cross-organisation visibility,identity_visibility,staff_cross_org,local_nonprod_foundation,proved,approved,seq_311 | par_316 | par_332 | seq_338 | seq_340,5B,docs/architecture/311_phase5_hub_case_and_acting_context_contract.md | docs/security/316_break_glass_scope_tuple_and_minimum_necessary_rules.md | data/contracts/311_hub_visibility_tier_contract.json | data/analysis/316_scope_drift_cases.csv,packages/domains/hub_coordination/src/phase5-acting-context-visibility-kernel.ts | apps/hub-desk/src/hub-desk-shell.tsx | apps/hub-desk/src/hub-desk-shell.model.ts,tools/analysis/validate_316_acting_context_scope_and_visibility.ts | tools/analysis/validate_332_acting_context_control_plane.ts | data/test-reports/338_scope_capacity_ranking_sla_results.json | data/test-results/340_phase5_browser_suite_summary.json,,,"Acting-context drift, minimum-necessary visibility, and break-glass posture all fail closed across backend and browser-visible surfaces."
CAP341_02,Capacity ingestion and source trust,capacity_trust,network_ops,controlled_partner_boundary,proved_with_constraints,go_with_constraints,seq_312 | par_318 | seq_336 | seq_338,5C,docs/architecture/312_phase5_policy_capacity_and_candidate_ranking_contract.md | docs/architecture/318_capacity_ingestion_and_candidate_snapshot_pipeline.md | data/contracts/336_capacity_feed_configuration_contract.json,packages/domains/hub_coordination/src/phase5-network-capacity-pipeline.ts | scripts/capacity/336_partner_feed_lib.ts | scripts/capacity/336_bootstrap_partner_feeds.ts,tools/analysis/validate_318_capacity_snapshot_and_rank_proof.ts | tools/analysis/validate_336_partner_feed_configuration.ts | data/test-reports/338_scope_capacity_ranking_sla_results.json,BLK341_004,CF341_003 | CF341_004 | CF341_005,"Source admission, degraded/quarantined handling, and local twin partner feeds are proven, but supported-test and live onboarding still remain bounded operational work."
CAP341_03,Candidate ranking and alternative-offer truth,choice_truth,patient_staff,local_nonprod_foundation,proved_with_constraints,go_with_constraints,seq_312 | par_319 | par_320 | par_328 | seq_338 | seq_340,5C | 5D | 5E,docs/architecture/312_phase5_policy_capacity_and_candidate_ranking_contract.md | docs/architecture/319_hub_queue_ranking_and_workbench_projection_engine.md | docs/architecture/320_alternative_offer_optimisation_and_secure_choice_backend.md,packages/domains/hub_coordination/src/phase5-hub-queue-engine.ts | packages/domains/hub_coordination/src/phase5-alternative-offer-engine.ts | apps/patient-web/src/patient-network-alternative-choice.tsx,tools/analysis/validate_319_hub_queue_engine.ts | tools/analysis/validate_320_offer_solver_and_choice_guards.ts | tools/analysis/validate_328_patient_network_alternative_choice.ts | data/test-reports/338_scope_capacity_ranking_sla_results.json | data/test-results/340_phase5_browser_suite_summary.json,,CF341_001,"The visible frontier, warned-choice treatment, and cross-surface truth are proven, while the queue-side expiry timer integration remains an explicit fail-closed gap."
CAP341_04,"Hub claim, transfer, and ownership fence",ownership_fencing,staff_cross_org,local_nonprod_foundation,proved,approved,seq_311 | par_315 | par_319 | par_326 | par_327 | seq_338,5A | 5D,docs/architecture/311_phase5_hub_case_and_acting_context_contract.md | docs/architecture/315_hub_case_kernel_and_state_machine.md | docs/api/319_hub_queue_and_console_projection_api.md,packages/domains/hub_coordination/src/phase5-hub-case-kernel.ts | packages/domains/hub_coordination/src/phase5-hub-queue-engine.ts | apps/hub-desk/src/hub-desk-shell.model.ts,tools/analysis/validate_315_hub_case_kernel.ts | tools/analysis/validate_319_hub_queue_engine.ts | tools/analysis/validate_327_hub_queue_candidate_and_sla_ui.ts | data/test-reports/338_scope_capacity_ranking_sla_results.json,,,"Ownership epochs, stale-owner recovery, transfer continuity, and same-shell queue claim behavior remain materially intact."
CAP341_05,Commit truth and confirmation evidence,commit_confirmation,patient_staff,local_nonprod_foundation,proved,approved,seq_313 | par_321 | par_325 | par_329 | seq_339,5F,docs/architecture/313_phase5_offer_commit_confirmation_and_practice_visibility_contract.md | docs/architecture/321_hub_commit_attempts_confirmation_gates_and_appointment_truth.md | docs/security/321_commit_fence_idempotency_and_confirmation_rules.md,packages/domains/hub_coordination/src/phase5-hub-commit-engine.ts | packages/domains/hub_coordination/src/phase5-hub-background-integrity-engine.ts | apps/patient-web/src/patient-network-confirmation.tsx,tools/analysis/validate_321_hub_commit_and_confirmation_gate.ts | tools/analysis/validate_325_hub_workers_and_backfill.ts | tools/analysis/validate_329_commit_confirmation_and_visibility_ui.ts | data/test-reports/339_commit_mesh_no_slot_reopen_results.json,,,"Commit fencing, pending-versus-confirmed truth, imported confirmation handling, and browser confirmation surfaces are all backed by current proof."
CAP341_06,Reminder/manage and patient timeline continuity,manage_timeline,patient_staff,local_nonprod_foundation,proved,approved,par_324 | par_330 | seq_337 | seq_339 | seq_340,5H,docs/architecture/324_network_reminders_manage_and_practice_visibility_backend.md | docs/frontend/330_network_manage_and_message_timeline_spec.md | docs/architecture/337_network_local_booking_and_patient_manage_merge.md,packages/domains/hub_coordination/src/phase5-reminders-manage-visibility-engine.ts | apps/patient-web/src/patient-network-manage.tsx | apps/patient-web/src/patient-appointment-family-workspace.tsx,tools/analysis/validate_324_hub_manage_visibility_and_reminders.ts | tools/analysis/validate_330_network_manage_and_message_timeline.ts | tools/analysis/validate_337_appointment_family_merge.ts | data/test-reports/339_commit_mesh_no_slot_reopen_results.json | data/test-results/340_phase5_browser_suite_summary.json,,,"Manage capability settlement, reminders, and merged appointment-family continuity are all proven without misleading calmness."
CAP341_07,Practice visibility and acknowledgement debt,practice_visibility,cross_org,local_nonprod_foundation,proved,approved,seq_313 | par_322 | par_324 | par_329 | seq_339 | seq_340,5F | 5H,docs/architecture/313_phase5_offer_commit_confirmation_and_practice_visibility_contract.md | docs/architecture/322_practice_continuity_message_and_acknowledgement_chain.md | docs/frontend/329_cross_org_commit_confirmation_and_visibility_spec.md,packages/domains/hub_coordination/src/phase5-practice-continuity-engine.ts | packages/domains/hub_coordination/src/phase5-reminders-manage-visibility-engine.ts | apps/hub-desk/src/hub-commit-confirmation-pane.tsx,tools/analysis/validate_322_practice_continuity_chain.ts | tools/analysis/validate_324_hub_manage_visibility_and_reminders.ts | tools/analysis/validate_329_commit_confirmation_and_visibility_ui.ts | data/test-reports/339_commit_mesh_no_slot_reopen_results.json | data/test-results/340_phase5_browser_suite_summary.json,,,"Practice visibility projections and acknowledgement debt remain separate truths, and the browser-visible surfaces keep the distinction intact."
CAP341_08,"MESH continuity, route verification, and partner-route setup",transport_onboarding,network_ops,controlled_partner_boundary,proved_with_constraints,go_with_constraints,par_322 | seq_335 | seq_336 | seq_339,5F,docs/architecture/322_practice_continuity_message_and_acknowledgement_chain.md | data/contracts/335_mesh_route_contract.json | data/contracts/336_capacity_feed_configuration_contract.json,services/hub-booking-reconciler/src/service-definition.ts | scripts/messaging/335_mesh_mailbox_lib.ts | scripts/capacity/336_partner_feed_lib.ts,tools/analysis/validate_322_practice_continuity_chain.ts | tools/analysis/validate_335_mesh_configuration.ts | tools/analysis/validate_336_partner_feed_configuration.ts | data/test-reports/339_commit_mesh_no_slot_reopen_results.json,BLK341_004,CF341_002 | CF341_003 | CF341_004 | CF341_005,"Local-twin continuity, route verification, and supported environment separation are proven, but lawful live onboarding remains a controlled manual or review boundary."
CAP341_09,"No-slot, callback transfer, return-to-practice, and reopen recovery",recovery,patient_staff,local_nonprod_foundation,proved,approved,par_323 | par_331 | seq_339 | seq_340,5E | 5F,docs/architecture/323_no_slot_callback_return_and_reopen_workflows.md | docs/frontend/331_hub_no_slot_reopen_and_recovery_spec.md | docs/security/323_urgent_return_callback_and_loop_prevention_rules.md,packages/domains/hub_coordination/src/phase5-hub-fallback-engine.ts | apps/hub-desk/src/hub-desk-shell.tsx,tools/analysis/validate_323_hub_fallback_workflows.ts | tools/analysis/validate_331_hub_recovery_and_exception_ui.ts | data/test-reports/339_commit_mesh_no_slot_reopen_results.json | data/test-results/340_phase5_browser_suite_summary.json,,,"Fallback, callback, urgent return, and reopen behavior are proven as distinct authorities rather than flattened into one recovery outcome."
