risk_id,risk_title,task_id,task_title,task_phase_ref,risk_class,risk_status,critical_path_relevance,link_reason
RISK_MUTATION_001,RouteIntentBinding is the canonical post-submit mutation fence,par_062,phase0 track backend implement submission envelope request and request lineage aggregates,phase_0,architecture,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_002,CommandActionRecord is the canonical mutation envelope,par_062,phase0 track backend implement submission envelope request and request lineage aggregates,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_003,CommandSettlementRecord is the authoritative outcome for visible mutation state,par_062,phase0 track backend implement submission envelope request and request lineage aggregates,phase_0,release,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_OWNERSHIP_001,LifecycleCoordinator alone derives canonical Request milestone change and closure,par_062,phase0 track backend implement submission envelope request and request lineage aggregates,phase_0,governance,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_RUNTIME_001,RuntimePublicationBundle and DesignContractPublicationBundle publish one coherent surface tuple,par_062,phase0 track backend implement submission envelope request and request lineage aggregates,phase_0,release,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_001,SubmissionEnvelope.state owns draft and pre-promotion lifecycle,par_062,phase0 track backend implement submission envelope request and request lineage aggregates,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_002,Request.workflowState is milestone-only,par_062,phase0 track backend implement submission envelope request and request lineage aggregates,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_003,Request.safetyState is a persisted orthogonal axis,par_062,phase0 track backend implement submission envelope request and request lineage aggregates,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_004,identityState plus nullable patientRef derived from IdentityBinding,par_062,phase0 track backend implement submission envelope request and request lineage aggregates,phase_0,privacy,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_005,blockers remain orthogonal to workflow milestones,par_062,phase0 track backend implement submission envelope request and request lineage aggregates,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_001,RouteIntentBinding is the canonical post-submit mutation fence,par_063,phase0 track backend implement evidence snapshot capture bundle derivation package and redaction transforms,phase_0,architecture,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_002,CommandActionRecord is the canonical mutation envelope,par_063,phase0 track backend implement evidence snapshot capture bundle derivation package and redaction transforms,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_003,CommandSettlementRecord is the authoritative outcome for visible mutation state,par_063,phase0 track backend implement evidence snapshot capture bundle derivation package and redaction transforms,phase_0,release,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_OWNERSHIP_001,LifecycleCoordinator alone derives canonical Request milestone change and closure,par_063,phase0 track backend implement evidence snapshot capture bundle derivation package and redaction transforms,phase_0,governance,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_RUNTIME_001,RuntimePublicationBundle and DesignContractPublicationBundle publish one coherent surface tuple,par_063,phase0 track backend implement evidence snapshot capture bundle derivation package and redaction transforms,phase_0,release,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_001,SubmissionEnvelope.state owns draft and pre-promotion lifecycle,par_063,phase0 track backend implement evidence snapshot capture bundle derivation package and redaction transforms,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_002,Request.workflowState is milestone-only,par_063,phase0 track backend implement evidence snapshot capture bundle derivation package and redaction transforms,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_003,Request.safetyState is a persisted orthogonal axis,par_063,phase0 track backend implement evidence snapshot capture bundle derivation package and redaction transforms,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_004,identityState plus nullable patientRef derived from IdentityBinding,par_063,phase0 track backend implement evidence snapshot capture bundle derivation package and redaction transforms,phase_0,privacy,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_005,blockers remain orthogonal to workflow milestones,par_063,phase0 track backend implement evidence snapshot capture bundle derivation package and redaction transforms,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_001,RouteIntentBinding is the canonical post-submit mutation fence,par_064,phase0 track backend build fhir representation set and mapping compiler,phase_0,architecture,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_002,CommandActionRecord is the canonical mutation envelope,par_064,phase0 track backend build fhir representation set and mapping compiler,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_003,CommandSettlementRecord is the authoritative outcome for visible mutation state,par_064,phase0 track backend build fhir representation set and mapping compiler,phase_0,release,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_OWNERSHIP_001,LifecycleCoordinator alone derives canonical Request milestone change and closure,par_064,phase0 track backend build fhir representation set and mapping compiler,phase_0,governance,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_RUNTIME_001,RuntimePublicationBundle and DesignContractPublicationBundle publish one coherent surface tuple,par_064,phase0 track backend build fhir representation set and mapping compiler,phase_0,release,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_001,SubmissionEnvelope.state owns draft and pre-promotion lifecycle,par_064,phase0 track backend build fhir representation set and mapping compiler,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_002,Request.workflowState is milestone-only,par_064,phase0 track backend build fhir representation set and mapping compiler,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_003,Request.safetyState is a persisted orthogonal axis,par_064,phase0 track backend build fhir representation set and mapping compiler,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_004,identityState plus nullable patientRef derived from IdentityBinding,par_064,phase0 track backend build fhir representation set and mapping compiler,phase_0,privacy,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_005,blockers remain orthogonal to workflow milestones,par_064,phase0 track backend build fhir representation set and mapping compiler,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_001,RouteIntentBinding is the canonical post-submit mutation fence,par_065,phase0 track backend build api contract registry for queries mutations and live channels,phase_0,architecture,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_002,CommandActionRecord is the canonical mutation envelope,par_065,phase0 track backend build api contract registry for queries mutations and live channels,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_003,CommandSettlementRecord is the authoritative outcome for visible mutation state,par_065,phase0 track backend build api contract registry for queries mutations and live channels,phase_0,release,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_OWNERSHIP_001,LifecycleCoordinator alone derives canonical Request milestone change and closure,par_065,phase0 track backend build api contract registry for queries mutations and live channels,phase_0,governance,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_RUNTIME_001,RuntimePublicationBundle and DesignContractPublicationBundle publish one coherent surface tuple,par_065,phase0 track backend build api contract registry for queries mutations and live channels,phase_0,release,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_001,SubmissionEnvelope.state owns draft and pre-promotion lifecycle,par_065,phase0 track backend build api contract registry for queries mutations and live channels,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_002,Request.workflowState is milestone-only,par_065,phase0 track backend build api contract registry for queries mutations and live channels,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_003,Request.safetyState is a persisted orthogonal axis,par_065,phase0 track backend build api contract registry for queries mutations and live channels,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_004,identityState plus nullable patientRef derived from IdentityBinding,par_065,phase0 track backend build api contract registry for queries mutations and live channels,phase_0,privacy,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_005,blockers remain orthogonal to workflow milestones,par_065,phase0 track backend build api contract registry for queries mutations and live channels,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_001,RouteIntentBinding is the canonical post-submit mutation fence,par_066,phase0 track backend implement submission promotion record and exactly once envelope to request mapping,phase_0,architecture,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_002,CommandActionRecord is the canonical mutation envelope,par_066,phase0 track backend implement submission promotion record and exactly once envelope to request mapping,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_003,CommandSettlementRecord is the authoritative outcome for visible mutation state,par_066,phase0 track backend implement submission promotion record and exactly once envelope to request mapping,phase_0,release,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_OWNERSHIP_001,LifecycleCoordinator alone derives canonical Request milestone change and closure,par_066,phase0 track backend implement submission promotion record and exactly once envelope to request mapping,phase_0,governance,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_RUNTIME_001,RuntimePublicationBundle and DesignContractPublicationBundle publish one coherent surface tuple,par_066,phase0 track backend implement submission promotion record and exactly once envelope to request mapping,phase_0,release,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_001,SubmissionEnvelope.state owns draft and pre-promotion lifecycle,par_066,phase0 track backend implement submission promotion record and exactly once envelope to request mapping,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
