track_id,title,track_family,readiness_state,owner_lane,environment,risk_class,launch_packet_ref,blocking_refs,upstream_contract_refs,status
par_404,"Freeze evaluation corpus, shadow mode, and feedback eligibility contracts",contract_freeze,ready,assistive_evaluation_contracts,local_nonprod_contract_freeze,evaluation_safety,data/launchpacks/403_track_launch_packet_404.json,,402_phase7_exit_verdict;402_phase8_launch_conditions;phase8_8B,open
par_405,"Freeze release candidate, safety case, regulatory trigger, and change-control law",contract_freeze,ready,assistive_release_safety_and_regulatory_control,local_nonprod_contract_freeze,clinical_safety_regulatory,data/launchpacks/403_track_launch_packet_405.json,,402_phase7_exit_verdict;402_phase8_launch_conditions;phase8_8H,open
par_406,"Build evaluation corpus, label store, replay harness, and shadow dataset",backend_evaluation,ready,evaluation_runtime,local_nonprod_shadow_runtime,evaluation_safety,data/launchpacks/403_track_launch_packet_406.json,,403_track_launch_packet_404;403_track_launch_packet_405;phase8_8B,open
par_407,"Build audio, transcript, and artifact-normalization pipeline",backend_input_normalization,ready,audio_transcript_artifact_pipeline,local_nonprod_shadow_runtime,data_capture_and_retention,data/launchpacks/403_track_launch_packet_407.json,,LC402_004;LC402_005;phase8_8C,open
par_408,"Build summary, note draft, and structured documentation composer",backend_generation,ready,documentation_composer,local_nonprod_shadow_runtime,documentation_assistance,data/launchpacks/403_track_launch_packet_408.json,,403_track_launch_packet_404;403_track_launch_packet_406;403_track_launch_packet_407;phase8_8D,open
par_409,"Build risk extraction, question suggestions, and endpoint recommendation orchestrator",backend_decision_support,ready,bounded_suggestion_orchestrator,local_nonprod_shadow_runtime,decision_support_boundary,data/launchpacks/403_track_launch_packet_409.json,,403_track_launch_packet_404;403_track_launch_packet_405;403_track_launch_packet_406;phase8_8E,open
par_410,"Build invocation eligibility, capability composition, and kill-switch service",backend_control_plane,blocked,capability_control_plane,blocked_until_foundation_contracts_materialize,run_admission_and_kill_switch,,GAP403_410_REQUIRES_404_TO_409_OBJECTS,403_phase8_track_readiness_registry;prompt_410,blocked
par_411,"Build assistive surface binding and trust-envelope projection",backend_trust_projection,blocked,trust_envelope_projection,blocked_until_control_plane_exists,surface_binding_and_trust,,GAP403_411_REQUIRES_410_CONTROL_PLANE,403_phase8_track_readiness_registry;prompt_411,blocked
par_412,"Build assistive work-protection and suggestion draft-insertion leases",backend_workspace_leases,blocked,workspace_protection_leases,blocked_until_trust_envelope_exists,human_control_and_work_protection,,GAP403_412_REQUIRES_409_AND_411,prompt_412;phase8_8F,blocked
par_413,"Build override record, feedback chain, and final human artifact linkage",backend_feedback_chain,blocked,override_feedback_and_settlement,blocked_until_visible_artifact_actions_exist,human_settlement_feedback,,GAP403_413_REQUIRES_404_AND_412,prompt_413;403_track_launch_packet_404,blocked
par_414,"Build replayable inference logs, prompt snapshot storage, and trainability flags",backend_evidence_logging,deferred,inference_evidence_and_trainability,deferred_until_evaluation_and_feedback_runtime,evidence_logging_and_training_boundary,,WAIT403_414_REQUIRES_406_AND_413,prompt_414;403_track_launch_packet_406,deferred
par_415,"Build drift, fairness, and degraded-trust monitoring pipeline",backend_monitoring,deferred,drift_fairness_and_trust_monitoring,deferred_until_shadow_metrics_exist,monitoring_and_safety_controls,,WAIT403_415_REQUIRES_SHADOW_METRICS,prompt_415;phase8_8G,deferred
par_416,"Build assistive freeze disposition and policy-freshness invalidations",backend_release_recovery,blocked,assistive_freeze_and_policy_freshness,blocked_until_rollout_verdict_inputs_exist,freeze_recovery_and_policy_freshness,,GAP403_416_REQUIRES_CONTROL_TRUST_AND_MONITORING,prompt_416;phase8_8I,blocked
par_417,"Build DTAC, DCB safety, RFC, and change-control evidence pipeline",backend_assurance_evidence,blocked,regulatory_evidence_pipeline,blocked_until_release_candidate_contracts_exist,regulatory_assurance_pipeline,,GAP403_417_REQUIRES_405_414_416,prompt_417;403_track_launch_packet_405,blocked
par_418,"Build assistive side panel and shadow-mode presentation",frontend_shadow_surface,blocked,assistive_workspace_ui,blocked_until_411_surface_envelope,staff_visible_shadow_presentation,,GAP403_418_REQUIRES_411,prompt_418;staff_workspace_interface_architecture,blocked
par_419,"Build diffable note draft and bounded insert controls",frontend_draft_controls,blocked,assistive_workspace_ui,blocked_until_408_412,draft_insert_control,,GAP403_419_REQUIRES_408_AND_412,prompt_419;403_track_launch_packet_408,blocked
par_420,"Build confidence, rationale, and provenance visibility components",frontend_provenance,deferred,assistive_workspace_ui,deferred_until_provenance_envelopes,confidence_and_provenance,,WAIT403_420_REQUIRES_411_AND_415,prompt_420;phase8_surface_priorities,deferred
par_421,"Build override reason capture and edited-by-clinician trail",frontend_human_feedback,blocked,assistive_workspace_ui,blocked_until_413_feedback_chain,human_override_and_feedback,,GAP403_421_REQUIRES_413,prompt_421;phase8_8F,blocked
