scenario_id,audience_surface,route_family_ref,channel_family,channel_state,slice_trust_id,slice_namespace,producer_scope_ref,trust_state,completeness_state,trust_score,trust_lower_bound,freshness_score,coverage_score,lineage_score,replay_score,consistency_score,hard_block_state,surface_authority_state,calm_truth_state,mutation_authority_state,evaluation_model_ref,evaluation_input_hash,effective_at,review_due_at,updated_at
live_exact_parity_trusted_slices,patient-web,rf_patient_home,browser_web,monitoring,slice::live_exact_parity_trusted_slices::1,patient.surface,producer_patient_surface,trusted,complete,0.968,0.914,0.971,1.000,1.000,1.000,0.964,false,live,allowed,enabled,assurance_slice_trust_model::par_075_v1,hash::live_exact_parity_trusted_slices::1,2026-04-12T22:03:00Z,2026-04-12T23:00:00Z,2026-04-12T22:05:00Z
live_exact_parity_trusted_slices,patient-web,rf_patient_home,browser_web,monitoring,slice::live_exact_parity_trusted_slices::2,patient.continuity,producer_patient_continuity,trusted,complete,0.953,0.891,0.963,1.000,0.979,0.984,0.947,false,live,allowed,enabled,assurance_slice_trust_model::par_075_v1,hash::live_exact_parity_trusted_slices::2,2026-04-12T22:03:00Z,2026-04-12T23:00:00Z,2026-04-12T22:05:00Z
diagnostic_only_degraded_slice,ops-console,rf_ops_overview,embedded_webview,monitoring,slice::diagnostic_only_degraded_slice::1,ops.surface,producer_ops_surface,degraded,partial,0.821,0.641,0.952,0.958,0.938,0.925,0.811,false,diagnostic_only,suppressed,observe_only,assurance_slice_trust_model::par_075_v1,hash::diagnostic_only_degraded_slice::1,2026-04-12T22:03:00Z,2026-04-12T23:00:00Z,2026-04-12T22:05:00Z
diagnostic_only_degraded_slice,ops-console,rf_ops_overview,embedded_webview,monitoring,slice::diagnostic_only_degraded_slice::2,ops.continuity,producer_ops_continuity,trusted,complete,0.945,0.881,0.964,1.000,0.972,0.978,0.934,false,diagnostic_only,suppressed,observe_only,assurance_slice_trust_model::par_075_v1,hash::diagnostic_only_degraded_slice::2,2026-04-12T22:03:00Z,2026-04-12T23:00:00Z,2026-04-12T22:05:00Z
recovery_only_active_channel_freeze,governance-console,rf_governance_release,browser_web,rollback_recommended,slice::recovery_only_active_channel_freeze::1,governance.surface,producer_governance_surface,trusted,complete,0.959,0.903,0.968,1.000,0.987,0.981,0.943,false,recovery_only,suppressed,governed_recovery,assurance_slice_trust_model::par_075_v1,hash::recovery_only_active_channel_freeze::1,2026-04-12T22:03:00Z,2026-04-12T23:00:00Z,2026-04-12T22:05:00Z
recovery_only_active_channel_freeze,governance-console,rf_governance_release,browser_web,rollback_recommended,slice::recovery_only_active_channel_freeze::2,governance.continuity,producer_governance_continuity,trusted,complete,0.948,0.889,0.958,1.000,0.975,0.979,0.932,false,recovery_only,suppressed,governed_recovery,assurance_slice_trust_model::par_075_v1,hash::recovery_only_active_channel_freeze::2,2026-04-12T22:03:00Z,2026-04-12T23:00:00Z,2026-04-12T22:05:00Z
blocked_missing_inputs,support-workspace,rf_support_queue,governance_console_bridge,monitoring,slice::blocked_missing_inputs::1,support-workspace.authority,producer_support_authority,unknown,blocked,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,blocked,suppressed,blocked,assurance_slice_trust_model::par_075_v1,hash::blocked_missing_inputs::1,2026-04-12T22:03:00Z,2026-04-12T23:00:00Z,2026-04-12T22:05:00Z
blocked_missing_inputs,support-workspace,rf_support_queue,governance_console_bridge,monitoring,slice::blocked_missing_inputs::2,support-workspace.continuity,producer_support_continuity,trusted,complete,0.942,0.886,0.955,1.000,0.976,0.971,0.929,false,blocked,suppressed,blocked,assurance_slice_trust_model::par_075_v1,hash::blocked_missing_inputs::2,2026-04-12T22:03:00Z,2026-04-12T23:00:00Z,2026-04-12T22:05:00Z
blocked_standards_watchlist_drift,clinical-workspace,rf_clinical_workspace,clinical_workspace_bridge,monitoring,slice::blocked_standards_watchlist_drift::1,clinical.surface,producer_clinical_surface,trusted,complete,0.958,0.905,0.966,1.000,0.984,0.980,0.944,false,blocked,suppressed,blocked,assurance_slice_trust_model::par_075_v1,hash::blocked_standards_watchlist_drift::1,2026-04-12T22:03:00Z,2026-04-12T23:00:00Z,2026-04-12T22:05:00Z
blocked_standards_watchlist_drift,clinical-workspace,rf_clinical_workspace,clinical_workspace_bridge,monitoring,slice::blocked_standards_watchlist_drift::2,clinical.continuity,producer_clinical_continuity,trusted,complete,0.949,0.887,0.959,1.000,0.977,0.973,0.935,false,blocked,suppressed,blocked,assurance_slice_trust_model::par_075_v1,hash::blocked_standards_watchlist_drift::2,2026-04-12T22:03:00Z,2026-04-12T23:00:00Z,2026-04-12T22:05:00Z
recovery_only_parity_or_provenance_drift,patient-web,rf_patient_messages,embedded_webview,monitoring,slice::recovery_only_parity_or_provenance_drift::1,patient.messages,producer_patient_messages,trusted,complete,0.956,0.901,0.965,1.000,0.983,0.979,0.941,false,recovery_only,suppressed,governed_recovery,assurance_slice_trust_model::par_075_v1,hash::recovery_only_parity_or_provenance_drift::1,2026-04-12T22:03:00Z,2026-04-12T23:00:00Z,2026-04-12T22:05:00Z
recovery_only_parity_or_provenance_drift,patient-web,rf_patient_messages,embedded_webview,monitoring,slice::recovery_only_parity_or_provenance_drift::2,patient.messages.continuity,producer_patient_messages_continuity,trusted,complete,0.947,0.885,0.957,1.000,0.975,0.971,0.934,false,recovery_only,suppressed,governed_recovery,assurance_slice_trust_model::par_075_v1,hash::recovery_only_parity_or_provenance_drift::2,2026-04-12T22:03:00Z,2026-04-12T23:00:00Z,2026-04-12T22:05:00Z
