artifact_schedule_id,artifact_name,artifact_family,workstream_id,trigger_class,schedule_class,cadence,baseline_scope,source_phase_refs,primary_owner_role,independent_signoff_roles,release_or_operational_gate,freshness_expectation,source_refs,notes
EV_CREATION_CLINICAL_RISK_PLAN,ClinicalRiskManagementPlan baseline,clinical_safety,WS_CLINICAL_MANUFACTURER,initial capability activation,creation_time,"Once per new clinical capability family, then supersede on formal restructuring.",baseline_required,phase_1_red_flag_gate,ROLE_MANUFACTURER_CSO,ROLE_SERVICE_OWNER,initial_capability_gate,Current for the active rule and evidence architecture.,phase-1-the-red-flag-gate.md#Safety engine and red-flag logic,Creation-time artifact; later deltas do not replace the baseline without supersession trace.
EV_CONT_HAZARD_LOG_DELTA,HazardLog delta packet,clinical_safety,WS_CLINICAL_MANUFACTURER,material clinical behavior change,continuous_operational,"On every material change to rules, identity, telephony, booking, hub, pharmacy, or assistive behavior.",baseline_required,phase_1_red_flag_gate; phase_2_identity_and_echoes; phase_8_assistive_layer,ROLE_MANUFACTURER_CSO,ROLE_DEPLOYMENT_CSO,release_candidate_safety_gate; incident_followup_gate,Must be current for the candidate or incident being reviewed.,"phase-1-the-red-flag-gate.md#Safety engine and red-flag logic; phase-8-the-assistive-layer.md#8H. Release administration, regulatory routing, and rollback readiness",Closes the corpus gap that treated safety evidence as final-stage activity.
EV_PRE_SAFETY_CASE_DELTA,SafetyCase delta packet,clinical_safety,WS_CLINICAL_MANUFACTURER,release candidate with changed clinical behavior,pre_release,Before any candidate that changes clinical behavior can move to release approval.,baseline_required,phase_1_red_flag_gate; phase_8_assistive_layer,ROLE_MANUFACTURER_CSO,ROLE_RELEASE_MANAGER,release_candidate_safety_gate,Candidate-bound and hash-stable.,"phase-1-the-red-flag-gate.md#5A. Hardening, metrics, and launch readiness; phase-8-the-assistive-layer.md#8H. Release administration, regulatory routing, and rollback readiness",Release cannot rely on a stale safety-case packet.
EV_PHASE_EXIT_DEPLOYMENT_SAFETY_PACK,Deployment safety and go-live pack,clinical_safety,WS_CLINICAL_DEPLOYMENT_USE,phase exit or new live rollout class,phase_exit,"At Phase 2 exit, at channel expansions, and before assistive visible rollout.",baseline_required,phase_2_identity_and_echoes; phase_7_inside_the_nhs_app; phase_8_assistive_layer,ROLE_DEPLOYMENT_CSO,ROLE_SERVICE_OWNER; ROLE_RELEASE_MANAGER,go_live_safety_gate,Current for the live rollout class in scope.,"phase-2-identity-and-echoes.md#2H. Hardening, safety evidence, and the formal Phase 2 exit gate",Separates deployment/use safety from manufacturer proof.
EV_CREATION_DPIA_BASELINE,DPIA baseline packet,privacy,WS_DATA_PROTECTION_PRIVACY,new personal-data processing capability,creation_time,"At first activation of a new identity, embedded, messaging, or assistive data-processing pattern.",baseline_required,phase_2_identity_and_echoes; phase_8_assistive_layer,ROLE_DPO,ROLE_SERVICE_OWNER,privacy_gate,Current for the active processing pattern.,phase-2-identity-and-echoes.md#High-priority trust gaps in this layer; phase-8-the-assistive-layer.md#Working scope,The baseline carries the first full data-flow and disclosure view.
EV_PRE_DPIA_DELTA,DPIA delta packet,privacy,WS_DATA_PROTECTION_PRIVACY,"identity, telemetry, embedded, or assistive change",pre_release,"Before any release that changes identity proof, messaging, embedded delivery, telemetry, or assistive subprocessor posture.",baseline_required,phase_2_identity_and_echoes; phase_7_inside_the_nhs_app; phase_8_assistive_layer,ROLE_DPO,ROLE_SECURITY_LEAD; ROLE_RELEASE_MANAGER,privacy_gate; partner_material_change_gate,Candidate-bound and specific to the changed flow.,phase-7-inside-the-nhs-app.md#NHS App channel priorities; phase-8-the-assistive-layer.md#Working scope,"DPIA reruns are explicit outputs of the change matrix, not optional if the team thinks risk is low."
EV_CONT_VENDOR_ASSURANCE,Vendor and subprocessor assurance freshness snapshot,security_assurance,WS_TECHNICAL_SECURITY_ASSURANCE,supplier or subprocessor drift,continuous_operational,Continuously monitored with release-time freshness checks for affected dependencies.,baseline_required,phase_8_assistive_layer; phase_9_assurance_ledger,ROLE_SECURITY_LEAD,ROLE_DPO; ROLE_RELEASE_MANAGER,security_gate; assistive_visible_rollout_gate,Fresh for every affected release candidate and active live slice.,"phase-8-the-assistive-layer.md#8H. Release administration, regulatory routing, and rollback readiness; phase-9-the-assurance-ledger.md#Working scope",Supplier freshness is explicitly part of the assistive and partner control model.
EV_PHASE_EXIT_INTEROP_PACK,Interoperability conformance packet,interoperability,WS_INTEROPERABILITY_EVIDENCE,phase capability exit or new external rail,phase_exit,"At phase exits that open new partner or adapter rails, then on material conformance drift.",baseline_required,phase_2_identity_and_echoes; phase_4_booking_engine; phase_6_pharmacy_loop,ROLE_INTEROPERABILITY_LEAD,ROLE_RELEASE_MANAGER,interop_gate,Current for the exact adapter and proof semantics in use.,phase-2-identity-and-echoes.md#Rule 5: keep IM1 out of the critical path for this phase,Makes partner and adapter proof explicit at phase boundaries.
EV_PRE_ACCESSIBILITY_AUDIT,Accessibility audit and semantic coverage pack,accessibility,WS_ACCESSIBILITY_CONTENT_SERVICE_STANDARD,"route, shell, or embedded behavior change",pre_release,"Before any release changing patient, embedded, or governance-facing routes that carry new semantics or recovery posture.",baseline_required,phase_1_red_flag_gate; phase_7_inside_the_nhs_app,ROLE_ACCESSIBILITY_CONTENT_LEAD,ROLE_SERVICE_OWNER,accessibility_gate,Current for each materially changed route family.,"phase-1-the-red-flag-gate.md#3B. The web experience, not a form dump; phase-7-inside-the-nhs-app.md#7G. Accessibility, service-standard, and mobile embedded UX hardening",Pairs formal audits with route-family semantic coverage proof.
EV_CONT_CONTENT_REVIEW,Content QA and service-standard review pack,accessibility,WS_ACCESSIBILITY_CONTENT_SERVICE_STANDARD,copy or patient guidance change,continuous_operational,"On every patient-facing copy, error, recovery, or channel-specific content delta.",baseline_required,phase_1_red_flag_gate; phase_7_inside_the_nhs_app,ROLE_ACCESSIBILITY_CONTENT_LEAD,ROLE_SERVICE_OWNER,content_and_service_gate,Current for the rendered copy and route inventory in scope.,"phase-1-the-red-flag-gate.md#3F. Submission, receipt, and graceful fallback; accessibility-and-content-system-contract.md#Content clarity and calm-task completion","Content changes are governed evidence, not informal copy edits."
EV_CREATION_RETENTION_SCHEDULE,Retention schedule and artifact class map,records_governance,WS_RECORDS_RETENTION_GOVERNANCE,new durable artifact family,creation_time,At creation of any new durable artifact family.,ongoing_bau,phase_9_assurance_ledger,ROLE_RECORDS_GOVERNANCE_LEAD,ROLE_DPO,new_artifact_class_gate,Current for all live artifact families.,phase-9-the-assurance-ledger.md#Overall Phase 9 algorithm,No durable artifact family is allowed to enter service without this map.
EV_PERIODIC_RETENTION_PACK,"Disposition, archive, and deletion governance pack",records_governance,WS_RECORDS_RETENTION_GOVERNANCE,periodic governance review,periodic_publication,Monthly governance pack with additional publication before major retention-rule changes.,ongoing_bau,phase_9_assurance_ledger,ROLE_RECORDS_GOVERNANCE_LEAD,ROLE_DPO; ROLE_SERVICE_OWNER,governance_pack_gate,Current for the latest completed period.,phase-9-the-assurance-ledger.md#Working scope,Periodic pack publication is separate from creation-time policy capture.
EV_CONT_INCIDENT_RECORD,"Incident, near-miss, and CAPA evidence chain",incident_governance,WS_INCIDENT_NEAR_MISS_REPORTABILITY,incident or near-miss occurrence,continuous_operational,"On every incident, near miss, and reportability assessment.",ongoing_bau,phase_9_assurance_ledger,ROLE_INCIDENT_MANAGER,ROLE_SERVICE_OWNER; ROLE_DPO,incident_command_gate,Immediate and current while incident handling remains open.,"phase-9-the-assurance-ledger.md#9G. Security operations, incident workflow, and just-culture reporting",Feeds both release holds and periodic assurance packs.
EV_PERIODIC_DRILL_RECORD,Training drill and reportability rehearsal record,incident_governance,WS_INCIDENT_NEAR_MISS_REPORTABILITY,scheduled operational rehearsal,periodic_publication,Quarterly drills or faster when incident debt or risk posture demands.,ongoing_bau,phase_9_assurance_ledger,ROLE_INCIDENT_MANAGER,ROLE_SERVICE_OWNER,operational_readiness_gate,Fresh enough for the active operational readiness tuple.,"phase-9-the-assurance-ledger.md#9G. Security operations, incident workflow, and just-culture reporting","The corpus expects drills and staff willingness to report, not only ticket logging."
EV_PRE_NHS_LOGIN_PACK,NHS login partner onboarding pack,partner_onboarding,WS_PARTNER_ONBOARDING_EVIDENCE,partner configuration or live onboarding movement,pre_release,"Before non-mock onboarding, redirect changes, or live partner expansion.",partner_specific,phase_2_identity_and_echoes,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_SECURITY_LEAD; ROLE_MANUFACTURER_CSO,partner_readiness_gate,"Current for the exact redirect inventory, scope set, and environment tuple.","phase-2-the-identity-and-echoes.md#2H. Hardening, safety evidence, and the formal Phase 2 exit gate",Partner onboarding evidence remains engineering-owned.
EV_PRE_IM1_RFC_PACK,IM1 pairing and material-change RFC bundle,partner_onboarding,WS_PARTNER_ONBOARDING_EVIDENCE,material product or AI change affecting IM1 posture,pre_release,Before any IM1-relevant material change reaches the paired product surface.,partner_specific,phase_8_assistive_layer,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_AI_GOVERNANCE_LEAD; ROLE_MANUFACTURER_CSO,partner_material_change_gate,Candidate-bound and materially current.,phase-8-the-assistive-layer.md#Working scope,The RFC bundle is only needed when the change class requires it; the trigger matrix makes that explicit.
EV_PHASE_EXIT_SCAL_BUNDLE,SCAL bundle and NHS App channel evidence pack,channel_onboarding,WS_NHS_APP_SCAL_CHANNEL,Phase 7 channel activation,phase_exit,"Only when Phase 7 becomes active, then before Sandpit, AOS, limited release, and full release transitions.",deferred_phase7,phase_7_inside_the_nhs_app,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_ACCESSIBILITY_CONTENT_LEAD; ROLE_DPO; ROLE_MANUFACTURER_CSO,phase7_scal_submission_gate,Current for the exact embedded manifest and release tuple.,"phase-7-inside-the-nhs-app.md#7H. Sandpit, AOS, SCAL, and operational delivery pipeline",Deferred workstream artifact; not a current baseline blocker.
EV_CREATION_ASSISTIVE_INTENDED_USE,Assistive intended-use and boundary baseline,assistive_governance,WS_ASSISTIVE_AI_GOVERNANCE,first assistive capability activation,creation_time,Once per capability family before shadow or visible rollout begins.,assistive_optional,phase_8_assistive_layer,ROLE_AI_GOVERNANCE_LEAD,ROLE_MANUFACTURER_CSO; ROLE_DPO,assistive_boundary_gate,Current for the declared capability family and intended-use wording.,"phase-8-the-assistive-layer.md#8A. Assistive capability contract, intended-use boundaries, and policy envelope",Freezes intended use before visible rollout.
EV_PRE_ASSISTIVE_RELEASE_CANDIDATE,Assistive release candidate and regulatory routing pack,assistive_governance,WS_ASSISTIVE_AI_GOVERNANCE,assistive material change or visible rollout step,pre_release,Before every visible rollout step and any material assistive change.,assistive_optional,phase_8_assistive_layer,ROLE_AI_GOVERNANCE_LEAD,ROLE_MANUFACTURER_CSO; ROLE_DPO; ROLE_RELEASE_MANAGER,assistive_visible_rollout_gate,"Candidate-bound and pinned to supplier, rollout, and rollback tuples.","phase-8-the-assistive-layer.md#8H. Release administration, regulatory routing, and rollback readiness","Bundles intended use, vendor freshness, RFC/SCAL routing, and rollback readiness together."
EV_CONT_ASSISTIVE_SUPPLIER_FRESHNESS,Assistive supplier assurance freshness snapshot,assistive_governance,WS_ASSISTIVE_AI_GOVERNANCE,vendor or subprocessor freshness drift,continuous_operational,Continuously monitored and checked before widening or resume.,assistive_optional,phase_8_assistive_layer,ROLE_AI_GOVERNANCE_LEAD,ROLE_SECURITY_LEAD; ROLE_DPO,assistive_trust_degradation_gate,Fresh enough for every live visible slice.,"phase-8-the-assistive-layer.md#8H. Release administration, regulatory routing, and rollback readiness",Supplier freshness is explicitly release-blocking when drifted or suspended.
EV_PRE_RELEASE_PARITY_RECORD,Release publication parity record,release_governance,WS_RELEASE_RUNTIME_PUBLICATION_PARITY,release candidate creation,pre_release,For every release candidate before canary or channel exposure.,baseline_required,phase_0_foundation; phase_9_assurance_ledger,ROLE_RELEASE_MANAGER,ROLE_SERVICE_OWNER,release_tuple_gate,Hash-stable and current for the candidate under review.,platform-runtime-and-release-blueprint.md#Release pipeline and watch tuple law,"Keeps runtime, route, contract, and continuity proof aligned."
EV_CONT_STANDARDS_WATCHLIST,Standards and dependency watchlist snapshot,release_governance,WS_RELEASE_RUNTIME_PUBLICATION_PARITY,standards refresh or dependency lifecycle drift,continuous_operational,Continuously regenerated when standards or dependency posture changes.,baseline_required,phase_9_assurance_ledger,ROLE_RELEASE_MANAGER,ROLE_SECURITY_LEAD,watchlist_clean_gate,Current for every active candidate and live watch tuple.,phase-9-the-assurance-ledger.md#Phase 9 implementation rules; platform-admin-and-config-blueprint.md#StandardsDependencyWatchlist,Carries March 2026 DTAC refresh and 2 March 2026 legacy-doc retirement context.
EV_PRE_RECOVERY_PACK,Recovery evidence and readiness pack,resilience,WS_OPERATIONAL_RESILIENCE_RESTORE,pre-release readiness review,pre_release,"Before canary, before widening on materially changed tuples, and before live recovery activation on changed domains.",baseline_required,phase_9_assurance_ledger,ROLE_RELEASE_MANAGER,ROLE_SERVICE_OWNER; ROLE_SECURITY_LEAD,pre_canary_readiness_gate; widen_resume_gate,Fresh for the exact runtime publication and watch tuple in scope.,phase-9-the-assurance-ledger.md#Overall Phase 9 algorithm; platform-runtime-and-release-blueprint.md#Operational readiness and resilience,"This is required baseline evidence, not a future ops nice-to-have."
EV_PERIODIC_ASSURANCE_PACK,Monthly assurance pack,assurance_publication,WS_RELEASE_RUNTIME_PUBLICATION_PARITY,period close,periodic_publication,"Monthly, with additional on-demand packs after major incidents or regulatory changes.",baseline_required,phase_9_assurance_ledger,ROLE_RELEASE_MANAGER,ROLE_SERVICE_OWNER; ROLE_DPO; ROLE_MANUFACTURER_CSO,governance_pack_gate,Current for the closed period and linked to the current evidence graph snapshot.,phase-9-the-assurance-ledger.md#Working scope,Periodic publication is distinct from continuous evidence generation.
