criterion_id,criterion_label,criterion_class,mock_now_status,actual_later_status,linked_field_ids,linked_artifact_ids,source_refs,notes
crit_patient_population_england,Serves patients registered with GP or secondary care services in England,official_eligibility,evidenced,review_required,q06_gp_patients_in_england;q07_secondary_care_patients;q08_user_population,art_journey_inventory;art_solution_design,official_nhs_app_web_integration;official_nhs_app_eoi_questions,"Product scope supports England patient populations, but real commissioning detail stays later-gated."
crit_patient_facing_personalised,"Provides a patient-facing personalised service, not generic health information",official_eligibility,evidenced,evidenced,q03_product_overview;q13_service_categories,art_journey_inventory,official_nhs_app_web_integration;official_nhs_app_eoi_questions,The route inventory is patient-personalised and same-portal.
crit_free_at_point_of_delivery,Free to patient at point of delivery,official_eligibility,evidenced,review_required,q11_free_at_point_of_delivery,art_eoi_dossier,official_nhs_app_web_integration;official_nhs_app_eoi_questions,"Modelled as yes, but real commercial or local charging evidence remains outside the repo."
crit_commissioned_in_england,Commissioned by NHS body or local authority in England,official_eligibility,gap_captured,blocked,q14_commissioned_by_nhs_body;q15_commissioning_detail,art_eligibility_evidence_pack,official_nhs_app_web_integration;official_nhs_app_eoi_questions,Current pack keeps commissioner posture explicit instead of inventing it.
crit_procurement_framework_alignment,Aligned to at least one recognised procurement framework,official_eligibility,gap_captured,review_required,q16_procurement_frameworks;q17_framework_application_detail,art_eligibility_evidence_pack,official_nhs_app_web_integration;official_nhs_app_eoi_questions,"Framework status is modelled as dossier evidence, not assumed."
crit_nhs_login_enabled_or_approved,Integrated with NHS login or approved for NHS login integration,official_eligibility,evidenced,review_required,q18_nhs_login_posture;q19_nhs_login_client_id,art_nhs_login_dependency_summary,official_nhs_app_web_integration;official_nhs_app_eoi_questions;docs/external/24_nhs_login_actual_onboarding_strategy.md,"Seq_024/025 created the prerequisite strategy, but real live approval remains gated."
crit_standards_commitment,Can meet NHS App standards and requirements,official_eligibility,evidenced,review_required,q35_standards_commitment,art_accessibility_audit;art_clinical_safety_bundle;art_privacy_and_service_standard,official_nhs_app_web_integration;official_nhs_app_standards;official_nhs_app_eoi_questions,The commitment is modelled now; fresh signed evidence remains later.
crit_public_service_desk,Public-facing service desk exists,official_eligibility,gap_captured,review_required,q12_public_service_desk,art_service_support_pack,official_nhs_app_eoi_questions;official_nhs_app_web_integration,"The operating model is modelled, but public-facing evidence remains a live-gate concern."
crit_demo_environment,Demo environment available to NHS App team,official_eligibility,evidenced,review_required,q21_demo_environment_available;int06_demo_environment_url,art_demo_environment_brief,official_nhs_app_eoi_questions;official_nhs_app_web_integration,Mock environment exists now; real-accessible environment remains later-gated.
crit_recent_user_research,Recent user research,official_eligibility,gap_captured,review_required,q22_user_research_recent,art_research_pack,official_nhs_app_eoi_questions,Placeholder kept visible rather than silently omitted.
crit_recent_accessibility_audit,Recent WCAG accessibility audit,official_eligibility,gap_captured,review_required,q23_accessibility_audit_recent;q24_accessibility_outcome,art_accessibility_audit,official_nhs_app_eoi_questions;official_nhs_app_standards,"The pack plans the audit and evidence lane, but does not fabricate an audit outcome."
crit_dedicated_design_resource,Dedicated design resource during integration,official_eligibility,gap_captured,review_required,q35_standards_commitment,art_design_capacity_plan,official_nhs_app_eoi_questions,Explicitly recorded as a requirement in the live gate.
crit_dedicated_development_resource,Dedicated development team during integration,official_eligibility,gap_captured,review_required,q35_standards_commitment,art_delivery_capacity_plan,official_nhs_app_eoi_questions,Explicitly recorded as a requirement in the live gate.
crit_one_portal_two_shells,"One portal, two shells, zero forks",blueprint_law,evidenced,pass,int01_solution_design_doc;int02_embedded_route_manifest_hash,art_solution_design;art_route_manifest,"blueprint/phase-7-inside-the-nhs-app.md#Rule 1: one portal, two shells, zero forks.;docs/architecture/03_deferred_and_conditional_scope.md",This closes the separate-product gap.
crit_deferred_scope_boundary,Deferred NHS App channel does not become current-baseline scope,blueprint_law,evidenced,blocked_until_scope_window,q27_primary_channel;int09_limited_release_target,art_scope_boundary_guard,docs/architecture/03_deferred_and_conditional_scope.md;docs/external/21_integration_priority_and_execution_matrix.md,The rehearsal studio is explicitly future-channel preparation only.
crit_embedded_route_parity,Embedded preview stays on the same route families as standalone web,blueprint_law,evidenced,pass,int02_embedded_route_manifest_hash;int05_secure_return_contract,art_route_manifest;art_embedded_preview_board,"blueprint/phase-7-inside-the-nhs-app.md#7A. Journey inventory, integration manifest, and onboarding pack;docs/architecture/04_audience_surface_inventory.md",The preview routes are tied to canonical route families and return contracts.
crit_webview_safe_artifact_behaviour,Embedded artifact and error behaviour stays webview-safe,blueprint_law,evidenced,pass,int03_bridge_capability_matrix;int05_secure_return_contract,art_embedded_preview_board;art_incident_rehearsal_pack,"official_web_integration_guidance;official_js_api_v2;blueprint/phase-7-inside-the-nhs-app.md#7F. Webview limitations, file handling, and resilient error UX",Print is never assumed and file download is gated to byte-safe delivery.
