redaction_policy_ref,family_name,applies_to,materialization_rule,post_delivery_widening,preview_rule,detail_rule,artifact_rule,telemetry_rule,log_rule,replay_export_rule,wrong_patient_rule,embedded_channel_rule,notes,source_refs
POL_PUBLIC_SAFE_PLACEHOLDER,Public-safe placeholder and recovery policy,patient_public; public_status; secure_link_recovery,allowlisted_only,forbidden,"Previews expose only neutral labels, status buckets, governed placeholders, and recovery-safe next steps.",Detail payloads are summary-only or omitted until a higher-trust row is re-materialized.,Artifacts are awareness-only or summary-only; no raw body or browser handoff by default.,"Emit route family, shell state, summary safety tier, and placeholder reason only.","Logs keep refs, hashes, and reason codes only.",Replay and export stay masked or blocked outside investigation scope.,Suppress cached PHI and demote the shell to placeholder or recovery-only posture.,"When embedded, stay summary-first and preserve no-store posture.",Closes the gaps that treated UI collapse or route-local trimming as privacy controls.,phase-0-the-foundation-protocol.md#1.17 VisibilityProjectionPolicy; patient-account-and-communications-blueprint.md#Patient audience coverage contract; forensic-audit-findings.md#Finding 88 - The audit omitted governed placeholder rules for partial visibility
POL_GRANT_RECOVERY_BOUNDARY,Grant-scoped recovery boundary policy,patient_grant_scoped; secure_link_recovery,allowlisted_only,forbidden,"Recovery routes may show only the selected lineage summary, current blockage, and next safe step.","No thread body, record body, or artifact body until the active grant and route intent re-prove scope.",Artifacts stay summary-only or placeholder-only until route checks and step-up complete.,"Use masked grant family, route family, fence state, and recovery reason only.","Use grant refs, hash refs, and redemption state only.",Support replay or export cannot widen beyond the active grant-scoped selected anchor.,"If subject drift or wrong-patient suspicion appears, drop to recovery-only and invalidate cached seeded detail.",Embedded recovery may request safe browser handoff but never widen in place.,Binds secure-link recovery to recovery redaction fences and current grant scope.,patient-account-and-communications-blueprint.md#Patient audience coverage contract; phase-2-the-identity-and-echoes.md; platform-frontend-blueprint.md#RecoveryRedactionFence
POL_PATIENT_AUTH_SUMMARY,Authenticated patient summary and detail policy,patient_authenticated; authenticated_self_service,allowlisted_only,forbidden,"List rows, home cards, and message snippets stay preview-bound and may not inherit destination detail payloads.",Detail routes may show bounded or full detail only from the policy-compiled row for the active audience and purpose.,"Artifacts remain separate from preview and detail and may degrade to summary, inline, or governed handoff independently.","Emit class codes, route families, hash refs, and settled posture only.","Logs keep refs, parity digests, and placeholder or fence reason codes only.",Patient-facing replay is never ordinary route detail; investigation and export use distinct governed rows.,Wrong-patient hold suppresses cached PHI replay and preserves only summary-safe breadcrumbs.,"When rendered inside embedded mode, recalculate against embedded-authenticated coverage before widening any CTA or artifact mode.",Closes the preview/detail shared-payload gap for authenticated patient surfaces.,phase-0-the-foundation-protocol.md#1.17B PreviewVisibilityContract; patient-account-and-communications-blueprint.md#Requests browsing contract; forensic-audit-findings.md#Finding 97 - The audit still let patient-home actionability float above authoritative settlement; forensic-audit-findings.md#Finding 99 - Conversation state could still collapse local acknowledgement into final reassurance
POL_PATIENT_ARTIFACT_GOVERNED,Patient artifact presentation policy,patient_authenticated; authenticated_self_service; artifact,allowlisted_only,forbidden,"Artifact rows disclose only title class, freshness, and parity-safe summary until the mode-specific contract allows more.","Record or appointment detail stays subordinate to artifact parity, visibility, and source-authority state.","Structured summary is the default; inline preview, download, print, and handoff each require separate contract proof.","Telemetry records artifact mode, parity state, transfer outcome class, and disclosure class only.","Logs keep artifact refs, grant refs, hashes, and fallback reasons only.",Investigation and export use the same parity and redaction transforms as the active evidence graph.,Identity hold demotes artifacts to summary or placeholder; no stale body replay.,"Embedded channels may degrade to summary, secure-send-later, or bounded handoff rather than raw download.",Separates artifact posture from preview and detail posture.,"platform-frontend-blueprint.md#ArtifactPresentationContract; patient-account-and-communications-blueprint.md#Request detail contract; forensic-audit-findings.md#Finding 101 - Same-shell confirmation still understated settlement, return, and continuation posture"
POL_EMBEDDED_ARTIFACT_CHANNEL,Embedded channel artifact and URL scrub policy,patient_embedded_authenticated; embedded_authenticated,allowlisted_only,forbidden,Embedded previews remain summary-first and must survive narrow-host capability loss.,Embedded detail may not hydrate unsupported or stale body content just because standalone mode could show it.,"No raw PHI-bearing URLs, no conventional download dependence, and no print-first flow; use governed inline, summary, or scrubbed handoff.",Bridge and embedded telemetry stay PHI-safe and route-contract-bound.,"No asserted identity payloads, raw JWT handoff values, or host-only secrets in logs.","Embedded replay and export pivot to investigation scope or safe browser handoff, not widened inline scope.",Wrong-patient or session drift invalidates embedded cache and forces placeholder or recovery-only posture.,"Immediate URL scrubbing, no-store, no-referrer, and destination allowlists are mandatory.","Closes the gaps around embedded PHI-bearing URLs, download assumptions, and stale cached artifact exposure.",phase-7-inside-the-nhs-app.md; platform-frontend-blueprint.md#ArtifactPresentationContract; forensic-audit-findings.md#Finding 90 - The audit still omitted the hardened NHS App embedded-channel control plane
POL_WORKSPACE_MINIMUM_NECESSARY,Operational workspace minimum-necessary policy,origin_practice_clinical; origin_practice_operations; hub_desk; servicing_site; assistive_adjunct,allowlisted_only,forbidden,Queue rows and chips show only the minimum clinically or operationally necessary context for the current task.,"Workspace detail remains bounded by assigned task scope, audience coverage, and acting context; unrelated identity proof and secrets remain excluded.",Artifacts may show inline or handoff posture only when the governing artifact contract allows the same audience and task scope.,"Workspace telemetry uses task refs, lineage refs, stage classes, and trust or freeze posture only.","Logs keep refs, hashes, and command or lease state only.",Workspace replay or export pivots to support or governance envelopes rather than widening ordinary task payloads.,"If wrong-patient or repair freeze becomes active, keep summary provenance but suppress writable or body detail.",Assistive sidecars inherit owning-shell scope and never widen beyond it.,"Keeps workspace, hub, and pharmacy detail separate from support or governance investigation detail.",phase-0-the-foundation-protocol.md#1.17C MinimumNecessaryContract; staff-operations-and-support-blueprint.md; forensic-audit-findings.md#Finding 47 - Cross-organisation and support visibility boundaries were under-specified
POL_SUPPORT_MASKED_REPLAY,Support masked replay and restore policy,support; support_recovery,allowlisted_only,forbidden,Support timeline previews keep chronology and actor class but mask body content and held-draft detail.,Observe and replay views stay masked and selected-anchor-bound until restore settlement re-proves live scope.,Support presentation artifacts remain summary-first or masked-inline; export and external handoff are separately governed.,"Support telemetry records checkpoint hash, mask scope class, restore posture, and route-intent validity only.","Logs keep checkpoint refs, scope refs, settlement refs, and mask classes only.","Replay, diff, and export must share the same InvestigationScopeEnvelope, timeline, and masking ceiling.",Any identity-repair signal or scope drift keeps the replay shell read-only and invalidates cached body detail.,Not applicable for support surfaces; ordinary support is never an embedded patient artifact channel.,Closes the support replay drift and restore-gate gaps.,"phase-9-the-assurance-ledger.md#9C. Audit explorer, break-glass review, and support replay; staff-operations-and-support-blueprint.md#3. Complex investigation and replay; forensic-audit-findings.md#Finding 100 - Support replay and observe return still had no authoritative restore gate"
POL_OPS_AGGREGATE_DISCLOSURE,Operations aggregate and drilldown disclosure policy,operations_control; operational_control,allowlisted_only,forbidden,"Boards default to aggregated, slice-bound, or masked diagnostic cues rather than subject payloads.",Drilldown may show bounded-detail only when the route purpose and acting context remain exact.,Exports and readiness artifacts are governance artifacts with their own artifact contracts.,"Use counts, slice ids, queue ids, trust states, and severity bands only.","Use incident refs, slice refs, and evidence hashes only.",Operator replay or export still binds InvestigationScopeEnvelope when subject detail appears.,Identity-repair and subject-scope drift demote subject-bearing drilldown to masked or blocked posture.,Not applicable.,Operations boards stay diagnostically rich without treating internal telemetry as free PHI.,phase-9-the-assurance-ledger.md; forensic-audit-findings.md#Finding 96 - The audit still under-specified operations-console trust and guardrail posture
POL_TELEMETRY_PHI_SAFE,PHI-safe telemetry policy,telemetry; ui_event; browser; embedded; ops,allowlisted_only,forbidden,Not applicable.,Not applicable.,Not applicable.,"Only hashes, ids, route family codes, anchor change classes, disclosure classes, and causal tokens are allowed.","Raw claims, phone numbers, JWTs, secrets, message bodies, and artifact payloads are forbidden.",Telemetry traces may participate in replay only through masked or hash-bound evidence chains.,Wrong-patient hold converts telemetry to repair-safe reason classes only.,Embedded telemetry must scrub asserted identity and destination hints immediately.,Makes telemetry redaction a platform rule rather than a component convention.,phase-2-the-identity-and-echoes.md; platform-frontend-blueprint.md#UIEventVisibilityProfile; platform-frontend-blueprint.md#UITelemetryDisclosureFence
POL_LOG_REFERENCE_ONLY,Reference-only structured logging policy,logs; runtime; workers,allowlisted_only,forbidden,Not applicable.,Not applicable.,Not applicable.,Not applicable.,"Structured logs are limited to refs, hashes, posture, and error classes; payload fragments and raw identifiers are forbidden.","Exports use audit or assurance artifacts, not raw application logs.","Hold, freeze, and repair classes replace any subject-linked content in logs.",Embedded handoff values and host hints stay out of logs.,Separates diagnostic logging from audit or export evidence.,phase-2-the-identity-and-echoes.md; phase-9-the-assurance-ledger.md
