journeyPathId,routePattern,sourcePhase,journeyType,classification,embeddedReadinessState,jumpOffEligible,manifestVisibility,continuityControlCode,intakeConvergenceContractRef,artifactPresentationContractRef,outboundNavigationPolicyRef,routeFreezeDispositionRef,gapClosureRefs
jp_start_medical_request,/requests/new?type=medical,phase_1,medical_request_intake,safe_for_nhs_app_now,candidate_ready_contract_frozen,true,allowed,intake_resume,IntakeConvergenceContract:phase1-browser-and-nhsapp-shared-v1,ArtifactPresentationContract:summary-first-nhs-app-v1,OutboundNavigationPolicy:nhs-app-governed-handoff-v1,RouteFreezeDisposition:nhs-app-freeze-in-place-v1,route_exists_is_not_eligibility;embedded_intake_binds_same_intake_convergence_contract
jp_start_admin_request,/requests/new?type=admin,phase_1,admin_request_intake,safe_for_nhs_app_now,candidate_ready_contract_frozen,true,allowed,intake_resume,IntakeConvergenceContract:phase1-browser-and-nhsapp-shared-v1,ArtifactPresentationContract:summary-first-nhs-app-v1,OutboundNavigationPolicy:nhs-app-governed-handoff-v1,RouteFreezeDisposition:nhs-app-freeze-in-place-v1,route_exists_is_not_eligibility;embedded_intake_binds_same_intake_convergence_contract
jp_continue_draft,/requests/drafts/:draftId,phase_1,draft_resume,safe_for_nhs_app_now,candidate_ready_contract_frozen,false,allowed,intake_resume,IntakeConvergenceContract:phase1-browser-and-nhsapp-shared-v1,ArtifactPresentationContract:summary-first-nhs-app-v1,OutboundNavigationPolicy:nhs-app-governed-handoff-v1,RouteFreezeDisposition:nhs-app-freeze-in-place-v1,continuity_evidence_required_at_promotion;embedded_intake_binds_same_intake_convergence_contract
jp_request_status,/requests/:requestId/status,phase_1,request_status,safe_for_nhs_app_now,candidate_ready_contract_frozen,true,allowed,patient_nav,IntakeConvergenceContract:not_applicable_status_projection,ArtifactPresentationContract:summary-first-nhs-app-v1,OutboundNavigationPolicy:nhs-app-governed-handoff-v1,RouteFreezeDisposition:nhs-app-freeze-in-place-v1,partial_visibility_included_in_manifest
jp_respond_more_info,/requests/:requestId/more-info/:checkpointId,phase_3,more_info_response,safe_for_nhs_app_now,candidate_ready_contract_frozen,false,allowed,more_info_reply,IntakeConvergenceContract:not_applicable_more_info_reply,ArtifactPresentationContract:summary-first-nhs-app-v1,OutboundNavigationPolicy:nhs-app-governed-handoff-v1,RouteFreezeDisposition:nhs-app-freeze-in-place-v1,continuity_evidence_required_at_promotion
jp_manage_local_appointment,/appointments/:appointmentId/manage,phase_4,appointment_manage,safe_for_nhs_app_now,candidate_ready_contract_frozen,true,allowed,booking_manage,IntakeConvergenceContract:not_applicable_booking_manage,ArtifactPresentationContract:summary-first-nhs-app-v1,OutboundNavigationPolicy:nhs-app-governed-handoff-v1,RouteFreezeDisposition:nhs-app-freeze-in-place-v1,continuity_evidence_required_at_promotion
jp_pharmacy_choice,/requests/:requestId/pharmacy/choice,phase_6,pharmacy_choice,safe_for_nhs_app_now,candidate_ready_contract_frozen,true,allowed,pharmacy_console_settlement,IntakeConvergenceContract:not_applicable_pharmacy_choice,ArtifactPresentationContract:summary-first-nhs-app-v1,OutboundNavigationPolicy:nhs-app-governed-handoff-v1,RouteFreezeDisposition:nhs-app-freeze-in-place-v1,partial_visibility_included_in_manifest
jp_pharmacy_status,/requests/:requestId/pharmacy/status,phase_6,pharmacy_status,safe_for_nhs_app_now,candidate_ready_contract_frozen,true,allowed,pharmacy_console_settlement,IntakeConvergenceContract:not_applicable_pharmacy_status,ArtifactPresentationContract:summary-first-nhs-app-v1,OutboundNavigationPolicy:nhs-app-governed-handoff-v1,RouteFreezeDisposition:nhs-app-freeze-in-place-v1,continuity_evidence_required_at_promotion
jp_waitlist_offer_response,/appointments/waitlist/:offerId/respond,phase_4,waitlist_offer_response,needs_embedded_adaptation_first,requires_deadline_and_native_back_adaptation,false,inventory_only,booking_manage,IntakeConvergenceContract:not_applicable_waitlist,ArtifactPresentationContract:summary-first-nhs-app-v1,OutboundNavigationPolicy:nhs-app-governed-handoff-v1,RouteFreezeDisposition:nhs-app-freeze-in-place-v1,route_exists_is_not_eligibility
jp_hub_alternative_offer,/appointments/hub-offers/:offerId,phase_4,hub_alternative_offer,needs_embedded_adaptation_first,requires_cross_org_scope_and_return_anchor_adaptation,false,inventory_only,hub_booking_manage,IntakeConvergenceContract:not_applicable_hub_offer,ArtifactPresentationContract:summary-first-nhs-app-v1,OutboundNavigationPolicy:nhs-app-governed-handoff-v1,RouteFreezeDisposition:nhs-app-freeze-in-place-v1,route_exists_is_not_eligibility
