compatibility_row_id,environment_compatibility_ref,environment_ring,release_ref,dimension_code,dimension_label,compatibility_state,raw_publication_state,raw_parity_state,subject_ref,subject_label,environment_baseline_fingerprint_ref,runtime_publication_bundle_ref,release_publication_parity_ref,evidence_refs,blocker_refs,recovery_obligation_refs,notes
ECM_131_LOCAL_RUNTIME_PUBLICATION_AND_PARITY,ECE_131_LOCAL,local,RC_LOCAL_V1,runtime_publication_and_parity,Runtime publication and parity,exact,published,exact,rpb::local::authoritative,Local,EBF_LOCAL_V1,rpb::local::authoritative,rpp::local::authoritative,data/analysis/runtime_publication_bundles.json;data/analysis/release_publication_parity_records.json,,RDS_LOCAL_V1,"Published runtime truth stays exact only while parity, publication, and provenance consumption stay aligned."
ECM_131_LOCAL_RUNTIME_TOPOLOGY,ECE_131_LOCAL,local,RC_LOCAL_V1,runtime_topology,Runtime topology,exact,published,exact,d72ab3af8a8923a4,9 workload families,EBF_LOCAL_V1,rpb::local::authoritative,rpp::local::authoritative,data/analysis/runtime_topology_manifest.json;data/analysis/environment_ring_policy.json,,RDS_LOCAL_V1,EnvironmentBaselineFingerprint alignment is mandatory before a ring can claim it still matches the approved runtime shape.
ECM_131_LOCAL_WORKLOAD_FAMILIES,ECE_131_LOCAL,local,RC_LOCAL_V1,workload_families,Workload families,exact,published,exact,wf_public_edge_ingress;wf_shell_delivery_static_publication;wf_shell_delivery_published_gateway;wf_command_orchestration;wf_projection_read_models;wf_integration_dispatch;wf_integration_simulation_lab;wf_data_stateful_plane;wf_assurance_security_control,9 workload families,EBF_LOCAL_V1,rpb::local::authoritative,rpp::local::authoritative,data/analysis/runtime_topology_manifest.json;data/analysis/environment_ring_policy.json,,RDS_LOCAL_V1,Every ring must preserve the same declared workload-family estate and service-identity map.
ECM_131_LOCAL_TRUST_ZONE_BOUNDARIES,ECE_131_LOCAL,local,RC_LOCAL_V1,trust_zone_boundaries,Trust-zone boundaries,exact,published,exact,tzb_application_core_to_assurance_security;tzb_application_core_to_integration_perimeter;tzb_application_core_to_stateful_data;tzb_assurance_security_to_stateful_data;tzb_integration_perimeter_to_assurance_security;tzb_integration_perimeter_to_stateful_data;tzb_public_edge_to_published_gateway;tzb_public_edge_to_shell_delivery;tzb_published_gateway_to_application_core;tzb_published_gateway_to_assurance_security,10 trust boundaries,EBF_LOCAL_V1,rpb::local::authoritative,rpp::local::authoritative,data/analysis/runtime_topology_manifest.json;data/analysis/region_resilience_matrix.json,,RDS_LOCAL_V1,Ring equivalence is invalid if the trust-zone and boundary inventory drifts.
ECM_131_LOCAL_GATEWAY_SURFACES,ECE_131_LOCAL,local,RC_LOCAL_V1,gateway_surfaces,Gateway surfaces,partial,published,exact,gws_patient_intake_web;gws_patient_intake_phone;gws_patient_secure_link_recovery;gws_patient_home;gws_patient_requests;gws_patient_appointments;gws_patient_health_record;gws_patient_messages;gws_patient_embedded_shell;gws_clinician_workspace;gws_clinician_workspace_child;gws_practice_ops_workspace;gws_hub_queue;gws_hub_case_management;gws_pharmacy_console;gws_support_ticket_workspace;gws_support_replay_observe;gws_support_assisted_capture;gws_operations_board;gws_operations_drilldown;gws_governance_shell;gws_assistive_sidecar,22 gateway surfaces,EBF_LOCAL_V1,rpb::local::authoritative,rpp::local::authoritative,data/analysis/surface_authority_verdicts.json;data/analysis/release_publication_parity_records.json,FZB_131_LOCAL_GATEWAY_SURFACES,RDS_LOCAL_V1,"The local ring keeps one exact tuple but current gateway-backed surfaces remain bounded by design lint, accessibility, and browser posture ceilings."
ECM_131_LOCAL_CHANNEL_BRIDGE_CAPABILITIES,ECE_131_LOCAL,local,RC_LOCAL_V1,channel_bridge_capabilities,Channel and bridge assumptions,exact,published,exact,MBCS_LOCAL_V1,CMS_LOCAL_V1,EBF_LOCAL_V1,rpb::local::authoritative,rpp::local::authoritative,data/analysis/runtime_topology_manifest.json;data/analysis/runtime_publication_bundles.json,,RDS_LOCAL_V1,"Channel manifests and minimum bridge floors are part of the environment baseline, not optional sidecars."
ECM_131_LOCAL_MIGRATION_BACKFILL_POSTURE,ECE_131_LOCAL,local,RC_LOCAL_V1,migration_backfill_posture,Migration and backfill posture,exact,published,exact,SMP_LOCAL_V1,PBP_LOCAL_V1,EBF_LOCAL_V1,rpb::local::authoritative,rpp::local::authoritative,data/analysis/migration_backfill_control_catalog.json;data/analysis/release_publication_parity_records.json,,RDS_LOCAL_V1,"The local seeded tuple proves expand-migrate-contract, dual-read comparison, and contractive cutover without blocking patient request routes."
ECM_131_LOCAL_OBSERVABILITY_RESTORE_POSTURE,ECE_131_LOCAL,local,RC_LOCAL_V1,observability_restore_posture,Observability and restore posture,exact,published,exact,LOCAL_VERIFIED_BASELINE,ORS_101_LOCAL_EXACT_AND_READY,EBF_LOCAL_V1,rpb::local::authoritative,rpp::local::authoritative,data/analysis/build_provenance_integrity_catalog.json;data/analysis/release_watch_pipeline_catalog.json;data/analysis/resilience_baseline_catalog.json,,RDS_LOCAL_V1,Release-watch probes and restore evidence are both satisfied for the selected ring.
ECM_131_CI_PREVIEW_RUNTIME_PUBLICATION_AND_PARITY,ECE_131_CI_PREVIEW,ci-preview,RC_CI_PREVIEW_V1,runtime_publication_and_parity,Runtime publication and parity,stale,stale,stale,rpb::ci-preview::authoritative,CI Preview,EBF_CI_PREVIEW_V1,rpb::ci-preview::authoritative,rpp::ci-preview::authoritative,data/analysis/runtime_publication_bundles.json;data/analysis/release_publication_parity_records.json,FZB_131_CI_PREVIEW_RUNTIME_PUBLICATION_AND_PARITY,RDS_CI_PREVIEW_V1,"Published runtime truth stays exact only while parity, publication, and provenance consumption stay aligned."
ECM_131_CI_PREVIEW_RUNTIME_TOPOLOGY,ECE_131_CI_PREVIEW,ci-preview,RC_CI_PREVIEW_V1,runtime_topology,Runtime topology,exact,stale,stale,57e2b872eedab4e4,9 workload families,EBF_CI_PREVIEW_V1,rpb::ci-preview::authoritative,rpp::ci-preview::authoritative,data/analysis/runtime_topology_manifest.json;data/analysis/environment_ring_policy.json,,RDS_CI_PREVIEW_V1,EnvironmentBaselineFingerprint alignment is mandatory before a ring can claim it still matches the approved runtime shape.
