path_id,allowlist_decision,route_family_ref,path_pattern,patient_visible_purpose,embedded_safe,requires_outbound_navigation_grant,requires_authenticated_session,allows_secure_link_entry,allows_from_nhs_app_query_marker,placeholder_in_mock,real_registration_gate_refs,notes
sl_start_request,approved,rf_intake_self_service,/start-request,Start a new request in the same portal without inventing a second NHS App-only intake flow.,yes,no,no,no,yes,yes,"[""LIVE_GATE_PHASE7_SCOPE_WINDOW"", ""LIVE_GATE_ENVIRONMENT_VALUES_SUPPLIED"", ""LIVE_GATE_PATH_ALLOWLIST_APPROVED""]",Derived stable entry path for the rehearsal studio; no patient-specific data belongs in the URL.
sl_secure_recovery,approved,rf_patient_secure_link_recovery,/recovery/:recoveryToken,Resume a specific lineage from a secure continuation link while preserving same-shell recovery.,conditional,no,no,yes,yes,yes,"[""LIVE_GATE_PHASE7_SCOPE_WINDOW"", ""LIVE_GATE_ENVIRONMENT_VALUES_SUPPLIED"", ""LIVE_GATE_PATH_ALLOWLIST_APPROVED"", ""LIVE_GATE_CONTINUITY_EVIDENCE_CURRENT""]","The token is a grant envelope and must not be logged, copied into analytics, or treated as route truth on its own."
sl_requests_index,approved,rf_patient_requests,/requests,Open the patient’s request list with bounded summary and same-shell request continuity.,yes,no,yes,no,yes,yes,"[""LIVE_GATE_PHASE7_SCOPE_WINDOW"", ""LIVE_GATE_ENVIRONMENT_VALUES_SUPPLIED"", ""LIVE_GATE_PATH_ALLOWLIST_APPROVED"", ""LIVE_GATE_CONTINUITY_EVIDENCE_CURRENT""]","This is a safe summary path, not a detached action URL."
sl_request_detail,approved,rf_patient_requests,/requests/:requestId,Open one request detail route after auth or governed recovery.,yes,no,yes,no,yes,yes,"[""LIVE_GATE_PHASE7_SCOPE_WINDOW"", ""LIVE_GATE_ENVIRONMENT_VALUES_SUPPLIED"", ""LIVE_GATE_PATH_ALLOWLIST_APPROVED"", ""LIVE_GATE_CONTINUITY_EVIDENCE_CURRENT""]",Raw request identifiers remain placeholders in the mock and must never carry PHI-bearing query fragments.
sl_request_conversation,conditional,rf_patient_requests,/requests/:requestId/conversation,Resume more-info or request conversation work inside the owning request shell.,conditional,no,yes,no,yes,yes,"[""LIVE_GATE_PHASE7_SCOPE_WINDOW"", ""LIVE_GATE_ENVIRONMENT_VALUES_SUPPLIED"", ""LIVE_GATE_PATH_ALLOWLIST_APPROVED"", ""LIVE_GATE_CONTINUITY_EVIDENCE_CURRENT""]","The site link may land on the owning request shell, but live reply posture still depends on the current cycle-specific projection."
sl_appointments_index,approved,rf_patient_appointments,/appointments,Open the appointment list with same-shell continuity and no detached booking fork.,yes,no,yes,no,yes,yes,"[""LIVE_GATE_PHASE7_SCOPE_WINDOW"", ""LIVE_GATE_ENVIRONMENT_VALUES_SUPPLIED"", ""LIVE_GATE_PATH_ALLOWLIST_APPROVED"", ""LIVE_GATE_CONTINUITY_EVIDENCE_CURRENT""]",This is the calm summary path for booking and manage work.
sl_appointment_manage,approved,rf_patient_appointments,/appointments/:appointmentId/manage,"Resume appointment manage, reminder, or calendar actions within the same appointment shell.",conditional,yes,yes,no,yes,yes,"[""LIVE_GATE_PHASE7_SCOPE_WINDOW"", ""LIVE_GATE_ENVIRONMENT_VALUES_SUPPLIED"", ""LIVE_GATE_PATH_ALLOWLIST_APPROVED"", ""LIVE_GATE_CONTINUITY_EVIDENCE_CURRENT""]",Calendar or browser-handoff actions stay secondary and require the current embedded capability and return-safe grant.
sl_booking_select,conditional,rf_patient_appointments,/bookings/:bookingCaseId/select,Review waitlist or alternative slot selection inside the governed booking shell.,conditional,no,yes,no,yes,yes,"[""LIVE_GATE_PHASE7_SCOPE_WINDOW"", ""LIVE_GATE_ENVIRONMENT_VALUES_SUPPLIED"", ""LIVE_GATE_PATH_ALLOWLIST_APPROVED"", ""LIVE_GATE_CONTINUITY_EVIDENCE_CURRENT""]",This placeholder path covers waitlist-offer and hub-alternative review without claiming a final mobile path taxonomy is already frozen.
sl_booking_confirm,conditional,rf_patient_appointments,/bookings/:bookingCaseId/confirm,Continue confirmation inside the booking shell without exposing a direct raw accept URL.,conditional,no,yes,no,yes,yes,"[""LIVE_GATE_PHASE7_SCOPE_WINDOW"", ""LIVE_GATE_ENVIRONMENT_VALUES_SUPPLIED"", ""LIVE_GATE_PATH_ALLOWLIST_APPROVED"", ""LIVE_GATE_CONTINUITY_EVIDENCE_CURRENT""]",Confirmation remains inside the same shell and must not become an action-only deep link.
sl_record_result,conditional,rf_patient_health_record,/records/results/:resultId,Open a result summary route that can degrade to summary-first if byte delivery is not safe.,conditional,yes,yes,no,yes,yes,"[""LIVE_GATE_PHASE7_SCOPE_WINDOW"", ""LIVE_GATE_ENVIRONMENT_VALUES_SUPPLIED"", ""LIVE_GATE_PATH_ALLOWLIST_APPROVED"", ""LIVE_GATE_CONTINUITY_EVIDENCE_CURRENT""]",The linked route is safe; any later document handoff still needs artifact-mode truth and an outbound grant.
sl_record_document,conditional,rf_patient_health_record,/records/documents/:documentId,"Open one document summary route inside the record shell, with byte-safe preview only when allowed.",conditional,yes,yes,no,yes,yes,"[""LIVE_GATE_PHASE7_SCOPE_WINDOW"", ""LIVE_GATE_ENVIRONMENT_VALUES_SUPPLIED"", ""LIVE_GATE_PATH_ALLOWLIST_APPROVED"", ""LIVE_GATE_CONTINUITY_EVIDENCE_CURRENT""]",Structured same-shell summary is the default; raw file or print exits remain secondary and governed.
sl_messages_cluster,approved,rf_patient_messages,/messages/:clusterId,Open a message cluster summary with bounded reply and callback continuity.,yes,no,yes,no,yes,yes,"[""LIVE_GATE_PHASE7_SCOPE_WINDOW"", ""LIVE_GATE_ENVIRONMENT_VALUES_SUPPLIED"", ""LIVE_GATE_PATH_ALLOWLIST_APPROVED"", ""LIVE_GATE_CONTINUITY_EVIDENCE_CURRENT""]",Cluster-level entry preserves the owning conversation shell.
sl_message_thread,conditional,rf_patient_messages,/messages/:clusterId/thread/:threadId,Resume a specific thread inside the owning message cluster shell.,conditional,no,yes,no,yes,yes,"[""LIVE_GATE_PHASE7_SCOPE_WINDOW"", ""LIVE_GATE_ENVIRONMENT_VALUES_SUPPLIED"", ""LIVE_GATE_PATH_ALLOWLIST_APPROVED"", ""LIVE_GATE_CONTINUITY_EVIDENCE_CURRENT""]","The route may be linked, but return-safe resolution still belongs to the same cluster shell."
sl_message_callback,conditional,rf_patient_messages,/messages/:clusterId/callback/:callbackCaseId,Resume callback or live-contact instructions within the owning message shell.,conditional,no,yes,no,yes,yes,"[""LIVE_GATE_PHASE7_SCOPE_WINDOW"", ""LIVE_GATE_ENVIRONMENT_VALUES_SUPPLIED"", ""LIVE_GATE_PATH_ALLOWLIST_APPROVED"", ""LIVE_GATE_CONTINUITY_EVIDENCE_CURRENT""]",Callback posture may still downgrade to repair or recovery inside the same shell.
sl_contact_repair,conditional,rf_patient_messages,/contact-repair/:repairCaseId,Repair reachability or recipient issues while preserving the blocked action context.,conditional,no,yes,no,yes,yes,"[""LIVE_GATE_PHASE7_SCOPE_WINDOW"", ""LIVE_GATE_ENVIRONMENT_VALUES_SUPPLIED"", ""LIVE_GATE_PATH_ALLOWLIST_APPROVED"", ""LIVE_GATE_CONTINUITY_EVIDENCE_CURRENT""]",Reachability repair stays in-shell and must not break the blocked offer or callback context.
sl_raw_document_download,rejected,rf_patient_health_record,/records/documents/:documentId/download,Direct raw byte or detached export endpoint.,no,yes,yes,no,no,no,"[""LIVE_GATE_PHASE7_SCOPE_WINDOW"", ""LIVE_GATE_ENVIRONMENT_VALUES_SUPPLIED"", ""LIVE_GATE_PATH_ALLOWLIST_APPROVED"", ""LIVE_GATE_CONTINUITY_EVIDENCE_CURRENT""]",Rejected: raw artifact URLs and detached export routes are forbidden; patients must land in the record shell first.
sl_detached_message_alias,rejected,rf_patient_messages,/messages/:threadId,Detached alias directly to a thread without the owning cluster shell.,no,no,yes,no,no,no,"[""LIVE_GATE_PHASE7_SCOPE_WINDOW"", ""LIVE_GATE_ENVIRONMENT_VALUES_SUPPLIED"", ""LIVE_GATE_PATH_ALLOWLIST_APPROVED"", ""LIVE_GATE_CONTINUITY_EVIDENCE_CURRENT""]",Rejected: aliases must resolve into the owning cluster shell rather than exposing a second detached message entry contract.
