reference_case_id,case_code,release_verification_use,continuity_control_code,continuity_coverage_record_ref,route_family_ref,surface_manifest_ref,runtime_binding_ref,verification_scenario_ref,validation_goal,posture_class
RC_059_ACCEPTED_PROGRESS_DEGRADED_FALLBACK_V1,fallback_review_after_accepted_progress_degrades,wave_probe,conversation_settlement,CCCR_058_PRODUCTION_CONVERSATION_SETTLEMENT_V1,rf_support_replay_observe,FCM_050_SUPPORT_WORKSPACE_V1,VS_058_PRODUCTION_V1,VS_058_PRODUCTION_V1,Keep conversation previews and same-shell action posture subordinate to authoritative conversation settlement.,degraded
RC_059_ACCEPTED_PROGRESS_DEGRADED_FALLBACK_V1,fallback_review_after_accepted_progress_degrades,wave_probe,more_info_reply,CCCR_058_PRODUCTION_MORE_INFO_REPLY_V1,rf_support_replay_observe,FCM_050_SUPPORT_WORKSPACE_V1,VS_058_PRODUCTION_V1,VS_058_PRODUCTION_V1,"Prove same-thread reply posture remains governed by current question, reachability, and settlement evidence.",degraded
RC_059_ACCEPTED_PROGRESS_DEGRADED_FALLBACK_V1,fallback_review_after_accepted_progress_degrades,wave_probe,support_replay_restore,CCCR_058_PRODUCTION_SUPPORT_REPLAY_RESTORE_V1,rf_support_replay_observe,FCM_050_SUPPORT_WORKSPACE_V1,VS_058_PRODUCTION_V1,VS_058_PRODUCTION_V1,Prove support replay and resend actions only rearm after restore settlement attests the live tuple.,degraded
RC_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_V1,booking_confirmation_pending_ambiguity,preprod,booking_manage,CCCR_058_PREPROD_BOOKING_MANAGE_V1,rf_hub_case_management,FCM_050_HUB_DESK_V1,VS_058_PREPROD_V1,VS_058_PREPROD_V1,Keep patient booking and waitlist posture subordinate to reservation and confirmation truth.,blocked
RC_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_V1,booking_confirmation_pending_ambiguity,preprod,hub_booking_manage,CCCR_058_PREPROD_HUB_BOOKING_MANAGE_V1,rf_hub_case_management,FCM_050_HUB_DESK_V1,VS_058_PREPROD_V1,VS_058_PREPROD_V1,Keep hub-managed booking truth on the same lineage and confirmation gates as patient-facing posture.,blocked
RC_059_CLEAN_SELF_SERVICE_SUBMIT_V1,clean_self_service_submit,preview,patient_nav,CCCR_058_CI_PREVIEW_PATIENT_NAV_V1,rf_intake_self_service,FCM_050_PATIENT_PUBLIC_ENTRY_V1,VS_058_CI_PREVIEW_V1,VS_058_CI_PREVIEW_V1,"Keep home, request, and appointment shells on the same current request truth without detached success placeholders.",happy
RC_059_DUPLICATE_COLLISION_REVIEW_V1,duplicate_collision_open_review,integration,workspace_task_completion,CCCR_058_INTEGRATION_WORKSPACE_TASK_COMPLETION_V1,rf_support_ticket_workspace,FCM_050_SUPPORT_WORKSPACE_V1,VS_058_INTEGRATION_V1,VS_058_INTEGRATION_V1,"Keep staff task completion subordinate to current queue, lease, and projection truth.",recovery
RC_059_DUPLICATE_RETRY_COLLAPSE_V1,duplicate_retry_return_prior_accepted,preview,patient_nav,CCCR_058_CI_PREVIEW_PATIENT_NAV_V1,rf_patient_requests,FCM_050_PATIENT_AUTHENTICATED_PORTAL_V1,VS_058_CI_PREVIEW_V1,VS_058_CI_PREVIEW_V1,"Keep home, request, and appointment shells on the same current request truth without detached success placeholders.",happy
RC_059_PHARMACY_DISPATCH_WEAK_MATCH_V1,pharmacy_dispatch_proof_pending_weak_match,integration,pharmacy_console_settlement,CCCR_058_INTEGRATION_PHARMACY_CONSOLE_SETTLEMENT_V1,rf_pharmacy_console,FCM_050_PHARMACY_CONSOLE_V1,VS_058_INTEGRATION_V1,VS_058_INTEGRATION_V1,Keep pharmacy release and reconciliation posture bound to dispatch and outcome settlement proof.,degraded
RC_059_SUPPORT_REPLAY_RESTORE_V1,support_replay_restore_same_shell_recovery,preprod,conversation_settlement,CCCR_058_PREPROD_CONVERSATION_SETTLEMENT_V1,rf_support_replay_observe,FCM_050_SUPPORT_WORKSPACE_V1,VS_058_PREPROD_V1,VS_058_PREPROD_V1,Keep conversation previews and same-shell action posture subordinate to authoritative conversation settlement.,recovery
