field,staff_surface,patient_surface,source_of_truth,notes
decisionTupleHash,visible in evidence drawer,dom marker only,preview snapshot,used for parity proof
sharedEvidenceHash,visible in evidence drawer,dom marker only,preview snapshot,not rendered as patient-facing sentence
finalDisposition,visible,visible,PathwayEligibilityEvaluationSnapshot,must match on both surfaces
rulePackVersion,visible in version chip,visible in compact version chip,PathwayEligibilityEvaluationSnapshot,auditability without raw backend JSON
matchedRuleIds,visible in staff-safe explanation only,hidden,EligibilityExplanationBundleSnapshot,patient must not see internal rule IDs
thresholdSnapshot,visible in staff evidence only,hidden,PathwayEligibilityEvaluationSnapshot,technical disclosure only
patientFacingReason.summaryText,parity check only,visible,EligibilityExplanationBundleSnapshot,patient-safe primary sentence
patientFacingReason.nextStepText,parity check only,visible,EligibilityExplanationBundleSnapshot,patient-safe action cue
staffFacingReason.summaryText,visible,hidden,EligibilityExplanationBundleSnapshot,causal rationale for staff
publicationState,visible,visible when non-current,preview snapshot,supersession and stale posture must be explicit
