case_id,grant_family,action_scope,initial_state,event,expected_decision,supersession_cause,gap_closure,authority
ACCESS181_DRAFT_RESUME_ISSUED,draft_resume_minimal,envelope_resume,none,issue_grant,issued,,PARALLEL_INTERFACE_GAP_PHASE2_ACCESS_GRANT_CANONICAL_SERVICE_V1,AccessGrantService
ACCESS181_PUBLIC_STATUS_REDEEMED,public_status_minimal,status_view,live,redeem_matching_scope,redeemed,,PARALLEL_INTERFACE_GAP_PHASE2_ACCESS_GRANT_EXACT_ONCE_REDEMPTION_V1,AccessGrantService
ACCESS181_CLAIM_STEP_UP_CONFIRMED,claim_step_up,claim,live,claim_confirmed,claim_confirmed,claim_completed,PARALLEL_INTERFACE_GAP_PHASE2_ACCESS_GRANT_CLAIM_AUTHORITY_HANDOFF_V1,IdentityBindingAuthority
ACCESS181_CLAIM_STEP_UP_REQUIRED,claim_step_up,claim,live,insufficient_verification,step_up_required,,PARALLEL_INTERFACE_GAP_PHASE2_ACCESS_GRANT_EXACT_ONCE_REDEMPTION_V1,AccessGrantService
ACCESS181_CONTINUATION_SEEDED_ROTATED,continuation_seeded_verified,secure_resume,live,secure_link_reissue,superseded,secure_link_reissue,PARALLEL_INTERFACE_GAP_PHASE2_ACCESS_GRANT_SUPERSESSION_CHAIN_V1,AccessGrantService
ACCESS181_CONTINUATION_CHALLENGE_REPLAY,continuation_challenge,secure_resume,redeemed,duplicate_token,replayed,,PARALLEL_INTERFACE_GAP_PHASE2_ACCESS_GRANT_EXACT_ONCE_REDEMPTION_V1,AccessGrantService
ACCESS181_SUPPORT_RECOVERY_ONLY,support_recovery_minimal,identity_repair,live,stale_scope_recovery,recover_only,scope_drift,PARALLEL_INTERFACE_GAP_PHASE2_ACCESS_GRANT_SCOPE_ENVELOPE_V1,CapabilityDecisionEngine
ACCESS181_PUBLIC_STATUS_AFTER_CLAIM,public_status_minimal,status_view,live,claim_cleanup,superseded,claim_completed,PARALLEL_INTERFACE_GAP_PHASE2_ACCESS_GRANT_SUPERSESSION_CHAIN_V1,AccessGrantService
ACCESS181_DRAFT_REVOKED_ON_LOGOUT,draft_resume_minimal,envelope_resume,live,logout,revoked,logout,PARALLEL_INTERFACE_GAP_PHASE2_ACCESS_GRANT_SUPERSESSION_CHAIN_V1,SessionGovernor
ACCESS181_EXPIRED_RECOVERY,draft_resume_minimal,envelope_resume,live,expiry_sweep,denied,expiry_sweep,PARALLEL_INTERFACE_GAP_PHASE2_ACCESS_GRANT_EXACT_ONCE_REDEMPTION_V1,AccessGrantService
ACCESS181_MANUAL_ONLY_FORBIDDEN,manual_only,identity_repair,none,issue_grant,denied,,PARALLEL_INTERFACE_GAP_PHASE2_ACCESS_GRANT_CANONICAL_SERVICE_V1,AccessGrantService
ACCESS181_SESSION_ROTATED_AFTER_CLAIM,claim_step_up,claim,redeemed,binding_version_changed,claim_confirmed,claim_completed,PARALLEL_INTERFACE_GAP_PHASE2_ACCESS_GRANT_SESSION_ROTATION_V1,SessionGovernor
