metricCode,sourceProjection,tenantScope,aggregationWindow,minimumSupport,thresholdPolicyRef,normalizationVersionRef,definitionHash
request_intake_health,RequestIntakeStatusProjection,tenant:demo-gp,ops:last-60m,30,threshold:request_intake_health:ops:v1,phase9.operational.metric-normalization.v1,e3855fcbc2404afd11b4d626d9ccc1c48ac7137070156ee0af9d10e4926e0496
triage_queue_health,TriageQueueProjection,tenant:demo-gp,ops:last-60m,30,threshold:triage_queue_health:ops:v1,phase9.operational.metric-normalization.v1,512ddbf454704c9cb660f368adc55588b6e5174751d8bade6dd7949fabf3e62b
more_info_loop_latency,PatientMoreInfoStatusProjection,tenant:demo-gp,ops:last-60m,30,threshold:more_info_loop_latency:ops:v1,phase9.operational.metric-normalization.v1,14b231ad6d1230638564110a0d4507da37bf96cac356c9d6d221864911eba916
booking_search_success,PatientAppointmentWorkspaceProjection,tenant:demo-gp,ops:last-60m,30,threshold:booking_search_success:ops:v1,phase9.operational.metric-normalization.v1,e8f583e7c22b06f1e83cff968a1014d4c79470cfd3a566069794be112aa4ca55
booking_commit_success,BookingConfirmationTruthProjection,tenant:demo-gp,ops:last-60m,30,threshold:booking_commit_success:ops:v1,phase9.operational.metric-normalization.v1,0fe9068fac74f99539314ee7a85c435852b2b34983fc7706dc533ecd2e74988a
waitlist_conversion,WaitlistContinuationTruthProjection,tenant:demo-gp,ops:last-60m,30,threshold:waitlist_conversion:ops:v1,phase9.operational.metric-normalization.v1,f89b3ac7e6bf41c2f592a7951d5e3296e361728c0705df0d3313d4c6eccca55e
hub_coordination_delay,HubCoordinationCaseProjection,tenant:demo-gp,ops:last-60m,30,threshold:hub_coordination_delay:ops:v1,phase9.operational.metric-normalization.v1,05a1a50750f49c20ec0d6b9d7a4c01f863aedf58aa820786667342fa77fbaeb0
pharmacy_dispatch_latency,PharmacyDispatchTruthProjection,tenant:demo-gp,ops:last-60m,30,threshold:pharmacy_dispatch_latency:ops:v1,phase9.operational.metric-normalization.v1,cbab2cd3c268133b32067c52695594f66b4f86e99df2cd6e0a345d6dc694fa65
pharmacy_bounce_back_outcome_latency,PharmacyOutcomeTruthProjection,tenant:demo-gp,ops:last-60m,30,threshold:pharmacy_bounce_back_outcome_latency:ops:v1,phase9.operational.metric-normalization.v1,611b4425ed5c8cf3f355b5a15cb2ac96def9e3d777b176545811a36e8d3c339d
patient_message_delivery,PatientCommunicationVisibilityProjection,tenant:demo-gp,ops:last-60m,30,threshold:patient_message_delivery:ops:v1,phase9.operational.metric-normalization.v1,d871d96342227de083fb814da28874fd9aa829165b3cd641008250747169b3c1
patient_home_navigation_continuity,PatientExperienceContinuityEvidenceProjection,tenant:demo-gp,ops:last-60m,30,threshold:patient_home_navigation_continuity:ops:v1,phase9.operational.metric-normalization.v1,7a654958d1c43faa7917da8a952fa7ca6d14932e60680392cda2b5504897ef9a
record_followup_recovery_integrity,PatientRecordFollowUpEligibilityProjection,tenant:demo-gp,ops:last-60m,30,threshold:record_followup_recovery_integrity:ops:v1,phase9.operational.metric-normalization.v1,d9dabc003c9a5ea220f29c30b83bf4a9d00e59c63732cacc5511dc61be27d32b
conversation_settlement_support_replay,ConversationThreadProjection,tenant:demo-gp,ops:last-60m,30,threshold:conversation_settlement_support_replay:ops:v1,phase9.operational.metric-normalization.v1,78bc8098f573521cd78c6d7f086872bf52c081537b5fb148cf5c41766a3f6aaf
support_replay_restore_integrity,SupportReplayRestoreSettlement,tenant:demo-gp,ops:last-60m,30,threshold:support_replay_restore_integrity:ops:v1,phase9.operational.metric-normalization.v1,d53028a7482a36d445c4ff6a613d5dfa52ad2304c3a6725999e72269859f8357
assistive_session_trust_continuity,AssuranceSliceTrustRecord,tenant:demo-gp,ops:last-60m,30,threshold:assistive_session_trust_continuity:ops:v1,phase9.operational.metric-normalization.v1,df3b644ee3af49e3bdb16b8bf87fbaca6f2d489f8f84ad0112d1d76abdcdb36a
evidence_graph_health,AssuranceEvidenceGraphSnapshot,tenant:demo-gp,ops:last-60m,30,threshold:evidence_graph_health:ops:v1,phase9.operational.metric-normalization.v1,18acd0a05b278a32380b5f457299e1335bd11d322ec7c713daa692476080f270
projection_rebuild_health,ProjectionHealthSnapshot,tenant:demo-gp,ops:last-60m,30,threshold:projection_rebuild_health:ops:v1,phase9.operational.metric-normalization.v1,e51fdb1eeb9bd3b0859dcb46b8ab7f37b635f2ead33ed3b822ea289f8906fed4
dependency_health,DependencyHealthRecord,tenant:demo-gp,ops:last-60m,30,threshold:dependency_health:ops:v1,phase9.operational.metric-normalization.v1,de495383240016da39710d1537a3f17aa27fb5ebbc2bbd9dc2d85cd350f1c255
audit_projection_staleness,ControlStatusSnapshot,tenant:demo-gp,ops:last-60m,30,threshold:audit_projection_staleness:ops:v1,phase9.operational.metric-normalization.v1,4f19a8e0a5c62c1f5eeebe50090d14e99df2500e8c7d8494bcb1813508609bc2
