change_trigger_id,change_class,baseline_scope,impacted_workstreams,impacted_frameworks,trigger_hazard_log_update,trigger_safety_case_delta,trigger_dpia_rerun,trigger_dtac_delta,trigger_release_freeze,trigger_partner_rfc_or_scal_update,required_signoff_classes,required_rehearsal_classes,blocking_condition,source_refs,notes
CHG_SAFETY_RULE_PACK,"Safety rules, clinical thresholds, or red-flag policy change",baseline_required,WS_CLINICAL_MANUFACTURER; WS_CLINICAL_DEPLOYMENT_USE,FW_DCB0129; FW_DCB0160; FW_DTAC,yes,yes,conditional,conditional,yes,no,ROLE_MANUFACTURER_CSO; ROLE_DEPLOYMENT_CSO; ROLE_RELEASE_MANAGER,same_facts_same_safety_outcome regression; urgent diversion suites,"No release until the candidate-bound hazard log, safety case, and regression evidence reflect the changed rule set.","phase-1-the-red-flag-gate.md#Safety engine and red-flag logic; phase-1-the-red-flag-gate.md#5A. Hardening, metrics, and launch readiness",Phase 1 explicitly requires incremental hazard and safety updates for rule changes.
CHG_IDENTITY_BINDING_OR_SESSION,"Identity binding, NHS login callback, secure-link, or local session ownership change",baseline_required,WS_CLINICAL_MANUFACTURER; WS_CLINICAL_DEPLOYMENT_USE; WS_DATA_PROTECTION_PRIVACY; WS_TECHNICAL_SECURITY_ASSURANCE,FW_DCB0129; FW_DCB0160; FW_GDPR; FW_DTAC; FW_NHS_LOGIN_ONBOARDING,yes,yes,yes,conditional,yes,conditional,ROLE_MANUFACTURER_CSO; ROLE_DPO; ROLE_SECURITY_LEAD,wrong-patient freeze and release suites; auth replay and session expiry suites,"No release until wrong-patient, subject-switch, and disclosure-safe recovery behavior are re-proved for the changed identity/session tuple.",phase-2-the-identity-and-echoes.md#High-priority trust gaps in this layer,"Phase 2 explicitly links identity changes to safety, privacy, and assurance evidence."
CHG_TELEPHONY_CAPTURE_OR_CONTINUATION,"Telephony capture, recording, transcript, continuation, or callback-flow change",baseline_required,WS_CLINICAL_MANUFACTURER; WS_CLINICAL_DEPLOYMENT_USE; WS_INTEROPERABILITY_EVIDENCE; WS_DATA_PROTECTION_PRIVACY,FW_DCB0129; FW_DCB0160; FW_DTAC; FW_GDPR,yes,yes,conditional,conditional,yes,no,ROLE_MANUFACTURER_CSO; ROLE_DEPLOYMENT_CSO; ROLE_INTEROPERABILITY_LEAD,telephony evidence readiness gating tests; callback repair suites,"No release until transcript readiness, callback truth, continuation fencing, and safety rerun paths are re-proved.",phase-2-the-identity-and-echoes.md#2G. Convergence into one request model and one workflow,Telephony is a named safety and deployment trigger class in the corpus.
CHG_BOOKING_CONFIRMATION_OR_WAITLIST,"Local booking confirmation, waitlist, or supplier reconciliation change",baseline_required,WS_CLINICAL_MANUFACTURER; WS_INTEROPERABILITY_EVIDENCE,FW_DCB0129; FW_DTAC,yes,yes,no,conditional,yes,no,ROLE_MANUFACTURER_CSO; ROLE_INTEROPERABILITY_LEAD,booking confirmation ambiguity regression; proof-versus-transport regression,No release until false-booked reassurance and waitlist fallback truth remain explicit under the changed supplier behavior.,forensic-audit-findings.md#Finding 74 - Phase 4 let booking-domain logic write canonical request state directly,"Booking truth is authoritative proof, not transport acceptance."
CHG_HUB_COORDINATION_OR_ACK,"Hub coordination, practice visibility, or acknowledgement behavior change",baseline_required,WS_CLINICAL_MANUFACTURER; WS_INTEROPERABILITY_EVIDENCE,FW_DCB0129; FW_DTAC,yes,yes,no,conditional,yes,no,ROLE_MANUFACTURER_CSO; ROLE_INTEROPERABILITY_LEAD,practice acknowledgement debt proof; hub confirmation ambiguity suites,No release until hub confirmation and practice acknowledgement debt remain explicit and non-collapsible.,"forensic-audit-findings.md#Finding 34 - Hub coordination lacked ranked patient choice, authoritative confirmation, and practice-visibility debt",Hub change remains a clinical-safety and interoperability issue.
CHG_PHARMACY_DISPATCH_OR_OUTCOME,"Pharmacy dispatch, provider choice, or outcome-reconciliation change",baseline_required,WS_CLINICAL_MANUFACTURER; WS_INTEROPERABILITY_EVIDENCE,FW_DCB0129; FW_DTAC,yes,yes,no,conditional,yes,no,ROLE_MANUFACTURER_CSO; ROLE_INTEROPERABILITY_LEAD,pharmacy outcome reconciliation tests; dispatch proof-chain suites,"No release until dispatch proof, consent scope, and weak-outcome reconciliation behavior are re-proved.",forensic-audit-findings.md#Finding 79 - weak-source matching did not clearly stop at a case-local review state,Pharmacy change remains safety-affecting even if transport wiring seems narrow.
CHG_NOTIFICATION_COPY_OR_CHANNEL_POLICY,"Notification copy, reminder policy, or channel-specific recovery behavior change",baseline_required,WS_DATA_PROTECTION_PRIVACY; WS_ACCESSIBILITY_CONTENT_SERVICE_STANDARD,FW_PECR; FW_GDPR; FW_NHS_SERVICE_STANDARD,conditional,conditional,conditional,no,conditional,conditional,ROLE_DPO; ROLE_ACCESSIBILITY_CONTENT_LEAD,content QA review; delivery repair and wrong-recipient tests,"Patient-facing communication changes cannot release without privacy, consent, clarity, and repair posture review.","phase-1-the-red-flag-gate.md#3F. Submission, receipt, and graceful fallback; phase-7-inside-the-nhs-app.md#7F. Webview-safe documents, handoff, error, and recovery design",Channel copy is part of the governed communication and privacy posture.
CHG_PUBLIC_EMBEDDED_SURFACE_OR_ROUTE,"Public, patient, embedded, or governance surface route and shell behavior change",baseline_required,WS_DATA_PROTECTION_PRIVACY; WS_ACCESSIBILITY_CONTENT_SERVICE_STANDARD; WS_RELEASE_RUNTIME_PUBLICATION_PARITY,FW_GDPR; FW_WCAG_22_AA; FW_NHS_SERVICE_STANDARD; FW_RUNTIME_PARITY_AND_WATCHLIST,conditional,conditional,conditional,conditional,yes,conditional,ROLE_ACCESSIBILITY_CONTENT_LEAD; ROLE_DPO; ROLE_RELEASE_MANAGER,route semantic coverage tests; continuity-evidence convergence checks,"No release until route publication, accessibility coverage, disclosure posture, and continuity evidence remain tuple-aligned.",accessibility-and-content-system-contract.md#Route-family semantic coverage; platform-runtime-and-release-blueprint.md#FrontendContractManifest,Accessibility/content remains architectural; route changes are release-governed.
CHG_RUNTIME_TOPOLOGY_OR_DEPENDENCY_ORDER,"Runtime topology, trust-zone, workload family, or dependency recovery-order change",baseline_required,WS_TECHNICAL_SECURITY_ASSURANCE; WS_RELEASE_RUNTIME_PUBLICATION_PARITY; WS_OPERATIONAL_RESILIENCE_RESTORE; WS_CLINICAL_DEPLOYMENT_USE,FW_DTAC; FW_DSPT; FW_DCB0160; FW_RUNTIME_PARITY_AND_WATCHLIST,conditional,conditional,conditional,yes,yes,no,ROLE_SECURITY_LEAD; ROLE_RELEASE_MANAGER; ROLE_DEPLOYMENT_CSO,clean-environment restore rehearsal; failover rehearsal; runtime tuple parity tests,"No release until trust-zone, parity, and restore proof all match the new topology and dependency order.",platform-runtime-and-release-blueprint.md#Runtime topology contract; platform-runtime-and-release-blueprint.md#Operational readiness and resilience,Restore and release parity are explicit blockers here.
CHG_RETENTION_POLICY_OR_ARTIFACT_CLASS,"Retention rule, legal-hold behavior, or durable artifact-class change",ongoing_bau,WS_RECORDS_RETENTION_GOVERNANCE; WS_DATA_PROTECTION_PRIVACY,FW_RECORDS_MGMT_CODE; FW_GDPR,no,conditional,conditional,no,conditional,no,ROLE_RECORDS_GOVERNANCE_LEAD; ROLE_DPO,retention dry-run tests; delete-versus-hold conflict tests,"No release or lifecycle activation until the new artifact or rule has retention class, hold behavior, and admissible evidence-graph linkage.",phase-9-the-assurance-ledger.md#Overall Phase 9 algorithm; blueprint-init.md#The same summary discipline now extends to records lifecycle and preservation,Retention changes can affect release if they alter live artifact behavior.
