dependency_id,dependency_name,dependency_class,dependency_layer,baseline_scope,source_file_refs,business_purpose,bound_bounded_contexts,integration_mode,adapter_contract_family,authoritative_success_proof,non_authoritative_signals,ambiguity_modes,fallback_or_recovery_modes,simulator_allowed,local_stub_strategy,assurance_or_onboarding_obligations,operator_or_runbook_dependencies,future_provisioning_task_refs,browser_automation_task_refs,future_browser_automation_required,browser_automation_candidate_portal_or_console,manual_checkpoints,blocked_by_prior_approval_or_contract,secrets_or_credentials_classes,tenant_or_org_scope,deferred_reason_if_any,touchpoint_ids,affects_patient_visible_truth,notes
dep_nhs_login_rail,NHS login authentication rail,identity_auth,channel_partner_surface,baseline_required,"phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine; blueprint-init.md#10. Identity, consent, security, and policy; platform-runtime-and-release-blueprint.md#AdapterContractProfile",Authenticate patients and step up authority before writable portal or recovery actions continue.,identity_access; patient_portal; support_recovery,Server-side OIDC authorization-code flow via gateway or BFF; callbacks and token exchange stay behind integration workloads and never in the browser.,nhs_login_oidc_bridge,"Current SessionEstablishmentDecision plus current Session, IdentityBinding, and RouteIntentBinding showing writable authority for the same subject and lineage.",NHS login callback arrived; Token exchange completed; Subject claim exists without settled writable authority,ConsentNotGiven or access_denied returns; Subject mismatch or stale subject binding version; claim_pending or auth_read_only posture after successful auth,bounded_recovery with explicit post-auth next step; auth_read_only or claim_pending shell posture; secure-link or support-assisted recovery without pretending writable ownership,partial,"Use the official mock-authorisation style harness and local callback fixtures; keep final redirect URI, consent, and live subject-binding proof for later onboarding.","Complete NHS login partner onboarding and freeze redirect-URI inventory before live use.; Store scope selection, consent-denied handling, and clinical-safety evidence as part of the onboarding pack.; Publish one adapter contract for auth redirect, callback correlation, and subject-binding proof upgrades.",Auth outage and redirect mismatch runbook; Subject-conflict and identity-repair escalation runbook,seq_021; seq_023; seq_024; seq_025; seq_039; seq_040,seq_024; seq_025,yes,NHS login partner onboarding and OIDC application configuration portals,Partner approval before non-mock credentials are issued; Redirect-URI and scope review against live environment inventory,yes,oidc_client_id; oidc_client_secret; private_key_or_jwks; redirect_uri_allowlist,Shared partner registration with environment-specific redirect and scope configuration.,,ext_nhs_login,yes,"NHS login remains an authentication rail only; it does not replace patient linkage, PDS, or claim ownership."
dep_pds_fhir_enrichment,Optional PDS enrichment seam,patient_data_enrichment,optional_feature_flagged,optional_flagged,"phase-2-identity-and-echoes.md#2C. Patient linkage, demographic confidence, and optional PDS enrichment; blueprint-init.md#10. Identity, consent, security, and policy; phase-cards.md#Phase 2 - Identity and Echoes",Optionally enrich patient-linking evidence with governed PDS demographics after legal basis and onboarding are complete.,identity_access; governance; support_operations,Feature-flagged enrichment adapter behind IdentityBindingAuthority; no route may depend on PDS before legal basis and onboarding complete.,pds_enrichment_adapter,A legally permitted PDS lookup correlated to the current linkage candidate set and accepted as supporting evidence by IdentityBindingAuthority.,NHS login contact claim; Single local demographic candidate without sufficient confidence; Stale demographic cache,Legal basis or onboarding still incomplete; PDS response conflicts with local or telephony evidence; Feature flag disabled for the current tenant or route,Local matching only with partial_match or review posture; Support-assisted correction without widening identity truth; Keep enrichment fully off while preserving baseline identity flow,yes,Use synthetic PDS response fixtures and fail-closed enrichment toggles; keep real credentials and legal-basis proof out of this task.,"Document the legal basis, onboarding state, and tenant flag plan before enabling PDS.; Keep PDS evidence subordinate to IdentityBindingAuthority rather than direct patientRef writes.; Treat PDS enablement as a reversible, audited capability toggle with route-level blast-radius awareness.",PDS-disabled fallback runbook; Identity conflict and repair escalation runbook,seq_021; seq_023; seq_027; seq_039; seq_040,seq_027,yes,PDS FHIR sandbox access request and onboarding portals,Legal basis and governance approval before sandbox or live access; Tenant feature-flag review before any patient-visible enrichment,yes,api_client_credentials; client_certificate; organisation_identity,Tenant and organisation specific; optional per rollout cohort.,Optional enrichment only. Baseline identity completeness must work without PDS.,,yes,"Optional by corpus law: PDS is an enrichment seam, not a baseline blocker and not a substitute for NHS login or local binding governance."
dep_telephony_ivr_recording_provider,"Telephony, IVR, and call-recording provider",telephony,transport_message_rail,baseline_required,"phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence; phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation; callback-and-clinician-messaging-loop.md#Callback domain","Capture phone-origin demand, callback attempts, IVR routing, voicemail, and recording availability inside the same governed request lineage.",telephony; callback_messaging; identity_access,Webhook- and fetch-driven telephony adapters behind telephony-edge and recording workers; browser surfaces never talk to carrier APIs directly.,telephony_ingress_and_callback_adapter,Current CallSession evidence or CallbackOutcomeEvidenceBundle linked to AdapterReceiptCheckpoint and the current lineage-bound callback or intake objects.,Carrier accepted a call leg; Callback queued or dial started; Recording promised but not yet fetched or verified,recording_missing or transcript_degraded; Duplicate or contradictory callback outcomes; urgent_live_only posture without routine evidence readiness,Callback retry or governed manual escalation; Secure-link continuation where route authority allows; Manual review of audio or urgent live diversion without false routine progress,partial,"Run local webhook simulators, seeded call sessions, and fake recording objects; reserve real number provisioning and live carrier proof for later tasks.","Select a provider that supports webhook correlation, recording availability, and callback evidence capture under stable adapter contracts.; Bind telephony retention, masking, and clinical-safety hazards into the rollout pack before live use.; Document failover for recording lag, callback-route repair, and urgent live diversion.",Telephony outage and callback degradation runbook; Recording lag and evidence-readiness manual review runbook,seq_021; seq_022; seq_023; seq_031; seq_032; seq_039; seq_040,seq_032,yes,"Telephony vendor admin console for account creation, phone numbers, IVR flows, and webhook endpoints",Contract and regulated-recording review before live call handling; Number ownership and urgent escalation path sign-off,yes,account_api_token; webhook_secret; phone_number_inventory; sip_or_voice_credentials,Tenant-specific numbers and routing with environment-separated credentials.,,ext_telephony_and_ivr_provider,yes,"Telephony parity is baseline, but carrier acceptance or callback initiation never equals completed clinical contact."
dep_transcription_processing_provider,Transcript and derived-facts processing provider,transcription,supplier_specific_adapter,baseline_required,"phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence; phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation; forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed",Produce transcript readiness and derived facts from recordings while keeping original audio authoritative.,telephony; evidence_classification; assurance,Queued transcript and fact-extraction jobs against quarantined recording artifacts; output stays as derivation packages rather than source truth.,transcription_readiness_adapter,TelephonyTranscriptReadinessRecord with clinically sufficient coverage accepted by TelephonyEvidenceReadinessAssessment(usabilityState = safety_usable).,Transcript job queued or running; Keyword-only or partial utterance output; Model returned text without a matching readiness assessment,Coverage is partial or clinically insufficient; Contradictory transcript reruns or stale derivation packages; Manual review still required before routine promotion,Manual transcription or audio review; continuation_challenge or manual_only posture; Keep the lineage blocked on evidence readiness rather than guessing safety-usable meaning,partial,Use repository-local fixtures for transcript states and derivation packages; keep vendor-specific latency and quality proof for later onboarding.,Version transcript and derivation outputs so readiness decisions stay replayable.; Demonstrate that original audio remains authoritative and that degraded transcripts fail closed to review.; Document supplier data-processing and retention boundaries before live transcription starts.,Transcript lag and manual-transcription backlog runbook; Coverage downgrade and contradiction review runbook,seq_021; seq_022; seq_023; seq_034; seq_035; seq_038; seq_039; seq_040,seq_035,yes,Transcription vendor admin console or project workspace,Clinical-safety review of derived-facts use before any automated promotion depends on the provider; Retention and masking checks for recorded audio and transcript artifacts,yes,api_key; webhook_secret; project_or_workspace_identifier,Usually shared infrastructure with tenant-scoped tagging and evidence segregation.,,ext_artifact_store_and_scan,yes,Transcript completion is never enough by itself; the readiness assessment is the governing proof.
dep_sms_notification_provider,SMS delivery provider,sms,optional_feature_flagged,optional_flagged,"phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation; callback-and-clinician-messaging-loop.md#Delivery, callback-window, and settlement confidence model; phase-0-the-foundation-protocol.md#Command and adapter effect ledger",Deliver seeded telephony continuation links and selected patient prompts through a controlled outbound SMS rail.,telephony; patient_communications; callback_messaging,Outbox-backed SMS adapter bound to AccessGrant issuance and delivery evidence checkpoints; links and grants remain internal.,sms_delivery_adapter,Current AdapterReceiptCheckpoint plus the governing AccessGrant or CommunicationEnvelope still current for the same route and visibility tuple.,Send request accepted by provider; Link issued but not redeemed; Carrier handoff without delivery evidence,"Wrong-recipient or stale-number risk; Bounced, expired, or disputed delivery; Link redemption fenced by subject or session drift",Email or support reissue; Challenge continuation instead of seeded continuation; Same-shell bounded recovery without reusing stale grant assumptions,partial,Use a local notification sink with deterministic receipt states and opaque grant fixtures; reserve real sender registration and delivery truth for later provisioning.,"Freeze SMS templates, TTL, and wrong-recipient controls before seeded continuation is enabled.; Keep send acceptance, delivery evidence, and grant redemption semantically separate in audit and UI.; Route disputed delivery into support repair rather than silent reminder drift.",SMS delivery dispute and wrong-recipient incident runbook; Grant supersession and resend-control runbook,seq_021; seq_022; seq_023; seq_031; seq_033; seq_039; seq_040,seq_033,yes,"SMS notification vendor console for sender, webhook, and template setup",Sender registration and regulated messaging review before live traffic; Wrong-recipient hazard sign-off for seeded continuation cohorts,yes,api_key; sender_identifier; webhook_secret,Tenant-specific sender and template configuration.,Feature-flagged for seeded continuation and selected prompts; core workflow must still recover safely without SMS.,ext_secure_link_and_notification_rail; ext_message_delivery_provider,yes,SMS is external only for delivery. Secure-link issuance and AccessGrant semantics remain internal control-plane behavior.
dep_email_notification_provider,Email and notification delivery provider,email,transport_message_rail,baseline_required,callback-and-clinician-messaging-loop.md#Clinician message domain; phase-5-the-network-horizon.md#Reminder and communication publication; phase-0-the-foundation-protocol.md#Command and adapter effect ledger,"Deliver clinician messages, reminders, secure-link emails, and patient-facing receipts through a governed email rail.",patient_communications; callback_messaging; support_operations,Outbox-backed email adapter with delivery evidence checkpoints and same-shell recovery when delivery truth is disputed.,email_delivery_adapter,Current MessageDeliveryEvidenceBundle or AdapterReceiptCheckpoint for the live CommunicationEnvelope and route tuple.,Provider accepted the send; SMTP or API returned queued state; Template rendered without current delivery truth,"Delivery failed, disputed, expired, or suppressed; Message thread closed locally while delivery truth is still unresolved; Reachability repair overrides the intended communication route",Controlled resend under the same authoritative chain; Support repair or callback escalation; Same-shell read-only or recovery posture while delivery truth is unresolved,partial,Use a local sink and deterministic receipt fixtures; reserve real sender-domain verification and inbox routing for later provisioning.,Verify sender domains and delivery-webhook correlation before live use.; Separate transport acceptance from durable delivery evidence in projections and runbooks.; Bind email delivery to controlled resend and support repair rather than silent success assumptions.,"Email bounce, dispute, and resend-control runbook; Reachability repair and patient notification fallback runbook",seq_021; seq_022; seq_023; seq_031; seq_033; seq_039; seq_040,seq_033,yes,"Email or notification vendor console for sender-domain, templates, and webhook setup",Sender-domain verification and security review; Support ownership for bounced or disputed delivery chains,yes,api_key; smtp_or_api_credentials; sender_domain_records; webhook_secret,Tenant and organisation specific sender and policy configuration.,,ext_secure_link_and_notification_rail; ext_message_delivery_provider,yes,Transport accepted is never equal to delivered; patient or staff calmness must wait for current delivery evidence or explicit fallback.
dep_malware_scanning_provider,Malware and artifact scanning provider,malware_scanning,security_assurance_dependency,baseline_required,"phase-0-the-foundation-protocol.md#4.3A Artifact quarantine and fallback review; phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence; forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed",Scan uploads and recordings before they leave quarantine or become available to downstream review and promotion.,artifact_quarantine; identity_access; assurance,Asynchronous scanning boundary from private object storage into artifact quarantine outcomes; no browser or shell reads from raw scan engines.,artifact_scanning_adapter,"Current artifact quarantine outcome showing the capture bundle or recording is safe, readable enough, or explicitly quarantined with governed next action.",Object stored successfully; Scan job started; Raw file metadata available,Scan timed out or returned unsupported; File is quarantined or unreadable; Conflicting scan evidence across retries,FallbackReviewCase with same-lineage degraded receipt; Manual review or re-upload request; Fail closed rather than silently dropping the artifact,partial,"Use deterministic pass, quarantine, and timeout fixtures in place of real scanner projects; reserve live signatures, latency, and vendor attestation for later tasks.","Document quarantine policy, scanner revision, and operator response before live artifact intake.; Prove that unsafe or unreadable evidence routes to fallback review rather than disappearing.; Track scanning as an explicit dependency-health signal for restore and fail-soft posture.",Artifact quarantine and malware escalation runbook; Scanner timeout and manual-review routing runbook,seq_021; seq_022; seq_023; seq_034; seq_035; seq_039; seq_040,seq_035,yes,Artifact scanning vendor console or cloud project setup,Security review of scanner placement and quarantine policy; Known-bad test evidence before live acceptance is enabled,yes,api_key; project_identifier; storage_access_binding,Shared infrastructure with environment-separated credentials and tenant tags.,,ext_artifact_store_and_scan,no,"Private object storage is an internal platform surface; the external dependency here is the scanning service, not the storage bucket."
dep_im1_pairing_programme,IM1 Pairing programme and prerequisite path,gp_system,security_assurance_dependency,baseline_required,phase-4-the-booking-engine.md#4B Provider capability matrix and adapter seam; phase-4-the-booking-engine.md#4E Commit path; blueprint-init.md#1. Product definition,"Secure the prerequisites, SCAL, mock API, supported test, assurance, and rollout gates required before GP supplier integrations become live.",booking; identity_access; assurance,Human-governed onboarding programme whose outputs gate supplier adapter publication and live route capability resolution.,im1_pairing_governance_boundary,"Current pairing evidence pack showing the exact supplier, organisation, and environment have cleared the required IM1 stage for the targeted capability set.",Prerequisite forms submitted; Supplier conversation started; Mock documentation received without supported-test or assurance completion,SCAL or model-interface prerequisites still pending; Supported-test or assurance incomplete for the selected supplier path; Live rollout not yet approved for the supplier or organisation pair,"Stay on simulator or supported-test path only; Keep the related route in assisted-only, recovery-only, or blocked posture; Use hub fallback or manual handling where booking policy allows",partial,"Use deterministic supplier simulators and mock API fixtures while treating pairing approval, SCAL, and live rollout as non-simulatable gates.","Track prerequisites, SCAL, supported test, assurance, and live rollout as explicit blockers rather than prose assumptions.; Bind pairing stage to supplier-specific capability resolution and adapter publication.; Keep IM1 out of the Phase 2 identity critical path even though it is baseline for later booking scope.",Supplier-pairing stall and escalation runbook; Live rollout freeze and simulator fallback runbook,seq_021; seq_022; seq_023; seq_026; seq_036; seq_039; seq_040,seq_026,yes,"IM1 Pairing prerequisite forms, supplier prerequisite portals, and SCAL evidence trackers",Commercial and assurance approval before live supplier access; SCAL and supported-test evidence review before route capability goes live,yes,supplier_programme_credentials; organisation_identifiers; certificate_material,"Organisation and supplier pair specific, with environment-ring separation.",,ext_booking_supplier_adapter,yes,"IM1 remains baseline for local booking reach, but the corpus is explicit that it stays out of the Phase 2 identity critical path."
dep_gp_system_supplier_paths,Principal GP-system supplier integration paths,gp_system,supplier_specific_adapter,baseline_required,"phase-4-the-booking-engine.md#4B Provider capability matrix and adapter seam; phase-4-the-booking-engine.md#4C Slot search; phase-6-the-pharmacy-loop.md#6F. Outcome ingest, Update Record observation, and reconciliation",Reach supplier-specific GP-system booking and outcome pathways through published provider bindings rather than code-local vendor assumptions.,booking; pharmacy; assurance,"Supplier-specific adapter bindings with explicit capability, local-consumer, and authoritative-read contracts under integration workloads.",gp_supplier_adapter_family,"Current supplier binding and authoritative read or outcome observation path accepted for the same supplier, organisation, action scope, and transport assurance profile.",Supplier name matches a supported family; Static docs suggest support without current binding proof; Outcome transport observed without current policy acceptance,linkage_required or local_component_required capability states; Supplier-specific action support withdrawn or stale; Outcome evidence shape does not match the live supplier path,Assisted-only handling or hub fallback; Simulator and contract-test path while supplier access remains incomplete; Reconciliation-required posture instead of false booking or outcome calmness,partial,"Use supplier-specific mocks and capability fixtures while treating live bindings, local consumers, and assured outcome paths as later tasks.","Publish supplier capability matrices and binding hashes before exposing supplier-specific CTAs.; Separate linkage, local-consumer, and authoritative-read prerequisites from UI assumptions.; Keep supplier variability explicit in both booking and pharmacy outcome ingest.",Supplier outage and unsupported-capability runbook; Binding drift and local-consumer prerequisite runbook,seq_021; seq_022; seq_023; seq_026; seq_036; seq_038; seq_039; seq_040,,no,,Supplier sandbox and capability evidence review; Environment-specific binding publication before patient-visible actions widen,yes,api_credentials; mutual_tls_material; supplier_environment_identifiers,Supplier and organisation pair specific.,,ext_booking_supplier_adapter,yes,This row captures live supplier paths; the separate IM1 pairing row captures the programme gates that must exist before these paths are usable.
dep_local_booking_supplier_adapters,Local booking supplier adapter family,booking_supplier,supplier_specific_adapter,baseline_required,phase-4-the-booking-engine.md#4C Slot search; phase-4-the-booking-engine.md#4E Commit path; phase-4-the-booking-engine.md#4F Manage flows,"Search, revalidate, commit, and manage local appointments through supplier-specific adapter bindings while preserving honest confirmation truth.",booking; patient_portal; staff_operations,"BookingProviderAdapterBinding per supplier, integration mode, audience, and action scope under the canonical adapter and command ledgers.",booking_provider_adapter_binding,BookingConfirmationTruthProjection(confirmationTruthState = confirmed) backed by a durable provider reference or same-commit read-after-write proof for the same BookingTransaction.,Slot list rendered from a frozen snapshot; Local click acknowledgement; Supplier accepted for processing or callback arrived without authoritative confirmation,"confirmation_pending posture after async acceptance; supplier_reconciliation_pending due to disputed or stale supplier truth; waitlist, callback fallback, or hub fallback still open","Stay in confirmation_pending with explicit truth posture; Route to waitlist, callback, or hub fallback under current policy; Freeze stale manage actions until capability resolution is recomputed",partial,Use local supplier simulators and deterministic confirmation ladders; reserve real search and commit credentials for later selection and provisioning work.,"Require published provider capability matrices and adapter bindings before routes expose book, cancel, or reschedule controls.; Keep authoritative read-after-write proof separate from transport or provider processing acceptance.; Bind waitlist, callback, and hub fallback to the same confirmation truth rather than supplier optimism.",Confirmation-pending and reconciliation review runbook; Supplier outage and manual-assisted booking fallback runbook,seq_021; seq_022; seq_036; seq_038; seq_039; seq_040,,no,,Supplier-selection scorecard and simulation evidence before live booking exposure; Per-supplier fallback and manage-capability review,yes,api_credentials; supplier_binding_identifiers; webhook_or_callback_shared_secret,"Supplier, practice, and audience-context specific.",,ext_booking_supplier_adapter,yes,"No supplier queue acceptance, webhook arrival, or worker dequeue may be projected as booked truth."
