request_type,root_question_key,question_key,answer_type,required_when,visibility_predicate,supersession_policy,safety_relevance,summary_renderer
Symptoms,symptoms.category,symptoms.category,single_select,"requestType == 'Symptoms'","requestType == 'Symptoms'",SUP_140_ALWAYS_ACTIVE_V1,triage_relevant,summary.symptoms.category.v1
Symptoms,symptoms.category,symptoms.chestPainLocation,single_select,"requestType == 'Symptoms' && answers['symptoms.category'] == 'chest_breathing'","requestType == 'Symptoms' && answers['symptoms.category'] == 'chest_breathing'",SUP_140_SAFETY_BRANCH_SUPERSEDE_V1,safety_relevant,summary.symptoms.chest_location.v1
Symptoms,symptoms.onsetPrecision,symptoms.onsetPrecision,single_select,"requestType == 'Symptoms'","requestType == 'Symptoms'",SUP_140_ALWAYS_ACTIVE_V1,triage_relevant,summary.symptoms.onset_date.v1
Symptoms,symptoms.onsetPrecision,symptoms.onsetDate,date,"requestType == 'Symptoms' && answers['symptoms.onsetPrecision'] == 'exact_date'","requestType == 'Symptoms' && answers['symptoms.onsetPrecision'] == 'exact_date'",SUP_140_BRANCH_SUPERSEDE_V1,triage_relevant,summary.symptoms.onset_date.v1
Symptoms,symptoms.onsetPrecision,symptoms.onsetWindow,single_select,"requestType == 'Symptoms' && answers['symptoms.onsetPrecision'] == 'approximate_window'","requestType == 'Symptoms' && answers['symptoms.onsetPrecision'] == 'approximate_window'",SUP_140_BRANCH_SUPERSEDE_V1,triage_relevant,summary.symptoms.onset_window.v1
Symptoms,symptoms.worseningNow,symptoms.worseningNow,boolean,"requestType == 'Symptoms'","requestType == 'Symptoms'",SUP_140_ALWAYS_ACTIVE_V1,safety_relevant,summary.symptoms.worsening_now.v1
Symptoms,symptoms.severityClues,symptoms.severityClues,multi_select,"requestType == 'Symptoms'","requestType == 'Symptoms'",SUP_140_ALWAYS_ACTIVE_V1,triage_relevant,summary.symptoms.severity_clues.v1
Symptoms,symptoms.narrative,symptoms.narrative,long_text,"requestType == 'Symptoms'","requestType == 'Symptoms'",SUP_140_ALWAYS_ACTIVE_V1,triage_relevant,summary.symptoms.narrative.v1
Meds,meds.queryType,meds.queryType,single_select,"requestType == 'Meds'","requestType == 'Meds'",SUP_140_ALWAYS_ACTIVE_V1,triage_relevant,summary.meds.query_type.v1
Meds,meds.nameKnown,meds.nameKnown,single_select,"requestType == 'Meds'","requestType == 'Meds'",SUP_140_ALWAYS_ACTIVE_V1,triage_relevant,summary.meds.name_unknown_reason.v1
Meds,meds.nameKnown,meds.medicineName,short_text,"requestType == 'Meds' && answers['meds.nameKnown'] == 'known'","requestType == 'Meds' && answers['meds.nameKnown'] == 'known'",SUP_140_BRANCH_SUPERSEDE_V1,triage_relevant,summary.meds.medicine_name.v1
Meds,meds.nameKnown,meds.nameUnknownReason,single_select,"requestType == 'Meds' && answers['meds.nameKnown'] == 'unknown_or_unsure'","requestType == 'Meds' && answers['meds.nameKnown'] == 'unknown_or_unsure'",SUP_140_BRANCH_SUPERSEDE_V1,triage_relevant,summary.meds.name_unknown_reason.v1
Meds,meds.issueDescription,meds.issueDescription,long_text,"requestType == 'Meds'","requestType == 'Meds'",SUP_140_ALWAYS_ACTIVE_V1,triage_relevant,summary.meds.issue_description.v1
Meds,meds.urgency,meds.urgency,single_select,"requestType == 'Meds'","requestType == 'Meds'",SUP_140_ALWAYS_ACTIVE_V1,safety_relevant,summary.meds.urgency.v1
Admin,admin.supportType,admin.supportType,single_select,"requestType == 'Admin'","requestType == 'Admin'",SUP_140_ALWAYS_ACTIVE_V1,none,summary.admin.support_type.v1
Admin,admin.deadlineKnown,admin.deadlineKnown,single_select,"requestType == 'Admin'","requestType == 'Admin'",SUP_140_ALWAYS_ACTIVE_V1,triage_relevant,summary.admin.deadline_known.v1
Admin,admin.deadlineKnown,admin.deadlineDate,date,"requestType == 'Admin' && answers['admin.deadlineKnown'] == 'deadline_known'","requestType == 'Admin' && answers['admin.deadlineKnown'] == 'deadline_known'",SUP_140_BRANCH_SUPERSEDE_V1,triage_relevant,summary.admin.deadline_date.v1
Admin,admin.referenceAvailable,admin.referenceAvailable,single_select,"requestType == 'Admin'","requestType == 'Admin'",SUP_140_ALWAYS_ACTIVE_V1,none,summary.admin.reference_available.v1
Admin,admin.referenceAvailable,admin.referenceNumber,short_text,"requestType == 'Admin' && answers['admin.referenceAvailable'] == 'available'","requestType == 'Admin' && answers['admin.referenceAvailable'] == 'available'",SUP_140_BRANCH_SUPERSEDE_V1,none,summary.admin.reference_number.v1
Admin,admin.details,admin.details,long_text,"requestType == 'Admin'","requestType == 'Admin'",SUP_140_ALWAYS_ACTIVE_V1,none,summary.admin.details.v1
Results,results.context,results.context,single_select,"requestType == 'Results'","requestType == 'Results'",SUP_140_ALWAYS_ACTIVE_V1,triage_relevant,summary.results.context.v1
Results,results.testName,results.testName,short_text_or_unknown,"requestType == 'Results'","requestType == 'Results'",SUP_140_ALWAYS_ACTIVE_V1,triage_relevant,summary.results.test_name.v1
Results,results.dateKnown,results.dateKnown,single_select,"requestType == 'Results'","requestType == 'Results'",SUP_140_ALWAYS_ACTIVE_V1,triage_relevant,summary.results.date_known.v1
Results,results.dateKnown,results.resultDate,partial_date,"requestType == 'Results' && answers['results.dateKnown'] == 'exact_or_approx'","requestType == 'Results' && answers['results.dateKnown'] == 'exact_or_approx'",SUP_140_BRANCH_SUPERSEDE_V1,triage_relevant,summary.results.date_value.v1
Results,results.question,results.question,long_text,"requestType == 'Results'","requestType == 'Results'",SUP_140_ALWAYS_ACTIVE_V1,triage_relevant,summary.results.question.v1
